0*C046983 06-Paris-LA-66 protocol
1*C039775 10,11-dihydro-10-hydroxycarbamazepine
2*C476756 10-(6'-ubiquinonyl)decyltriphenylphosphonium bromide
3*C028098 10-hydroxycamptothecin
4*C554291 10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one
5*C521487 10-nitro-oleic acid
6*C418863 10-propargyl-10-deazaaminopterin
7*C065351 1,10-diaminodecane
8*C532626 1-(1'-(2-methylbenzyl)-1,4'-bipiperidin-4-yl)-1H-benzo(d)imidazol-2-(3H)-one
9*C561234 11-(2-pyrrolidin-1-ylethoxy)-14,19-dioxa-5,7,26-triazatetracyclo(19.3.1.1(2,6).1(8,12))heptacosa-1(25),2(26),3,5,8,10,12(27),16,21,23-decaene
10*C085415 1-(1,3-benzodioxol-5-ylcarbonyl)piperidine
11*C557705 1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea
12*C432747 1,1-dimethylbutyl-1-deoxy-Delta(9)-THC
13*C447943 11-keto-boswellic acid
14*C561619 1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea
15*C519817 1-(1-methylethyl)-4-((1-(6-(trifluoromethyl)-3-pyridinyl)-4-piperidinyl)carbonyl)hexahydro-1H-1,4-diazepine
16*C048241 1-(1-naphthyl)piperazine
17*C520022 1-(2-((1-(4-amino-3-chlorophenyl)methanoyl)amino)-3,3-dimethylbutanoyl)pyrrolidine-2-carboxylic acid
18*C530925 1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea
19*C534222 1-(2-((1-ethoxycarbonyloxyethoxycarbonylmethyl)carbamoyl)-3-phenylpropyldisulfanylmethyl)-3-methylsulfanylpropylamine
20*C508955 1-(2-(2-thienyl)-2-adamantyl) morpholine
21*C501656 1,2,3,4,8,9,10,10a-octahydro-7bH-cyclopenta(b)(1,4)diazepino(6,7,1hj)indole
22*C063159 1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole
23*C014843 1,2,3,4-tetrahydroisoquinoline
24*C504897 12-(3-adamantan-1-ylureido)dodecanoic acid
25*C463040 1-(2,3-dichlorobenzoyl)-5-methoxy-2-methyl-(2-(mopholin-4-yl)ethyl)-1H-indole
26*C504317 1-(2,3-dihydro-1,4-benzodioxin-5-yl)-4-((5-(4-fluorophenyl)-3-pyridinyl)methyl)piperazine
27*C045575 1,2,4-triazole
28*C494034 1,2,4-triazolo(1,5-c)pyrimidine
29*C087630 1,25-dihydroxy-16-ene-vitamin D3
