python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset c_data --num_hops 1 --epochs 100 --model GIN --batch_size 32 --use_feature
Epoch: 01, Train Loss: 0.4156, Valid Loss: 0.3396, Train AUC: 0.8959, Valid AUC: 0.9305, AUPR: 0.9333, F1 score: 0.8701, Accuracy: 0.8642, Recall: 0.9094, Specificity: 0.8189, Precision: 0.8339, MCC: 0.7314
Epoch: 02, Train Loss: 0.3444, Valid Loss: 0.3633, Train AUC: 0.9266, Valid AUC: 0.9345, AUPR: 0.9439, F1 score: 0.8738, Accuracy: 0.8681, Recall: 0.9134, Specificity: 0.8228, Precision: 0.8375, MCC: 0.7393
Epoch: 03, Train Loss: 0.3351, Valid Loss: 0.3397, Train AUC: 0.9310, Valid AUC: 0.9352, AUPR: 0.9420, F1 score: 0.8854, Accuracy: 0.8858, Recall: 0.8819, Specificity: 0.8898, Precision: 0.8889, MCC: 0.7717
Epoch: 04, Train Loss: 0.3186, Valid Loss: 0.3058, Train AUC: 0.9385, Valid AUC: 0.9482, AUPR: 0.9477, F1 score: 0.8880, Accuracy: 0.8839, Recall: 0.9213, Specificity: 0.8465, Precision: 0.8571, MCC: 0.7699
Epoch: 05, Train Loss: 0.3040, Valid Loss: 0.2937, Train AUC: 0.9447, Valid AUC: 0.9509, AUPR: 0.9517, F1 score: 0.9034, Accuracy: 0.9035, Recall: 0.9016, Specificity: 0.9055, Precision: 0.9051, MCC: 0.8071
Epoch: 06, Train Loss: 0.2852, Valid Loss: 0.4071, Train AUC: 0.9507, Valid AUC: 0.9407, AUPR: 0.9453, F1 score: 0.8979, Accuracy: 0.8957, Recall: 0.9173, Specificity: 0.8740, Precision: 0.8792, MCC: 0.7921
Epoch: 07, Train Loss: 0.2860, Valid Loss: 0.3339, Train AUC: 0.9506, Valid AUC: 0.9493, AUPR: 0.9260, F1 score: 0.9042, Accuracy: 0.9016, Recall: 0.9291, Specificity: 0.8740, Precision: 0.8806, MCC: 0.8044
Epoch: 08, Train Loss: 0.2822, Valid Loss: 0.3235, Train AUC: 0.9524, Valid AUC: 0.9457, AUPR: 0.9430, F1 score: 0.8835, Accuracy: 0.8858, Recall: 0.8661, Specificity: 0.9055, Precision: 0.9016, MCC: 0.7723
Epoch: 09, Train Loss: 0.2706, Valid Loss: 0.3196, Train AUC: 0.9560, Valid AUC: 0.9496, AUPR: 0.9297, F1 score: 0.8956, Accuracy: 0.8917, Recall: 0.9291, Specificity: 0.8543, Precision: 0.8645, MCC: 0.7857
Epoch: 10, Train Loss: 0.2750, Valid Loss: 0.3410, Train AUC: 0.9551, Valid AUC: 0.9468, AUPR: 0.9191, F1 score: 0.9040, Accuracy: 0.8996, Recall: 0.9449, Specificity: 0.8543, Precision: 0.8664, MCC: 0.8025
Epoch: 11, Train Loss: 0.2622, Valid Loss: 0.4512, Train AUC: 0.9584, Valid AUC: 0.9331, AUPR: 0.9309, F1 score: 0.8760, Accuracy: 0.8819, Recall: 0.8346, Specificity: 0.9291, Precision: 0.9217, MCC: 0.7672
