python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset c_data --num_hops 1 --epochs 100 --model SAGE --batch_size 32 --use_feature
Epoch: 01, Train Loss: 0.4352, Valid Loss: 0.3215, Train AUC: 0.8945, Valid AUC: 0.9364, AUPR: 0.9332, F1 score: 0.8985, Accuracy: 0.8937, Recall: 0.9409, Specificity: 0.8465, Precision: 0.8597, MCC: 0.7909
Epoch: 02, Train Loss: 0.3582, Valid Loss: 0.3146, Train AUC: 0.9244, Valid AUC: 0.9361, AUPR: 0.9340, F1 score: 0.8964, Accuracy: 0.8917, Recall: 0.9370, Specificity: 0.8465, Precision: 0.8592, MCC: 0.7867
Epoch: 03, Train Loss: 0.3528, Valid Loss: 0.3084, Train AUC: 0.9272, Valid AUC: 0.9412, AUPR: 0.9389, F1 score: 0.8956, Accuracy: 0.8917, Recall: 0.9291, Specificity: 0.8543, Precision: 0.8645, MCC: 0.7857
Epoch: 04, Train Loss: 0.3439, Valid Loss: 0.3279, Train AUC: 0.9293, Valid AUC: 0.9418, AUPR: 0.9409, F1 score: 0.8966, Accuracy: 0.8937, Recall: 0.9213, Specificity: 0.8661, Precision: 0.8731, MCC: 0.7886
Epoch: 05, Train Loss: 0.3320, Valid Loss: 0.3003, Train AUC: 0.9340, Valid AUC: 0.9428, AUPR: 0.9429, F1 score: 0.8964, Accuracy: 0.8917, Recall: 0.9370, Specificity: 0.8465, Precision: 0.8592, MCC: 0.7867
Epoch: 06, Train Loss: 0.3269, Valid Loss: 0.2947, Train AUC: 0.9361, Valid AUC: 0.9445, AUPR: 0.9451, F1 score: 0.8998, Accuracy: 0.8957, Recall: 0.9370, Specificity: 0.8543, Precision: 0.8655, MCC: 0.7941
Epoch: 07, Train Loss: 0.3205, Valid Loss: 0.2900, Train AUC: 0.9388, Valid AUC: 0.9478, AUPR: 0.9488, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 08, Train Loss: 0.3159, Valid Loss: 0.2928, Train AUC: 0.9395, Valid AUC: 0.9475, AUPR: 0.9487, F1 score: 0.9019, Accuracy: 0.8976, Recall: 0.9409, Specificity: 0.8543, Precision: 0.8659, MCC: 0.7983
Epoch: 09, Train Loss: 0.3099, Valid Loss: 0.3001, Train AUC: 0.9417, Valid AUC: 0.9476, AUPR: 0.9493, F1 score: 0.8960, Accuracy: 0.8917, Recall: 0.9331, Specificity: 0.8504, Precision: 0.8618, MCC: 0.7862
Epoch: 10, Train Loss: 0.3039, Valid Loss: 0.2789, Train AUC: 0.9445, Valid AUC: 0.9518, AUPR: 0.9544, F1 score: 0.9023, Accuracy: 0.9016, Recall: 0.9094, Specificity: 0.8937, Precision: 0.8953, MCC: 0.8032
Epoch: 11, Train Loss: 0.3030, Valid Loss: 0.2833, Train AUC: 0.9446, Valid AUC: 0.9486, AUPR: 0.9499, F1 score: 0.8996, Accuracy: 0.9016, Recall: 0.8819, Specificity: 0.9213, Precision: 0.9180, MCC: 0.8038
Epoch: 12, Train Loss: 0.2917, Valid Loss: 0.2983, Train AUC: 0.9482, Valid AUC: 0.9486, AUPR: 0.9502, F1 score: 0.9037, Accuracy: 0.9035, Recall: 0.9055, Specificity: 0.9016, Precision: 0.9020, MCC: 0.8071
Epoch: 13, Train Loss: 0.2921, Valid Loss: 0.2801, Train AUC: 0.9480, Valid AUC: 0.9529, AUPR: 0.9549, F1 score: 0.9035, Accuracy: 0.9016, Recall: 0.9213, Specificity: 0.8819, Precision: 0.8864, MCC: 0.8038
Epoch: 14, Train Loss: 0.2901, Valid Loss: 0.2691, Train AUC: 0.9487, Valid AUC: 0.9538, AUPR: 0.9550, F1 score: 0.9037, Accuracy: 0.9035, Recall: 0.9055, Specificity: 0.9016, Precision: 0.9020, MCC: 0.8071
Epoch: 15, Train Loss: 0.2800, Valid Loss: 0.2770, Train AUC: 0.9516, Valid AUC: 0.9577, AUPR: 0.9588, F1 score: 0.9055, Accuracy: 0.9055, Recall: 0.9055, Specificity: 0.9055, Precision: 0.9055, MCC: 0.8110
Epoch: 16, Train Loss: 0.2764, Valid Loss: 0.2720, Train AUC: 0.9534, Valid AUC: 0.9523, AUPR: 0.9543, F1 score: 0.9162, Accuracy: 0.9154, Recall: 0.9252, Specificity: 0.9055, Precision: 0.9073, MCC: 0.8309
Epoch: 17, Train Loss: 0.2835, Valid Loss: 0.2779, Train AUC: 0.9513, Valid AUC: 0.9555, AUPR: 0.9561, F1 score: 0.9070, Accuracy: 0.9035, Recall: 0.9409, Specificity: 0.8661, Precision: 0.8755, MCC: 0.8094
Epoch: 18, Train Loss: 0.2752, Valid Loss: 0.2809, Train AUC: 0.9540, Valid AUC: 0.9576, AUPR: 0.9591, F1 score: 0.9084, Accuracy: 0.9094, Recall: 0.8976, Specificity: 0.9213, Precision: 0.9194, MCC: 0.8191
Epoch: 19, Train Loss: 0.2718, Valid Loss: 0.2592, Train AUC: 0.9550, Valid AUC: 0.9570, AUPR: 0.9576, F1 score: 0.9112, Accuracy: 0.9114, Recall: 0.9094, Specificity: 0.9134, Precision: 0.9130, MCC: 0.8228
Epoch: 20, Train Loss: 0.2700, Valid Loss: 0.2847, Train AUC: 0.9558, Valid AUC: 0.9563, AUPR: 0.9579, F1 score: 0.9105, Accuracy: 0.9094, Recall: 0.9213, Specificity: 0.8976, Precision: 0.9000, MCC: 0.8191
Epoch: 21, Train Loss: 0.2665, Valid Loss: 0.2956, Train AUC: 0.9565, Valid AUC: 0.9549, AUPR: 0.9556, F1 score: 0.9066, Accuracy: 0.9075, Recall: 0.8976, Specificity: 0.9173, Precision: 0.9157, MCC: 0.8151
