python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset c_data --num_hops 1 --epochs 100 --model GCN --batch_size 32
Epoch: 01, Train Loss: 0.4326, Valid Loss: 0.3259, Train AUC: 0.8994, Valid AUC: 0.9354, AUPR: 0.9487, F1 score: 0.9017, Accuracy: 0.8996, Recall: 0.9213, Specificity: 0.8780, Precision: 0.8830, MCC: 0.8000
Epoch: 02, Train Loss: 0.3513, Valid Loss: 0.2953, Train AUC: 0.9244, Valid AUC: 0.9285, AUPR: 0.9419, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 03, Train Loss: 0.3343, Valid Loss: 0.2974, Train AUC: 0.9309, Valid AUC: 0.9463, AUPR: 0.9461, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 04, Train Loss: 0.3344, Valid Loss: 0.3013, Train AUC: 0.9309, Valid AUC: 0.9465, AUPR: 0.9426, F1 score: 0.9014, Accuracy: 0.8996, Recall: 0.9173, Specificity: 0.8819, Precision: 0.8859, MCC: 0.7997
Epoch: 05, Train Loss: 0.3228, Valid Loss: 0.3073, Train AUC: 0.9345, Valid AUC: 0.9469, AUPR: 0.9355, F1 score: 0.9014, Accuracy: 0.8996, Recall: 0.9173, Specificity: 0.8819, Precision: 0.8859, MCC: 0.7997
Epoch: 06, Train Loss: 0.3208, Valid Loss: 0.3199, Train AUC: 0.9351, Valid AUC: 0.9475, AUPR: 0.9324, F1 score: 0.9014, Accuracy: 0.8996, Recall: 0.9173, Specificity: 0.8819, Precision: 0.8859, MCC: 0.7997
Epoch: 07, Train Loss: 0.3165, Valid Loss: 0.3154, Train AUC: 0.9365, Valid AUC: 0.9475, AUPR: 0.9320, F1 score: 0.9035, Accuracy: 0.9016, Recall: 0.9213, Specificity: 0.8819, Precision: 0.8864, MCC: 0.8038
Epoch: 08, Train Loss: 0.3211, Valid Loss: 0.3320, Train AUC: 0.9357, Valid AUC: 0.9476, AUPR: 0.9341, F1 score: 0.9035, Accuracy: 0.9016, Recall: 0.9213, Specificity: 0.8819, Precision: 0.8864, MCC: 0.8038
Epoch: 09, Train Loss: 0.3140, Valid Loss: 0.3270, Train AUC: 0.9371, Valid AUC: 0.9472, AUPR: 0.9317, F1 score: 0.9014, Accuracy: 0.8996, Recall: 0.9173, Specificity: 0.8819, Precision: 0.8859, MCC: 0.7997
Epoch: 10, Train Loss: 0.3148, Valid Loss: 0.3292, Train AUC: 0.9370, Valid AUC: 0.9475, AUPR: 0.9314, F1 score: 0.9056, Accuracy: 0.9035, Recall: 0.9252, Specificity: 0.8819, Precision: 0.8868, MCC: 0.8078
Epoch: 11, Train Loss: 0.3100, Valid Loss: 0.3240, Train AUC: 0.9392, Valid AUC: 0.9476, AUPR: 0.9321, F1 score: 0.9014, Accuracy: 0.8996, Recall: 0.9173, Specificity: 0.8819, Precision: 0.8859, MCC: 0.7997
Epoch: 12, Train Loss: 0.3182, Valid Loss: 0.3226, Train AUC: 0.9358, Valid AUC: 0.9478, AUPR: 0.9323, F1 score: 0.9060, Accuracy: 0.9035, Recall: 0.9291, Specificity: 0.8780, Precision: 0.8839, MCC: 0.8081
Epoch: 13, Train Loss: 0.3167, Valid Loss: 0.3413, Train AUC: 0.9376, Valid AUC: 0.9471, AUPR: 0.9316, F1 score: 0.9021, Accuracy: 0.8996, Recall: 0.9252, Specificity: 0.8740, Precision: 0.8801, MCC: 0.8003
Epoch: 14, Train Loss: 0.3111, Valid Loss: 0.3185, Train AUC: 0.9401, Valid AUC: 0.9474, AUPR: 0.9319, F1 score: 0.9077, Accuracy: 0.9055, Recall: 0.9291, Specificity: 0.8819, Precision: 0.8872, MCC: 0.8119
Epoch: 15, Train Loss: 0.3136, Valid Loss: 0.3323, Train AUC: 0.9383, Valid AUC: 0.9471, AUPR: 0.9316, F1 score: 0.8998, Accuracy: 0.8957, Recall: 0.9370, Specificity: 0.8543, Precision: 0.8655, MCC: 0.7941
Epoch: 16, Train Loss: 0.3117, Valid Loss: 0.3306, Train AUC: 0.9390, Valid AUC: 0.9474, AUPR: 0.9349, F1 score: 0.9060, Accuracy: 0.9035, Recall: 0.9291, Specificity: 0.8780, Precision: 0.8839, MCC: 0.8081
Epoch: 17, Train Loss: 0.3160, Valid Loss: 0.3190, Train AUC: 0.9387, Valid AUC: 0.9463, AUPR: 0.9310, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 18, Train Loss: 0.3133, Valid Loss: 0.3332, Train AUC: 0.9381, Valid AUC: 0.9473, AUPR: 0.9349, F1 score: 0.9060, Accuracy: 0.9035, Recall: 0.9291, Specificity: 0.8780, Precision: 0.8839, MCC: 0.8081
Epoch: 19, Train Loss: 0.3122, Valid Loss: 0.3303, Train AUC: 0.9387, Valid AUC: 0.9482, AUPR: 0.9324, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 20, Train Loss: 0.3114, Valid Loss: 0.3492, Train AUC: 0.9384, Valid AUC: 0.9470, AUPR: 0.9312, F1 score: 0.8998, Accuracy: 0.8957, Recall: 0.9370, Specificity: 0.8543, Precision: 0.8655, MCC: 0.7941
Epoch: 21, Train Loss: 0.3129, Valid Loss: 0.3292, Train AUC: 0.9383, Valid AUC: 0.9484, AUPR: 0.9330, F1 score: 0.9035, Accuracy: 0.9016, Recall: 0.9213, Specificity: 0.8819, Precision: 0.8864, MCC: 0.8038
Epoch: 22, Train Loss: 0.3135, Valid Loss: 0.3469, Train AUC: 0.9379, Valid AUC: 0.9477, AUPR: 0.9317, F1 score: 0.9019, Accuracy: 0.8976, Recall: 0.9409, Specificity: 0.8543, Precision: 0.8659, MCC: 0.7983
Epoch: 23, Train Loss: 0.3106, Valid Loss: 0.3311, Train AUC: 0.9396, Valid AUC: 0.9471, AUPR: 0.9317, F1 score: 0.9019, Accuracy: 0.8976, Recall: 0.9409, Specificity: 0.8543, Precision: 0.8659, MCC: 0.7983
Epoch: 24, Train Loss: 0.3158, Valid Loss: 0.3349, Train AUC: 0.9382, Valid AUC: 0.9477, AUPR: 0.9317, F1 score: 0.9056, Accuracy: 0.9035, Recall: 0.9252, Specificity: 0.8819, Precision: 0.8868, MCC: 0.8078
Epoch: 25, Train Loss: 0.3123, Valid Loss: 0.3288, Train AUC: 0.9383, Valid AUC: 0.9476, AUPR: 0.9320, F1 score: 0.9042, Accuracy: 0.9016, Recall: 0.9291, Specificity: 0.8740, Precision: 0.8806, MCC: 0.8044
Epoch: 26, Train Loss: 0.3093, Valid Loss: 0.3427, Train AUC: 0.9393, Valid AUC: 0.9482, AUPR: 0.9326, F1 score: 0.9060, Accuracy: 0.9035, Recall: 0.9291, Specificity: 0.8780, Precision: 0.8839, MCC: 0.8081
Epoch: 27, Train Loss: 0.3125, Valid Loss: 0.3370, Train AUC: 0.9387, Valid AUC: 0.9471, AUPR: 0.9313, F1 score: 0.9077, Accuracy: 0.9055, Recall: 0.9291, Specificity: 0.8819, Precision: 0.8872, MCC: 0.8119
Epoch: 28, Train Loss: 0.3110, Valid Loss: 0.3507, Train AUC: 0.9389, Valid AUC: 0.9483, AUPR: 0.9321, F1 score: 0.9077, Accuracy: 0.9055, Recall: 0.9291, Specificity: 0.8819, Precision: 0.8872, MCC: 0.8119
Epoch: 29, Train Loss: 0.3116, Valid Loss: 0.3404, Train AUC: 0.9393, Valid AUC: 0.9480, AUPR: 0.9326, F1 score: 0.9042, Accuracy: 0.9016, Recall: 0.9291, Specificity: 0.8740, Precision: 0.8806, MCC: 0.8044
Epoch: 30, Train Loss: 0.3154, Valid Loss: 0.3358, Train AUC: 0.9382, Valid AUC: 0.9475, AUPR: 0.9317, F1 score: 0.9035, Accuracy: 0.9016, Recall: 0.9213, Specificity: 0.8819, Precision: 0.8864, MCC: 0.8038
Epoch: 31, Train Loss: 0.3117, Valid Loss: 0.3219, Train AUC: 0.9388, Valid AUC: 0.9476, AUPR: 0.9324, F1 score: 0.9035, Accuracy: 0.9016, Recall: 0.9213, Specificity: 0.8819, Precision: 0.8864, MCC: 0.8038
Epoch: 32, Train Loss: 0.3083, Valid Loss: 0.3421, Train AUC: 0.9403, Valid AUC: 0.9482, AUPR: 0.9325, F1 score: 0.9056, Accuracy: 0.9035, Recall: 0.9252, Specificity: 0.8819, Precision: 0.8868, MCC: 0.8078
Epoch: 33, Train Loss: 0.3119, Valid Loss: 0.3504, Train AUC: 0.9390, Valid AUC: 0.9476, AUPR: 0.9320, F1 score: 0.9035, Accuracy: 0.9016, Recall: 0.9213, Specificity: 0.8819, Precision: 0.8864, MCC: 0.8038
Epoch: 34, Train Loss: 0.3087, Valid Loss: 0.3290, Train AUC: 0.9399, Valid AUC: 0.9486, AUPR: 0.9333, F1 score: 0.9056, Accuracy: 0.9035, Recall: 0.9252, Specificity: 0.8819, Precision: 0.8868, MCC: 0.8078
Epoch: 35, Train Loss: 0.3078, Valid Loss: 0.3394, Train AUC: 0.9403, Valid AUC: 0.9485, AUPR: 0.9331, F1 score: 0.9060, Accuracy: 0.9035, Recall: 0.9291, Specificity: 0.8780, Precision: 0.8839, MCC: 0.8081
