python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset c_data --num_hops 1 --epochs 100 --model GIN --batch_size 32
Epoch: 01, Train Loss: 0.3835, Valid Loss: 0.3115, Train AUC: 0.9173, Valid AUC: 0.9480, AUPR: 0.9493, F1 score: 0.9025, Accuracy: 0.8996, Recall: 0.9291, Specificity: 0.8701, Precision: 0.8773, MCC: 0.8006
Epoch: 02, Train Loss: 0.3332, Valid Loss: 0.3034, Train AUC: 0.9323, Valid AUC: 0.9468, AUPR: 0.9306, F1 score: 0.8981, Accuracy: 0.8937, Recall: 0.9370, Specificity: 0.8504, Precision: 0.8623, MCC: 0.7904
Epoch: 03, Train Loss: 0.3310, Valid Loss: 0.2925, Train AUC: 0.9322, Valid AUC: 0.9496, AUPR: 0.9345, F1 score: 0.8985, Accuracy: 0.8937, Recall: 0.9409, Specificity: 0.8465, Precision: 0.8597, MCC: 0.7909
Epoch: 04, Train Loss: 0.3279, Valid Loss: 0.2897, Train AUC: 0.9331, Valid AUC: 0.9504, AUPR: 0.9347, F1 score: 0.9055, Accuracy: 0.9055, Recall: 0.9055, Specificity: 0.9055, Precision: 0.9055, MCC: 0.8110
Epoch: 05, Train Loss: 0.3240, Valid Loss: 0.3072, Train AUC: 0.9350, Valid AUC: 0.9457, AUPR: 0.9300, F1 score: 0.8994, Accuracy: 0.8957, Recall: 0.9331, Specificity: 0.8583, Precision: 0.8681, MCC: 0.7936
Epoch: 06, Train Loss: 0.3218, Valid Loss: 0.3081, Train AUC: 0.9354, Valid AUC: 0.9479, AUPR: 0.9330, F1 score: 0.8958, Accuracy: 0.8937, Recall: 0.9134, Specificity: 0.8740, Precision: 0.8788, MCC: 0.7880
Epoch: 07, Train Loss: 0.3180, Valid Loss: 0.3079, Train AUC: 0.9369, Valid AUC: 0.9474, AUPR: 0.9323, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 08, Train Loss: 0.3141, Valid Loss: 0.2980, Train AUC: 0.9375, Valid AUC: 0.9483, AUPR: 0.9327, F1 score: 0.9073, Accuracy: 0.9055, Recall: 0.9252, Specificity: 0.8858, Precision: 0.8902, MCC: 0.8117
Epoch: 09, Train Loss: 0.3165, Valid Loss: 0.2996, Train AUC: 0.9374, Valid AUC: 0.9464, AUPR: 0.9301, F1 score: 0.9036, Accuracy: 0.8996, Recall: 0.9409, Specificity: 0.8583, Precision: 0.8691, MCC: 0.8020
Epoch: 10, Train Loss: 0.3185, Valid Loss: 0.3041, Train AUC: 0.9365, Valid AUC: 0.9463, AUPR: 0.9302, F1 score: 0.9025, Accuracy: 0.8996, Recall: 0.9291, Specificity: 0.8701, Precision: 0.8773, MCC: 0.8006
Epoch: 11, Train Loss: 0.3146, Valid Loss: 0.2789, Train AUC: 0.9381, Valid AUC: 0.9504, AUPR: 0.9503, F1 score: 0.9073, Accuracy: 0.9055, Recall: 0.9252, Specificity: 0.8858, Precision: 0.8902, MCC: 0.8117
Epoch: 12, Train Loss: 0.3152, Valid Loss: 0.2919, Train AUC: 0.9374, Valid AUC: 0.9475, AUPR: 0.9319, F1 score: 0.9066, Accuracy: 0.9055, Recall: 0.9173, Specificity: 0.8937, Precision: 0.8962, MCC: 0.8112
Epoch: 13, Train Loss: 0.3147, Valid Loss: 0.2949, Train AUC: 0.9374, Valid AUC: 0.9471, AUPR: 0.9311, F1 score: 0.9070, Accuracy: 0.9055, Recall: 0.9213, Specificity: 0.8898, Precision: 0.8931, MCC: 0.8114
Epoch: 14, Train Loss: 0.3166, Valid Loss: 0.2910, Train AUC: 0.9364, Valid AUC: 0.9481, AUPR: 0.9320, F1 score: 0.9073, Accuracy: 0.9055, Recall: 0.9252, Specificity: 0.8858, Precision: 0.8902, MCC: 0.8117
Epoch: 15, Train Loss: 0.3156, Valid Loss: 0.3026, Train AUC: 0.9374, Valid AUC: 0.9479, AUPR: 0.9316, F1 score: 0.9077, Accuracy: 0.9055, Recall: 0.9291, Specificity: 0.8819, Precision: 0.8872, MCC: 0.8119
Epoch: 16, Train Loss: 0.3136, Valid Loss: 0.2920, Train AUC: 0.9387, Valid AUC: 0.9490, AUPR: 0.9338, F1 score: 0.9032, Accuracy: 0.8996, Recall: 0.9370, Specificity: 0.8622, Precision: 0.8718, MCC: 0.8015
Epoch: 17, Train Loss: 0.3189, Valid Loss: 0.3053, Train AUC: 0.9361, Valid AUC: 0.9476, AUPR: 0.9322, F1 score: 0.9055, Accuracy: 0.9055, Recall: 0.9055, Specificity: 0.9055, Precision: 0.9055, MCC: 0.8110
Epoch: 18, Train Loss: 0.3133, Valid Loss: 0.2982, Train AUC: 0.9379, Valid AUC: 0.9489, AUPR: 0.9327, F1 score: 0.9052, Accuracy: 0.9035, Recall: 0.9213, Specificity: 0.8858, Precision: 0.8897, MCC: 0.8076
Epoch: 19, Train Loss: 0.3142, Valid Loss: 0.2934, Train AUC: 0.9383, Valid AUC: 0.9483, AUPR: 0.9321, F1 score: 0.9077, Accuracy: 0.9055, Recall: 0.9291, Specificity: 0.8819, Precision: 0.8872, MCC: 0.8119
Epoch: 20, Train Loss: 0.3123, Valid Loss: 0.3094, Train AUC: 0.9389, Valid AUC: 0.9474, AUPR: 0.9320, F1 score: 0.9010, Accuracy: 0.8996, Recall: 0.9134, Specificity: 0.8858, Precision: 0.8889, MCC: 0.7995
