python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset c_data --num_hops 1 --epochs 100 --model GCN --batch_size 32 --use_feature --hidden_channels 256
Epoch: 01, Train Loss: 0.3523, Valid Loss: 0.3041, Train AUC: 0.9264, Valid AUC: 0.9477, AUPR: 0.9500, F1 score: 0.8994, Accuracy: 0.8957, Recall: 0.9331, Specificity: 0.8583, Precision: 0.8681, MCC: 0.7936
Epoch: 02, Train Loss: 0.3324, Valid Loss: 0.2997, Train AUC: 0.9353, Valid AUC: 0.9467, AUPR: 0.9454, F1 score: 0.8975, Accuracy: 0.8957, Recall: 0.9134, Specificity: 0.8780, Precision: 0.8821, MCC: 0.7918
Epoch: 03, Train Loss: 0.3178, Valid Loss: 0.3085, Train AUC: 0.9384, Valid AUC: 0.9470, AUPR: 0.9317, F1 score: 0.8990, Accuracy: 0.8957, Recall: 0.9291, Specificity: 0.8622, Precision: 0.8708, MCC: 0.7931
Epoch: 04, Train Loss: 0.3182, Valid Loss: 0.3117, Train AUC: 0.9386, Valid AUC: 0.9463, AUPR: 0.9316, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 05, Train Loss: 0.3070, Valid Loss: 0.3019, Train AUC: 0.9415, Valid AUC: 0.9470, AUPR: 0.9466, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 06, Train Loss: 0.3040, Valid Loss: 0.3219, Train AUC: 0.9430, Valid AUC: 0.9484, AUPR: 0.9346, F1 score: 0.9025, Accuracy: 0.8996, Recall: 0.9291, Specificity: 0.8701, Precision: 0.8773, MCC: 0.8006
Epoch: 07, Train Loss: 0.3001, Valid Loss: 0.3015, Train AUC: 0.9441, Valid AUC: 0.9482, AUPR: 0.9353, F1 score: 0.9046, Accuracy: 0.9016, Recall: 0.9331, Specificity: 0.8701, Precision: 0.8778, MCC: 0.8047
Epoch: 08, Train Loss: 0.2955, Valid Loss: 0.2998, Train AUC: 0.9456, Valid AUC: 0.9480, AUPR: 0.9449, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 09, Train Loss: 0.2925, Valid Loss: 0.2869, Train AUC: 0.9461, Valid AUC: 0.9484, AUPR: 0.9480, F1 score: 0.9025, Accuracy: 0.8996, Recall: 0.9291, Specificity: 0.8701, Precision: 0.8773, MCC: 0.8006
Epoch: 10, Train Loss: 0.2903, Valid Loss: 0.2941, Train AUC: 0.9480, Valid AUC: 0.9506, AUPR: 0.9507, F1 score: 0.8977, Accuracy: 0.8937, Recall: 0.9331, Specificity: 0.8543, Precision: 0.8650, MCC: 0.7899
Epoch: 11, Train Loss: 0.2932, Valid Loss: 0.2882, Train AUC: 0.9468, Valid AUC: 0.9495, AUPR: 0.9411, F1 score: 0.9014, Accuracy: 0.8996, Recall: 0.9173, Specificity: 0.8819, Precision: 0.8859, MCC: 0.7997
Epoch: 12, Train Loss: 0.2889, Valid Loss: 0.3140, Train AUC: 0.9475, Valid AUC: 0.9477, AUPR: 0.9305, F1 score: 0.9084, Accuracy: 0.9055, Recall: 0.9370, Specificity: 0.8740, Precision: 0.8815, MCC: 0.8126
Epoch: 13, Train Loss: 0.2832, Valid Loss: 0.2846, Train AUC: 0.9492, Valid AUC: 0.9508, AUPR: 0.9452, F1 score: 0.9020, Accuracy: 0.9016, Recall: 0.9055, Specificity: 0.8976, Precision: 0.8984, MCC: 0.8032
Epoch: 14, Train Loss: 0.2812, Valid Loss: 0.3084, Train AUC: 0.9502, Valid AUC: 0.9475, AUPR: 0.9470, F1 score: 0.9008, Accuracy: 0.8976, Recall: 0.9291, Specificity: 0.8661, Precision: 0.8741, MCC: 0.7969
Epoch: 15, Train Loss: 0.2888, Valid Loss: 0.2904, Train AUC: 0.9465, Valid AUC: 0.9503, AUPR: 0.9385, F1 score: 0.9025, Accuracy: 0.8996, Recall: 0.9291, Specificity: 0.8701, Precision: 0.8773, MCC: 0.8006
Epoch: 16, Train Loss: 0.2764, Valid Loss: 0.2812, Train AUC: 0.9516, Valid AUC: 0.9505, AUPR: 0.9457, F1 score: 0.9048, Accuracy: 0.9055, Recall: 0.8976, Specificity: 0.9134, Precision: 0.9120, MCC: 0.8111
Epoch: 17, Train Loss: 0.2744, Valid Loss: 0.2814, Train AUC: 0.9511, Valid AUC: 0.9506, AUPR: 0.9463, F1 score: 0.9070, Accuracy: 0.9035, Recall: 0.9409, Specificity: 0.8661, Precision: 0.8755, MCC: 0.8094
Epoch: 18, Train Loss: 0.2689, Valid Loss: 0.2827, Train AUC: 0.9543, Valid AUC: 0.9505, AUPR: 0.9539, F1 score: 0.8971, Accuracy: 0.8957, Recall: 0.9094, Specificity: 0.8819, Precision: 0.8851, MCC: 0.7916
Epoch: 19, Train Loss: 0.2728, Valid Loss: 0.2811, Train AUC: 0.9529, Valid AUC: 0.9526, AUPR: 0.9535, F1 score: 0.9040, Accuracy: 0.8996, Recall: 0.9449, Specificity: 0.8543, Precision: 0.8664, MCC: 0.8025
Epoch: 20, Train Loss: 0.2655, Valid Loss: 0.2823, Train AUC: 0.9541, Valid AUC: 0.9531, AUPR: 0.9446, F1 score: 0.9094, Accuracy: 0.9094, Recall: 0.9094, Specificity: 0.9094, Precision: 0.9094, MCC: 0.8189
Epoch: 21, Train Loss: 0.2701, Valid Loss: 0.3072, Train AUC: 0.9537, Valid AUC: 0.9508, AUPR: 0.9292, F1 score: 0.9035, Accuracy: 0.9016, Recall: 0.9213, Specificity: 0.8819, Precision: 0.8864, MCC: 0.8038
Epoch: 22, Train Loss: 0.2653, Valid Loss: 0.2895, Train AUC: 0.9554, Valid AUC: 0.9520, AUPR: 0.9341, F1 score: 0.9060, Accuracy: 0.9035, Recall: 0.9291, Specificity: 0.8780, Precision: 0.8839, MCC: 0.8081
