python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset c_data --num_hops 1 --epochs 100 --model GCN --batch_size 32 --hidden_channels 256 --dropout 0.5
Epoch: 01, Train Loss: 0.3527, Valid Loss: 0.2966, Train AUC: 0.9278, Valid AUC: 0.9465, AUPR: 0.9474, F1 score: 0.9060, Accuracy: 0.9035, Recall: 0.9291, Specificity: 0.8780, Precision: 0.8839, MCC: 0.8081
Epoch: 02, Train Loss: 0.3282, Valid Loss: 0.3098, Train AUC: 0.9355, Valid AUC: 0.9472, AUPR: 0.9420, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 03, Train Loss: 0.3225, Valid Loss: 0.3246, Train AUC: 0.9362, Valid AUC: 0.9454, AUPR: 0.9401, F1 score: 0.8975, Accuracy: 0.8957, Recall: 0.9134, Specificity: 0.8780, Precision: 0.8821, MCC: 0.7918
Epoch: 04, Train Loss: 0.3216, Valid Loss: 0.3027, Train AUC: 0.9370, Valid AUC: 0.9464, AUPR: 0.9386, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 05, Train Loss: 0.3105, Valid Loss: 0.3003, Train AUC: 0.9391, Valid AUC: 0.9461, AUPR: 0.9369, F1 score: 0.8985, Accuracy: 0.8937, Recall: 0.9409, Specificity: 0.8465, Precision: 0.8597, MCC: 0.7909
Epoch: 06, Train Loss: 0.3137, Valid Loss: 0.2993, Train AUC: 0.9388, Valid AUC: 0.9463, AUPR: 0.9407, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 07, Train Loss: 0.3068, Valid Loss: 0.3070, Train AUC: 0.9399, Valid AUC: 0.9465, AUPR: 0.9356, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 08, Train Loss: 0.3072, Valid Loss: 0.3009, Train AUC: 0.9391, Valid AUC: 0.9471, AUPR: 0.9361, F1 score: 0.8998, Accuracy: 0.8957, Recall: 0.9370, Specificity: 0.8543, Precision: 0.8655, MCC: 0.7941
Epoch: 09, Train Loss: 0.3091, Valid Loss: 0.3067, Train AUC: 0.9388, Valid AUC: 0.9475, AUPR: 0.9380, F1 score: 0.9019, Accuracy: 0.8976, Recall: 0.9409, Specificity: 0.8543, Precision: 0.8659, MCC: 0.7983
Epoch: 10, Train Loss: 0.3045, Valid Loss: 0.3242, Train AUC: 0.9393, Valid AUC: 0.9463, AUPR: 0.9302, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 11, Train Loss: 0.3050, Valid Loss: 0.3184, Train AUC: 0.9396, Valid AUC: 0.9473, AUPR: 0.9308, F1 score: 0.9056, Accuracy: 0.9035, Recall: 0.9252, Specificity: 0.8819, Precision: 0.8868, MCC: 0.8078
Epoch: 12, Train Loss: 0.3060, Valid Loss: 0.3132, Train AUC: 0.9398, Valid AUC: 0.9481, AUPR: 0.9326, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 13, Train Loss: 0.3052, Valid Loss: 0.3137, Train AUC: 0.9394, Valid AUC: 0.9488, AUPR: 0.9331, F1 score: 0.9002, Accuracy: 0.8996, Recall: 0.9055, Specificity: 0.8937, Precision: 0.8949, MCC: 0.7993
Epoch: 14, Train Loss: 0.3051, Valid Loss: 0.3135, Train AUC: 0.9394, Valid AUC: 0.9469, AUPR: 0.9315, F1 score: 0.9014, Accuracy: 0.8996, Recall: 0.9173, Specificity: 0.8819, Precision: 0.8859, MCC: 0.7997
Epoch: 15, Train Loss: 0.3028, Valid Loss: 0.3310, Train AUC: 0.9407, Valid AUC: 0.9473, AUPR: 0.9338, F1 score: 0.9025, Accuracy: 0.8996, Recall: 0.9291, Specificity: 0.8701, Precision: 0.8773, MCC: 0.8006
Epoch: 16, Train Loss: 0.3145, Valid Loss: 0.3291, Train AUC: 0.9381, Valid AUC: 0.9470, AUPR: 0.9317, F1 score: 0.8998, Accuracy: 0.8957, Recall: 0.9370, Specificity: 0.8543, Precision: 0.8655, MCC: 0.7941
Epoch: 17, Train Loss: 0.3099, Valid Loss: 0.3148, Train AUC: 0.9391, Valid AUC: 0.9469, AUPR: 0.9314, F1 score: 0.9021, Accuracy: 0.8996, Recall: 0.9252, Specificity: 0.8740, Precision: 0.8801, MCC: 0.8003
Epoch: 18, Train Loss: 0.3033, Valid Loss: 0.3302, Train AUC: 0.9418, Valid AUC: 0.9470, AUPR: 0.9349, F1 score: 0.9070, Accuracy: 0.9035, Recall: 0.9409, Specificity: 0.8661, Precision: 0.8755, MCC: 0.8094
Epoch: 19, Train Loss: 0.3046, Valid Loss: 0.2992, Train AUC: 0.9395, Valid AUC: 0.9487, AUPR: 0.9340, F1 score: 0.9031, Accuracy: 0.9016, Recall: 0.9173, Specificity: 0.8858, Precision: 0.8893, MCC: 0.8035
Epoch: 20, Train Loss: 0.3029, Valid Loss: 0.3109, Train AUC: 0.9412, Valid AUC: 0.9474, AUPR: 0.9323, F1 score: 0.9000, Accuracy: 0.8976, Recall: 0.9213, Specificity: 0.8740, Precision: 0.8797, MCC: 0.7962
Epoch: 21, Train Loss: 0.2991, Valid Loss: 0.3058, Train AUC: 0.9409, Valid AUC: 0.9475, AUPR: 0.9349, F1 score: 0.9056, Accuracy: 0.9035, Recall: 0.9252, Specificity: 0.8819, Precision: 0.8868, MCC: 0.8078
Epoch: 22, Train Loss: 0.3052, Valid Loss: 0.3217, Train AUC: 0.9388, Valid AUC: 0.9481, AUPR: 0.9327, F1 score: 0.9042, Accuracy: 0.9016, Recall: 0.9291, Specificity: 0.8740, Precision: 0.8806, MCC: 0.8044
Epoch: 23, Train Loss: 0.3030, Valid Loss: 0.3108, Train AUC: 0.9414, Valid AUC: 0.9453, AUPR: 0.9314, F1 score: 0.8994, Accuracy: 0.8957, Recall: 0.9331, Specificity: 0.8583, Precision: 0.8681, MCC: 0.7936
Epoch: 24, Train Loss: 0.3007, Valid Loss: 0.3281, Train AUC: 0.9421, Valid AUC: 0.9461, AUPR: 0.9324, F1 score: 0.9056, Accuracy: 0.9035, Recall: 0.9252, Specificity: 0.8819, Precision: 0.8868, MCC: 0.8078
Epoch: 25, Train Loss: 0.3003, Valid Loss: 0.3114, Train AUC: 0.9423, Valid AUC: 0.9481, AUPR: 0.9331, F1 score: 0.8998, Accuracy: 0.8957, Recall: 0.9370, Specificity: 0.8543, Precision: 0.8655, MCC: 0.7941
Epoch: 26, Train Loss: 0.3019, Valid Loss: 0.3105, Train AUC: 0.9416, Valid AUC: 0.9475, AUPR: 0.9322, F1 score: 0.9021, Accuracy: 0.8996, Recall: 0.9252, Specificity: 0.8740, Precision: 0.8801, MCC: 0.8003
Epoch: 27, Train Loss: 0.3024, Valid Loss: 0.3643, Train AUC: 0.9410, Valid AUC: 0.9475, AUPR: 0.9378, F1 score: 0.8985, Accuracy: 0.8937, Recall: 0.9409, Specificity: 0.8465, Precision: 0.8597, MCC: 0.7909
Epoch: 28, Train Loss: 0.3029, Valid Loss: 0.3441, Train AUC: 0.9405, Valid AUC: 0.9474, AUPR: 0.9324, F1 score: 0.8985, Accuracy: 0.8937, Recall: 0.9409, Specificity: 0.8465, Precision: 0.8597, MCC: 0.7909
Epoch: 29, Train Loss: 0.3031, Valid Loss: 0.3228, Train AUC: 0.9404, Valid AUC: 0.9475, AUPR: 0.9321, F1 score: 0.9063, Accuracy: 0.9035, Recall: 0.9331, Specificity: 0.8740, Precision: 0.8810, MCC: 0.8085
Epoch: 30, Train Loss: 0.2999, Valid Loss: 0.3042, Train AUC: 0.9406, Valid AUC: 0.9475, AUPR: 0.9326, F1 score: 0.8998, Accuracy: 0.8957, Recall: 0.9370, Specificity: 0.8543, Precision: 0.8655, MCC: 0.7941
Epoch: 31, Train Loss: 0.3066, Valid Loss: 0.3136, Train AUC: 0.9402, Valid AUC: 0.9463, AUPR: 0.9309, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 32, Train Loss: 0.3064, Valid Loss: 0.4335, Train AUC: 0.9400, Valid AUC: 0.9477, AUPR: 0.9330, F1 score: 0.8977, Accuracy: 0.8937, Recall: 0.9331, Specificity: 0.8543, Precision: 0.8650, MCC: 0.7899
Epoch: 33, Train Loss: 0.3028, Valid Loss: 0.3685, Train AUC: 0.9409, Valid AUC: 0.9460, AUPR: 0.9303, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 34, Train Loss: 0.3025, Valid Loss: 0.3566, Train AUC: 0.9408, Valid AUC: 0.9467, AUPR: 0.9314, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 35, Train Loss: 0.3009, Valid Loss: 0.3842, Train AUC: 0.9414, Valid AUC: 0.9472, AUPR: 0.9363, F1 score: 0.9019, Accuracy: 0.8976, Recall: 0.9409, Specificity: 0.8543, Precision: 0.8659, MCC: 0.7983
Epoch: 36, Train Loss: 0.3028, Valid Loss: 0.3284, Train AUC: 0.9412, Valid AUC: 0.9464, AUPR: 0.9310, F1 score: 0.9019, Accuracy: 0.8976, Recall: 0.9409, Specificity: 0.8543, Precision: 0.8659, MCC: 0.7983
Epoch: 37, Train Loss: 0.3018, Valid Loss: 0.3317, Train AUC: 0.9405, Valid AUC: 0.9474, AUPR: 0.9323, F1 score: 0.9035, Accuracy: 0.9016, Recall: 0.9213, Specificity: 0.8819, Precision: 0.8864, MCC: 0.8038
Epoch: 38, Train Loss: 0.3017, Valid Loss: 0.2985, Train AUC: 0.9409, Valid AUC: 0.9475, AUPR: 0.9367, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 39, Train Loss: 0.3003, Valid Loss: 0.3046, Train AUC: 0.9423, Valid AUC: 0.9475, AUPR: 0.9321, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 40, Train Loss: 0.3008, Valid Loss: 0.3274, Train AUC: 0.9417, Valid AUC: 0.9479, AUPR: 0.9328, F1 score: 0.8988, Accuracy: 0.8976, Recall: 0.9094, Specificity: 0.8858, Precision: 0.8885, MCC: 0.7955
Epoch: 41, Train Loss: 0.2992, Valid Loss: 0.3106, Train AUC: 0.9416, Valid AUC: 0.9472, AUPR: 0.9319, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 42, Train Loss: 0.3011, Valid Loss: 0.2997, Train AUC: 0.9406, Valid AUC: 0.9478, AUPR: 0.9328, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 43, Train Loss: 0.3042, Valid Loss: 0.3090, Train AUC: 0.9397, Valid AUC: 0.9469, AUPR: 0.9316, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 44, Train Loss: 0.3000, Valid Loss: 0.3056, Train AUC: 0.9414, Valid AUC: 0.9475, AUPR: 0.9326, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 45, Train Loss: 0.3007, Valid Loss: 0.3154, Train AUC: 0.9419, Valid AUC: 0.9476, AUPR: 0.9324, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 46, Train Loss: 0.3017, Valid Loss: 0.3175, Train AUC: 0.9412, Valid AUC: 0.9459, AUPR: 0.9308, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 47, Train Loss: 0.3032, Valid Loss: 0.3742, Train AUC: 0.9405, Valid AUC: 0.9468, AUPR: 0.9316, F1 score: 0.9056, Accuracy: 0.9035, Recall: 0.9252, Specificity: 0.8819, Precision: 0.8868, MCC: 0.8078
Epoch: 48, Train Loss: 0.3005, Valid Loss: 0.3269, Train AUC: 0.9420, Valid AUC: 0.9473, AUPR: 0.9322, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 49, Train Loss: 0.3002, Valid Loss: 0.3011, Train AUC: 0.9421, Valid AUC: 0.9475, AUPR: 0.9377, F1 score: 0.9019, Accuracy: 0.8976, Recall: 0.9409, Specificity: 0.8543, Precision: 0.8659, MCC: 0.7983
Epoch: 50, Train Loss: 0.3022, Valid Loss: 0.3072, Train AUC: 0.9405, Valid AUC: 0.9476, AUPR: 0.9328, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 51, Train Loss: 0.3027, Valid Loss: 0.3078, Train AUC: 0.9402, Valid AUC: 0.9480, AUPR: 0.9329, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 52, Train Loss: 0.3044, Valid Loss: 0.3292, Train AUC: 0.9412, Valid AUC: 0.9471, AUPR: 0.9319, F1 score: 0.9021, Accuracy: 0.8996, Recall: 0.9252, Specificity: 0.8740, Precision: 0.8801, MCC: 0.8003
Epoch: 53, Train Loss: 0.3022, Valid Loss: 0.3257, Train AUC: 0.9408, Valid AUC: 0.9473, AUPR: 0.9323, F1 score: 0.9019, Accuracy: 0.8976, Recall: 0.9409, Specificity: 0.8543, Precision: 0.8659, MCC: 0.7983
Epoch: 54, Train Loss: 0.3009, Valid Loss: 0.3065, Train AUC: 0.9416, Valid AUC: 0.9480, AUPR: 0.9331, F1 score: 0.8994, Accuracy: 0.8957, Recall: 0.9331, Specificity: 0.8583, Precision: 0.8681, MCC: 0.7936
Epoch: 55, Train Loss: 0.3007, Valid Loss: 0.2965, Train AUC: 0.9415, Valid AUC: 0.9469, AUPR: 0.9347, F1 score: 0.9019, Accuracy: 0.8976, Recall: 0.9409, Specificity: 0.8543, Precision: 0.8659, MCC: 0.7983
Epoch: 56, Train Loss: 0.2997, Valid Loss: 0.3094, Train AUC: 0.9418, Valid AUC: 0.9466, AUPR: 0.9313, F1 score: 0.8998, Accuracy: 0.8957, Recall: 0.9370, Specificity: 0.8543, Precision: 0.8655, MCC: 0.7941
Epoch: 57, Train Loss: 0.3011, Valid Loss: 0.3074, Train AUC: 0.9414, Valid AUC: 0.9480, AUPR: 0.9328, F1 score: 0.9027, Accuracy: 0.9016, Recall: 0.9134, Specificity: 0.8898, Precision: 0.8923, MCC: 0.8034
Epoch: 58, Train Loss: 0.3014, Valid Loss: 0.3093, Train AUC: 0.9410, Valid AUC: 0.9466, AUPR: 0.9316, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 59, Train Loss: 0.2989, Valid Loss: 0.3282, Train AUC: 0.9420, Valid AUC: 0.9480, AUPR: 0.9327, F1 score: 0.9087, Accuracy: 0.9055, Recall: 0.9409, Specificity: 0.8701, Precision: 0.8787, MCC: 0.8131
Epoch: 60, Train Loss: 0.3002, Valid Loss: 0.3199, Train AUC: 0.9407, Valid AUC: 0.9479, AUPR: 0.9329, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 61, Train Loss: 0.2998, Valid Loss: 0.2996, Train AUC: 0.9415, Valid AUC: 0.9487, AUPR: 0.9366, F1 score: 0.9000, Accuracy: 0.8976, Recall: 0.9213, Specificity: 0.8740, Precision: 0.8797, MCC: 0.7962
Epoch: 62, Train Loss: 0.3021, Valid Loss: 0.3120, Train AUC: 0.9405, Valid AUC: 0.9472, AUPR: 0.9321, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 63, Train Loss: 0.2994, Valid Loss: 0.2968, Train AUC: 0.9410, Valid AUC: 0.9480, AUPR: 0.9359, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 64, Train Loss: 0.3022, Valid Loss: 0.3018, Train AUC: 0.9411, Valid AUC: 0.9485, AUPR: 0.9388, F1 score: 0.9063, Accuracy: 0.9035, Recall: 0.9331, Specificity: 0.8740, Precision: 0.8810, MCC: 0.8085
Epoch: 65, Train Loss: 0.3040, Valid Loss: 0.3094, Train AUC: 0.9404, Valid AUC: 0.9476, AUPR: 0.9324, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 66, Train Loss: 0.3006, Valid Loss: 0.2881, Train AUC: 0.9414, Valid AUC: 0.9488, AUPR: 0.9486, F1 score: 0.8994, Accuracy: 0.8957, Recall: 0.9331, Specificity: 0.8583, Precision: 0.8681, MCC: 0.7936
Epoch: 67, Train Loss: 0.3003, Valid Loss: 0.2881, Train AUC: 0.9413, Valid AUC: 0.9484, AUPR: 0.9474, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 68, Train Loss: 0.3018, Valid Loss: 0.2854, Train AUC: 0.9413, Valid AUC: 0.9479, AUPR: 0.9473, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 69, Train Loss: 0.3065, Valid Loss: 0.2841, Train AUC: 0.9389, Valid AUC: 0.9487, AUPR: 0.9501, F1 score: 0.9042, Accuracy: 0.9016, Recall: 0.9291, Specificity: 0.8740, Precision: 0.8806, MCC: 0.8044
Epoch: 70, Train Loss: 0.3067, Valid Loss: 0.2943, Train AUC: 0.9395, Valid AUC: 0.9477, AUPR: 0.9463, F1 score: 0.9052, Accuracy: 0.9035, Recall: 0.9213, Specificity: 0.8858, Precision: 0.8897, MCC: 0.8076
Epoch: 71, Train Loss: 0.3086, Valid Loss: 0.3016, Train AUC: 0.9383, Valid AUC: 0.9471, AUPR: 0.9321, F1 score: 0.9002, Accuracy: 0.8957, Recall: 0.9409, Specificity: 0.8504, Precision: 0.8628, MCC: 0.7946
Epoch: 72, Train Loss: 0.3024, Valid Loss: 0.2917, Train AUC: 0.9401, Valid AUC: 0.9492, AUPR: 0.9399, F1 score: 0.8977, Accuracy: 0.8937, Recall: 0.9331, Specificity: 0.8543, Precision: 0.8650, MCC: 0.7899
