python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset dn_data --num_hops 1 --epochs 100 --model SAGE --batch_size 32 --use_feature
Epoch: 01, Train Loss: 0.5558, Valid Loss: 0.3602, Train AUC: 0.8210, Valid AUC: 0.9285, AUPR: 0.9280, F1 score: 0.8911, Accuracy: 0.8911, Recall: 0.8911, Specificity: 0.8911, Precision: 0.8911, MCC: 0.7822
Epoch: 02, Train Loss: 0.4111, Valid Loss: 0.3257, Train AUC: 0.9106, Valid AUC: 0.9413, AUPR: 0.9385, F1 score: 0.9057, Accuracy: 0.9010, Recall: 0.9505, Specificity: 0.8515, Precision: 0.8649, MCC: 0.8059
Epoch: 03, Train Loss: 0.3721, Valid Loss: 0.3000, Train AUC: 0.9206, Valid AUC: 0.9445, AUPR: 0.9448, F1 score: 0.9073, Accuracy: 0.9059, Recall: 0.9208, Specificity: 0.8911, Precision: 0.8942, MCC: 0.8122
Epoch: 04, Train Loss: 0.3496, Valid Loss: 0.2959, Train AUC: 0.9309, Valid AUC: 0.9473, AUPR: 0.9483, F1 score: 0.9064, Accuracy: 0.9059, Recall: 0.9109, Specificity: 0.9010, Precision: 0.9020, MCC: 0.8119
Epoch: 05, Train Loss: 0.3377, Valid Loss: 0.2787, Train AUC: 0.9331, Valid AUC: 0.9515, AUPR: 0.9521, F1 score: 0.9029, Accuracy: 0.9010, Recall: 0.9208, Specificity: 0.8812, Precision: 0.8857, MCC: 0.8026
Epoch: 06, Train Loss: 0.3286, Valid Loss: 0.2793, Train AUC: 0.9388, Valid AUC: 0.9516, AUPR: 0.9519, F1 score: 0.9109, Accuracy: 0.9109, Recall: 0.9109, Specificity: 0.9109, Precision: 0.9109, MCC: 0.8218
Epoch: 07, Train Loss: 0.3134, Valid Loss: 0.2635, Train AUC: 0.9435, Valid AUC: 0.9537, AUPR: 0.9557, F1 score: 0.9246, Accuracy: 0.9257, Recall: 0.9109, Specificity: 0.9406, Precision: 0.9388, MCC: 0.8519
Epoch: 08, Train Loss: 0.3083, Valid Loss: 0.2806, Train AUC: 0.9436, Valid AUC: 0.9495, AUPR: 0.9485, F1 score: 0.9109, Accuracy: 0.9109, Recall: 0.9109, Specificity: 0.9109, Precision: 0.9109, MCC: 0.8218
Epoch: 09, Train Loss: 0.3017, Valid Loss: 0.2579, Train AUC: 0.9448, Valid AUC: 0.9596, AUPR: 0.9595, F1 score: 0.9192, Accuracy: 0.9208, Recall: 0.9010, Specificity: 0.9406, Precision: 0.9381, MCC: 0.8422
Epoch: 10, Train Loss: 0.2999, Valid Loss: 0.2646, Train AUC: 0.9467, Valid AUC: 0.9594, AUPR: 0.9594, F1 score: 0.9231, Accuracy: 0.9208, Recall: 0.9505, Specificity: 0.8911, Precision: 0.8972, MCC: 0.8431
Epoch: 11, Train Loss: 0.2842, Valid Loss: 0.2602, Train AUC: 0.9521, Valid AUC: 0.9600, AUPR: 0.9590, F1 score: 0.9246, Accuracy: 0.9257, Recall: 0.9109, Specificity: 0.9406, Precision: 0.9388, MCC: 0.8519
Epoch: 12, Train Loss: 0.2771, Valid Loss: 0.2839, Train AUC: 0.9529, Valid AUC: 0.9570, AUPR: 0.9547, F1 score: 0.9187, Accuracy: 0.9158, Recall: 0.9505, Specificity: 0.8812, Precision: 0.8889, MCC: 0.8337
Epoch: 13, Train Loss: 0.2701, Valid Loss: 0.2715, Train AUC: 0.9558, Valid AUC: 0.9596, AUPR: 0.9577, F1 score: 0.9275, Accuracy: 0.9257, Recall: 0.9505, Specificity: 0.9010, Precision: 0.9057, MCC: 0.8525
Epoch: 14, Train Loss: 0.2588, Valid Loss: 0.2490, Train AUC: 0.9598, Valid AUC: 0.9643, AUPR: 0.9639, F1 score: 0.9286, Accuracy: 0.9307, Recall: 0.9010, Specificity: 0.9604, Precision: 0.9579, MCC: 0.8629
Epoch: 15, Train Loss: 0.2622, Valid Loss: 0.2416, Train AUC: 0.9574, Valid AUC: 0.9644, AUPR: 0.9633, F1 score: 0.9275, Accuracy: 0.9257, Recall: 0.9505, Specificity: 0.9010, Precision: 0.9057, MCC: 0.8525
Epoch: 16, Train Loss: 0.2540, Valid Loss: 0.2308, Train AUC: 0.9609, Valid AUC: 0.9661, AUPR: 0.9652, F1 score: 0.9406, Accuracy: 0.9406, Recall: 0.9406, Specificity: 0.9406, Precision: 0.9406, MCC: 0.8812
Epoch: 17, Train Loss: 0.2568, Valid Loss: 0.2532, Train AUC: 0.9599, Valid AUC: 0.9661, AUPR: 0.9647, F1 score: 0.9300, Accuracy: 0.9307, Recall: 0.9208, Specificity: 0.9406, Precision: 0.9394, MCC: 0.8616
Epoch: 18, Train Loss: 0.2565, Valid Loss: 0.2307, Train AUC: 0.9612, Valid AUC: 0.9688, AUPR: 0.9678, F1 score: 0.9406, Accuracy: 0.9406, Recall: 0.9406, Specificity: 0.9406, Precision: 0.9406, MCC: 0.8812
Epoch: 19, Train Loss: 0.2345, Valid Loss: 0.2335, Train AUC: 0.9665, Valid AUC: 0.9668, AUPR: 0.9660, F1 score: 0.9261, Accuracy: 0.9257, Recall: 0.9307, Specificity: 0.9208, Precision: 0.9216, MCC: 0.8515
Epoch: 20, Train Loss: 0.2461, Valid Loss: 0.2467, Train AUC: 0.9626, Valid AUC: 0.9668, AUPR: 0.9659, F1 score: 0.9275, Accuracy: 0.9257, Recall: 0.9505, Specificity: 0.9010, Precision: 0.9057, MCC: 0.8525
Epoch: 21, Train Loss: 0.2318, Valid Loss: 0.2558, Train AUC: 0.9666, Valid AUC: 0.9636, AUPR: 0.9635, F1 score: 0.9275, Accuracy: 0.9257, Recall: 0.9505, Specificity: 0.9010, Precision: 0.9057, MCC: 0.8525
Epoch: 22, Train Loss: 0.2298, Valid Loss: 0.2670, Train AUC: 0.9668, Valid AUC: 0.9627, AUPR: 0.9620, F1 score: 0.9216, Accuracy: 0.9208, Recall: 0.9307, Specificity: 0.9109, Precision: 0.9126, MCC: 0.8417
Epoch: 23, Train Loss: 0.2438, Valid Loss: 0.2225, Train AUC: 0.9647, Valid AUC: 0.9701, AUPR: 0.9696, F1 score: 0.9314, Accuracy: 0.9307, Recall: 0.9406, Specificity: 0.9208, Precision: 0.9223, MCC: 0.8616
Epoch: 24, Train Loss: 0.2247, Valid Loss: 0.2223, Train AUC: 0.9687, Valid AUC: 0.9709, AUPR: 0.9695, F1 score: 0.9347, Accuracy: 0.9356, Recall: 0.9208, Specificity: 0.9505, Precision: 0.9490, MCC: 0.8717
Epoch: 25, Train Loss: 0.2371, Valid Loss: 0.2278, Train AUC: 0.9660, Valid AUC: 0.9683, AUPR: 0.9690, F1 score: 0.9261, Accuracy: 0.9257, Recall: 0.9307, Specificity: 0.9208, Precision: 0.9216, MCC: 0.8515
Epoch: 26, Train Loss: 0.2232, Valid Loss: 0.2315, Train AUC: 0.9701, Valid AUC: 0.9703, AUPR: 0.9710, F1 score: 0.9353, Accuracy: 0.9356, Recall: 0.9307, Specificity: 0.9406, Precision: 0.9400, MCC: 0.8713
Epoch: 27, Train Loss: 0.2141, Valid Loss: 0.2207, Train AUC: 0.9713, Valid AUC: 0.9730, AUPR: 0.9719, F1 score: 0.9453, Accuracy: 0.9455, Recall: 0.9406, Specificity: 0.9505, Precision: 0.9500, MCC: 0.8911
Epoch: 28, Train Loss: 0.2149, Valid Loss: 0.2310, Train AUC: 0.9719, Valid AUC: 0.9702, AUPR: 0.9704, F1 score: 0.9366, Accuracy: 0.9356, Recall: 0.9505, Specificity: 0.9208, Precision: 0.9231, MCC: 0.8717
Epoch: 29, Train Loss: 0.2106, Valid Loss: 0.2625, Train AUC: 0.9722, Valid AUC: 0.9687, AUPR: 0.9681, F1 score: 0.9300, Accuracy: 0.9307, Recall: 0.9208, Specificity: 0.9406, Precision: 0.9394, MCC: 0.8616
Epoch: 30, Train Loss: 0.2029, Valid Loss: 0.2392, Train AUC: 0.9745, Valid AUC: 0.9693, AUPR: 0.9696, F1 score: 0.9366, Accuracy: 0.9356, Recall: 0.9505, Specificity: 0.9208, Precision: 0.9231, MCC: 0.8717
Epoch: 31, Train Loss: 0.2070, Valid Loss: 0.2451, Train AUC: 0.9727, Valid AUC: 0.9708, AUPR: 0.9698, F1 score: 0.9360, Accuracy: 0.9356, Recall: 0.9406, Specificity: 0.9307, Precision: 0.9314, MCC: 0.8713
Epoch: 32, Train Loss: 0.2080, Valid Loss: 0.2343, Train AUC: 0.9742, Valid AUC: 0.9706, AUPR: 0.9712, F1 score: 0.9458, Accuracy: 0.9455, Recall: 0.9505, Specificity: 0.9406, Precision: 0.9412, MCC: 0.8911
Epoch: 33, Train Loss: 0.2087, Valid Loss: 0.2060, Train AUC: 0.9731, Valid AUC: 0.9754, AUPR: 0.9745, F1 score: 0.9505, Accuracy: 0.9505, Recall: 0.9505, Specificity: 0.9505, Precision: 0.9505, MCC: 0.9010
Epoch: 34, Train Loss: 0.2030, Valid Loss: 0.2233, Train AUC: 0.9750, Valid AUC: 0.9751, AUPR: 0.9741, F1 score: 0.9453, Accuracy: 0.9455, Recall: 0.9406, Specificity: 0.9505, Precision: 0.9500, MCC: 0.8911
Epoch: 35, Train Loss: 0.2055, Valid Loss: 0.2190, Train AUC: 0.9746, Valid AUC: 0.9717, AUPR: 0.9723, F1 score: 0.9366, Accuracy: 0.9356, Recall: 0.9505, Specificity: 0.9208, Precision: 0.9231, MCC: 0.8717
Epoch: 36, Train Loss: 0.1982, Valid Loss: 0.2215, Train AUC: 0.9769, Valid AUC: 0.9726, AUPR: 0.9736, F1 score: 0.9412, Accuracy: 0.9406, Recall: 0.9505, Specificity: 0.9307, Precision: 0.9320, MCC: 0.8814
Epoch: 37, Train Loss: 0.1962, Valid Loss: 0.2198, Train AUC: 0.9765, Valid AUC: 0.9724, AUPR: 0.9729, F1 score: 0.9307, Accuracy: 0.9307, Recall: 0.9307, Specificity: 0.9307, Precision: 0.9307, MCC: 0.8614
Epoch: 38, Train Loss: 0.2329, Valid Loss: 0.2429, Train AUC: 0.9736, Valid AUC: 0.9691, AUPR: 0.9697, F1 score: 0.9360, Accuracy: 0.9356, Recall: 0.9406, Specificity: 0.9307, Precision: 0.9314, MCC: 0.8713
Epoch: 39, Train Loss: 0.1952, Valid Loss: 0.2410, Train AUC: 0.9770, Valid AUC: 0.9727, AUPR: 0.9727, F1 score: 0.9447, Accuracy: 0.9455, Recall: 0.9307, Specificity: 0.9604, Precision: 0.9592, MCC: 0.8915
Epoch: 40, Train Loss: 0.1980, Valid Loss: 0.2684, Train AUC: 0.9763, Valid AUC: 0.9698, AUPR: 0.9703, F1 score: 0.9412, Accuracy: 0.9406, Recall: 0.9505, Specificity: 0.9307, Precision: 0.9320, MCC: 0.8814
Epoch: 41, Train Loss: 0.1959, Valid Loss: 0.2445, Train AUC: 0.9758, Valid AUC: 0.9713, AUPR: 0.9700, F1 score: 0.9293, Accuracy: 0.9307, Recall: 0.9109, Specificity: 0.9505, Precision: 0.9485, MCC: 0.8621
Epoch: 42, Train Loss: 0.1848, Valid Loss: 0.2702, Train AUC: 0.9784, Valid AUC: 0.9706, AUPR: 0.9697, F1 score: 0.9400, Accuracy: 0.9406, Recall: 0.9307, Specificity: 0.9505, Precision: 0.9495, MCC: 0.8814
Epoch: 43, Train Loss: 0.1986, Valid Loss: 0.2618, Train AUC: 0.9765, Valid AUC: 0.9714, AUPR: 0.9713, F1 score: 0.9353, Accuracy: 0.9356, Recall: 0.9307, Specificity: 0.9406, Precision: 0.9400, MCC: 0.8713
Epoch: 44, Train Loss: 0.1874, Valid Loss: 0.2812, Train AUC: 0.9789, Valid AUC: 0.9726, AUPR: 0.9706, F1 score: 0.9353, Accuracy: 0.9356, Recall: 0.9307, Specificity: 0.9406, Precision: 0.9400, MCC: 0.8713
Epoch: 45, Train Loss: 0.1850, Valid Loss: 0.2527, Train AUC: 0.9795, Valid AUC: 0.9723, AUPR: 0.9717, F1 score: 0.9400, Accuracy: 0.9406, Recall: 0.9307, Specificity: 0.9505, Precision: 0.9495, MCC: 0.8814
Epoch: 46, Train Loss: 0.1904, Valid Loss: 0.2481, Train AUC: 0.9781, Valid AUC: 0.9712, AUPR: 0.9706, F1 score: 0.9360, Accuracy: 0.9356, Recall: 0.9406, Specificity: 0.9307, Precision: 0.9314, MCC: 0.8713
Epoch: 47, Train Loss: 0.1908, Valid Loss: 0.2575, Train AUC: 0.9778, Valid AUC: 0.9682, AUPR: 0.9693, F1 score: 0.9268, Accuracy: 0.9257, Recall: 0.9406, Specificity: 0.9109, Precision: 0.9135, MCC: 0.8519
Epoch: 48, Train Loss: 0.1938, Valid Loss: 0.2450, Train AUC: 0.9768, Valid AUC: 0.9691, AUPR: 0.9702, F1 score: 0.9300, Accuracy: 0.9307, Recall: 0.9208, Specificity: 0.9406, Precision: 0.9394, MCC: 0.8616
Epoch: 49, Train Loss: 0.1955, Valid Loss: 0.2545, Train AUC: 0.9771, Valid AUC: 0.9715, AUPR: 0.9727, F1 score: 0.9333, Accuracy: 0.9356, Recall: 0.9010, Specificity: 0.9703, Precision: 0.9681, MCC: 0.8734
Epoch: 50, Train Loss: 0.1697, Valid Loss: 0.2911, Train AUC: 0.9822, Valid AUC: 0.9725, AUPR: 0.9719, F1 score: 0.9360, Accuracy: 0.9356, Recall: 0.9406, Specificity: 0.9307, Precision: 0.9314, MCC: 0.8713
Epoch: 51, Train Loss: 0.1848, Valid Loss: 0.2618, Train AUC: 0.9792, Valid AUC: 0.9738, AUPR: 0.9737, F1 score: 0.9360, Accuracy: 0.9356, Recall: 0.9406, Specificity: 0.9307, Precision: 0.9314, MCC: 0.8713
Epoch: 52, Train Loss: 0.1881, Valid Loss: 0.2525, Train AUC: 0.9784, Valid AUC: 0.9701, AUPR: 0.9696, F1 score: 0.9261, Accuracy: 0.9257, Recall: 0.9307, Specificity: 0.9208, Precision: 0.9216, MCC: 0.8515
Epoch: 53, Train Loss: 0.1846, Valid Loss: 0.2366, Train AUC: 0.9793, Valid AUC: 0.9720, AUPR: 0.9727, F1 score: 0.9307, Accuracy: 0.9307, Recall: 0.9307, Specificity: 0.9307, Precision: 0.9307, MCC: 0.8614
Epoch: 54, Train Loss: 0.1807, Valid Loss: 0.2282, Train AUC: 0.9812, Valid AUC: 0.9736, AUPR: 0.9740, F1 score: 0.9406, Accuracy: 0.9406, Recall: 0.9406, Specificity: 0.9406, Precision: 0.9406, MCC: 0.8812
Epoch: 55, Train Loss: 0.1778, Valid Loss: 0.2509, Train AUC: 0.9800, Valid AUC: 0.9705, AUPR: 0.9707, F1 score: 0.9406, Accuracy: 0.9406, Recall: 0.9406, Specificity: 0.9406, Precision: 0.9406, MCC: 0.8812
Epoch: 56, Train Loss: 0.1773, Valid Loss: 0.3025, Train AUC: 0.9799, Valid AUC: 0.9708, AUPR: 0.9712, F1 score: 0.9320, Accuracy: 0.9307, Recall: 0.9505, Specificity: 0.9109, Precision: 0.9143, MCC: 0.8621
Epoch: 57, Train Loss: 0.1750, Valid Loss: 0.2817, Train AUC: 0.9814, Valid AUC: 0.9693, AUPR: 0.9700, F1 score: 0.9327, Accuracy: 0.9307, Recall: 0.9604, Specificity: 0.9010, Precision: 0.9065, MCC: 0.8629
Epoch: 58, Train Loss: 0.1574, Valid Loss: 0.2461, Train AUC: 0.9848, Valid AUC: 0.9732, AUPR: 0.9730, F1 score: 0.9282, Accuracy: 0.9257, Recall: 0.9604, Specificity: 0.8911, Precision: 0.8981, MCC: 0.8535
Epoch: 59, Train Loss: 0.1772, Valid Loss: 0.2385, Train AUC: 0.9809, Valid AUC: 0.9750, AUPR: 0.9737, F1 score: 0.9360, Accuracy: 0.9356, Recall: 0.9406, Specificity: 0.9307, Precision: 0.9314, MCC: 0.8713
Epoch: 60, Train Loss: 0.1739, Valid Loss: 0.2797, Train AUC: 0.9819, Valid AUC: 0.9701, AUPR: 0.9685, F1 score: 0.9254, Accuracy: 0.9257, Recall: 0.9208, Specificity: 0.9307, Precision: 0.9300, MCC: 0.8515
Epoch: 61, Train Loss: 0.1641, Valid Loss: 0.3076, Train AUC: 0.9831, Valid AUC: 0.9726, AUPR: 0.9704, F1 score: 0.9347, Accuracy: 0.9356, Recall: 0.9208, Specificity: 0.9505, Precision: 0.9490, MCC: 0.8717
Epoch: 62, Train Loss: 0.1882, Valid Loss: 0.2250, Train AUC: 0.9798, Valid AUC: 0.9722, AUPR: 0.9719, F1 score: 0.9307, Accuracy: 0.9307, Recall: 0.9307, Specificity: 0.9307, Precision: 0.9307, MCC: 0.8614
Epoch: 63, Train Loss: 0.1702, Valid Loss: 0.2351, Train AUC: 0.9819, Valid AUC: 0.9747, AUPR: 0.9750, F1 score: 0.9307, Accuracy: 0.9307, Recall: 0.9307, Specificity: 0.9307, Precision: 0.9307, MCC: 0.8614
Epoch: 64, Train Loss: 0.1653, Valid Loss: 0.3251, Train AUC: 0.9834, Valid AUC: 0.9661, AUPR: 0.9654, F1 score: 0.9245, Accuracy: 0.9208, Recall: 0.9703, Specificity: 0.8713, Precision: 0.8829, MCC: 0.8457
Epoch: 65, Train Loss: 0.1652, Valid Loss: 0.3063, Train AUC: 0.9832, Valid AUC: 0.9704, AUPR: 0.9715, F1 score: 0.9307, Accuracy: 0.9307, Recall: 0.9307, Specificity: 0.9307, Precision: 0.9307, MCC: 0.8614
Epoch: 66, Train Loss: 0.1749, Valid Loss: 0.3097, Train AUC: 0.9813, Valid AUC: 0.9685, AUPR: 0.9684, F1 score: 0.9289, Accuracy: 0.9257, Recall: 0.9703, Specificity: 0.8812, Precision: 0.8909, MCC: 0.8549
