python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset dn_data --num_hops 1 --epochs 10 --model GCN --batch_size 32 --hidden_channels 256 --dropout 0.5
Epoch: 01, Train Loss: 0.3875, Valid Loss: 0.3138, Train AUC: 0.9100, Valid AUC: 0.9194, AUPR: 0.9426, F1 score: 0.8710, Accuracy: 0.8812, Recall: 0.8020, Specificity: 0.9604, Precision: 0.9529, MCC: 0.7721
Epoch: 02, Train Loss: 0.3754, Valid Loss: 0.3105, Train AUC: 0.9163, Valid AUC: 0.9378, AUPR: 0.9527, F1 score: 0.8732, Accuracy: 0.8663, Recall: 0.9208, Specificity: 0.8119, Precision: 0.8304, MCC: 0.7371
Epoch: 03, Train Loss: 0.3759, Valid Loss: 0.3062, Train AUC: 0.9168, Valid AUC: 0.9194, AUPR: 0.9426, F1 score: 0.8710, Accuracy: 0.8812, Recall: 0.8020, Specificity: 0.9604, Precision: 0.9529, MCC: 0.7721
Epoch: 04, Train Loss: 0.3702, Valid Loss: 0.3565, Train AUC: 0.9164, Valid AUC: 0.9329, AUPR: 0.9491, F1 score: 0.8770, Accuracy: 0.8861, Recall: 0.8119, Specificity: 0.9604, Precision: 0.9535, MCC: 0.7809
Epoch: 05, Train Loss: 0.3595, Valid Loss: 0.3212, Train AUC: 0.9190, Valid AUC: 0.9419, AUPR: 0.9531, F1 score: 0.8710, Accuracy: 0.8812, Recall: 0.8020, Specificity: 0.9604, Precision: 0.9529, MCC: 0.7721
Epoch: 06, Train Loss: 0.3705, Valid Loss: 0.3226, Train AUC: 0.9162, Valid AUC: 0.9238, AUPR: 0.9451, F1 score: 0.8710, Accuracy: 0.8812, Recall: 0.8020, Specificity: 0.9604, Precision: 0.9529, MCC: 0.7721
Epoch: 07, Train Loss: 0.3619, Valid Loss: 0.3751, Train AUC: 0.9193, Valid AUC: 0.9226, AUPR: 0.9429, F1 score: 0.8723, Accuracy: 0.8812, Recall: 0.8119, Specificity: 0.9505, Precision: 0.9425, MCC: 0.7698
Epoch: 08, Train Loss: 0.3638, Valid Loss: 0.4031, Train AUC: 0.9182, Valid AUC: 0.9411, AUPR: 0.9509, F1 score: 0.8723, Accuracy: 0.8812, Recall: 0.8119, Specificity: 0.9505, Precision: 0.9425, MCC: 0.7698
Epoch: 09, Train Loss: 0.3683, Valid Loss: 0.3678, Train AUC: 0.9164, Valid AUC: 0.9406, AUPR: 0.9500, F1 score: 0.8770, Accuracy: 0.8861, Recall: 0.8119, Specificity: 0.9604, Precision: 0.9535, MCC: 0.7809
Epoch: 10, Train Loss: 0.3582, Valid Loss: 0.3302, Train AUC: 0.9197, Valid AUC: 0.9225, AUPR: 0.9427, F1 score: 0.8710, Accuracy: 0.8812, Recall: 0.8020, Specificity: 0.9604, Precision: 0.9529, MCC: 0.7721
------------------------------------------------------------------------------------------------------
Epoch: 01, Train Loss: 0.4017, Valid Loss: 0.3182, Train AUC: 0.9016, Valid AUC: 0.9514, AUPR: 0.9592, F1 score: 0.8812, Accuracy: 0.8812, Recall: 0.8812, Specificity: 0.8812, Precision: 0.8812, MCC: 0.7624
Epoch: 02, Train Loss: 0.3730, Valid Loss: 0.2831, Train AUC: 0.9150, Valid AUC: 0.9480, AUPR: 0.9586, F1 score: 0.8812, Accuracy: 0.8812, Recall: 0.8812, Specificity: 0.8812, Precision: 0.8812, MCC: 0.7624
Epoch: 03, Train Loss: 0.3796, Valid Loss: 0.3304, Train AUC: 0.9113, Valid AUC: 0.9502, AUPR: 0.9581, F1 score: 0.8812, Accuracy: 0.8812, Recall: 0.8812, Specificity: 0.8812, Precision: 0.8812, MCC: 0.7624
Epoch: 04, Train Loss: 0.3753, Valid Loss: 0.3329, Train AUC: 0.9142, Valid AUC: 0.9458, AUPR: 0.9555, F1 score: 0.8812, Accuracy: 0.8812, Recall: 0.8812, Specificity: 0.8812, Precision: 0.8812, MCC: 0.7624
Epoch: 05, Train Loss: 0.3733, Valid Loss: 0.3375, Train AUC: 0.9141, Valid AUC: 0.9471, AUPR: 0.9565, F1 score: 0.8900, Accuracy: 0.8911, Recall: 0.8812, Specificity: 0.9010, Precision: 0.8990, MCC: 0.7823
Epoch: 06, Train Loss: 0.3802, Valid Loss: 0.3300, Train AUC: 0.9126, Valid AUC: 0.9494, AUPR: 0.9570, F1 score: 0.8812, Accuracy: 0.8812, Recall: 0.8812, Specificity: 0.8812, Precision: 0.8812, MCC: 0.7624
Epoch: 07, Train Loss: 0.3675, Valid Loss: 0.3381, Train AUC: 0.9149, Valid AUC: 0.9456, AUPR: 0.9553, F1 score: 0.8824, Accuracy: 0.8812, Recall: 0.8911, Specificity: 0.8713, Precision: 0.8738, MCC: 0.7625
