python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset f_data --num_hops 1 --epochs 100 --model GCN --batch_size 32 --use_feature
Epoch: 01, Train Loss: 0.4946, Valid Loss: 0.3531, Train AUC: 0.8634, Valid AUC: 0.9195, AUPR: 0.9383, F1 score: 0.8711, Accuracy: 0.8711, Recall: 0.8711, Specificity: 0.8711, Precision: 0.8711, MCC: 0.7423
Epoch: 02, Train Loss: 0.3912, Valid Loss: 0.3254, Train AUC: 0.9081, Valid AUC: 0.9258, AUPR: 0.9426, F1 score: 0.8705, Accuracy: 0.8711, Recall: 0.8660, Specificity: 0.8763, Precision: 0.8750, MCC: 0.7423
Epoch: 03, Train Loss: 0.3717, Valid Loss: 0.3369, Train AUC: 0.9150, Valid AUC: 0.9298, AUPR: 0.9461, F1 score: 0.8753, Accuracy: 0.8789, Recall: 0.8505, Specificity: 0.9072, Precision: 0.9016, MCC: 0.7590
Epoch: 04, Train Loss: 0.3582, Valid Loss: 0.3177, Train AUC: 0.9182, Valid AUC: 0.9294, AUPR: 0.9442, F1 score: 0.8759, Accuracy: 0.8737, Recall: 0.8918, Specificity: 0.8557, Precision: 0.8607, MCC: 0.7479
Epoch: 05, Train Loss: 0.3494, Valid Loss: 0.3156, Train AUC: 0.9235, Valid AUC: 0.9312, AUPR: 0.9453, F1 score: 0.8782, Accuracy: 0.8763, Recall: 0.8918, Specificity: 0.8608, Precision: 0.8650, MCC: 0.7529
Epoch: 06, Train Loss: 0.3454, Valid Loss: 0.3099, Train AUC: 0.9244, Valid AUC: 0.9367, AUPR: 0.9494, F1 score: 0.8741, Accuracy: 0.8686, Recall: 0.9124, Specificity: 0.8247, Precision: 0.8389, MCC: 0.7400
Epoch: 07, Train Loss: 0.3375, Valid Loss: 0.3119, Train AUC: 0.9288, Valid AUC: 0.9325, AUPR: 0.9468, F1 score: 0.8798, Accuracy: 0.8789, Recall: 0.8866, Specificity: 0.8711, Precision: 0.8731, MCC: 0.7578
Epoch: 08, Train Loss: 0.3291, Valid Loss: 0.3069, Train AUC: 0.9322, Valid AUC: 0.9358, AUPR: 0.9491, F1 score: 0.8775, Accuracy: 0.8711, Recall: 0.9227, Specificity: 0.8196, Precision: 0.8364, MCC: 0.7462
Epoch: 09, Train Loss: 0.3351, Valid Loss: 0.3038, Train AUC: 0.9289, Valid AUC: 0.9356, AUPR: 0.9494, F1 score: 0.8728, Accuracy: 0.8686, Recall: 0.9021, Specificity: 0.8351, Precision: 0.8454, MCC: 0.7388
Epoch: 10, Train Loss: 0.3282, Valid Loss: 0.3011, Train AUC: 0.9335, Valid AUC: 0.9439, AUPR: 0.9546, F1 score: 0.8794, Accuracy: 0.8763, Recall: 0.9021, Specificity: 0.8505, Precision: 0.8578, MCC: 0.7536
Epoch: 11, Train Loss: 0.3352, Valid Loss: 0.3099, Train AUC: 0.9283, Valid AUC: 0.9365, AUPR: 0.9491, F1 score: 0.8718, Accuracy: 0.8711, Recall: 0.8763, Specificity: 0.8660, Precision: 0.8673, MCC: 0.7423
Epoch: 12, Train Loss: 0.3228, Valid Loss: 0.3066, Train AUC: 0.9340, Valid AUC: 0.9386, AUPR: 0.9513, F1 score: 0.8783, Accuracy: 0.8814, Recall: 0.8557, Specificity: 0.9072, Precision: 0.9022, MCC: 0.7639
Epoch: 13, Train Loss: 0.3172, Valid Loss: 0.3070, Train AUC: 0.9364, Valid AUC: 0.9395, AUPR: 0.9529, F1 score: 0.8817, Accuracy: 0.8866, Recall: 0.8454, Specificity: 0.9278, Precision: 0.9213, MCC: 0.7758
Epoch: 14, Train Loss: 0.3172, Valid Loss: 0.3033, Train AUC: 0.9373, Valid AUC: 0.9426, AUPR: 0.9534, F1 score: 0.8770, Accuracy: 0.8814, Recall: 0.8454, Specificity: 0.9175, Precision: 0.9111, MCC: 0.7649
Epoch: 15, Train Loss: 0.3194, Valid Loss: 0.3097, Train AUC: 0.9366, Valid AUC: 0.9395, AUPR: 0.9511, F1 score: 0.8724, Accuracy: 0.8711, Recall: 0.8814, Specificity: 0.8608, Precision: 0.8636, MCC: 0.7424
Epoch: 16, Train Loss: 0.3118, Valid Loss: 0.3059, Train AUC: 0.9384, Valid AUC: 0.9328, AUPR: 0.9491, F1 score: 0.8756, Accuracy: 0.8763, Recall: 0.8711, Specificity: 0.8814, Precision: 0.8802, MCC: 0.7526
Epoch: 17, Train Loss: 0.3063, Valid Loss: 0.3056, Train AUC: 0.9421, Valid AUC: 0.9389, AUPR: 0.9520, F1 score: 0.8859, Accuracy: 0.8892, Recall: 0.8608, Specificity: 0.9175, Precision: 0.9126, MCC: 0.7796
Epoch: 18, Train Loss: 0.3102, Valid Loss: 0.3198, Train AUC: 0.9405, Valid AUC: 0.9423, AUPR: 0.9526, F1 score: 0.8792, Accuracy: 0.8789, Recall: 0.8814, Specificity: 0.8763, Precision: 0.8769, MCC: 0.7577
Epoch: 19, Train Loss: 0.3044, Valid Loss: 0.3020, Train AUC: 0.9431, Valid AUC: 0.9427, AUPR: 0.9519, F1 score: 0.8796, Accuracy: 0.8814, Recall: 0.8660, Specificity: 0.8969, Precision: 0.8936, MCC: 0.7633
Epoch: 20, Train Loss: 0.3053, Valid Loss: 0.3159, Train AUC: 0.9425, Valid AUC: 0.9369, AUPR: 0.9485, F1 score: 0.8737, Accuracy: 0.8711, Recall: 0.8918, Specificity: 0.8505, Precision: 0.8564, MCC: 0.7429
Epoch: 21, Train Loss: 0.2973, Valid Loss: 0.3215, Train AUC: 0.9454, Valid AUC: 0.9374, AUPR: 0.9501, F1 score: 0.8747, Accuracy: 0.8789, Recall: 0.8454, Specificity: 0.9124, Precision: 0.9061, MCC: 0.7594
Epoch: 22, Train Loss: 0.2924, Valid Loss: 0.3214, Train AUC: 0.9477, Valid AUC: 0.9428, AUPR: 0.9552, F1 score: 0.8831, Accuracy: 0.8840, Recall: 0.8763, Specificity: 0.8918, Precision: 0.8901, MCC: 0.7681
Epoch: 23, Train Loss: 0.2939, Valid Loss: 0.3138, Train AUC: 0.9482, Valid AUC: 0.9479, AUPR: 0.9578, F1 score: 0.8878, Accuracy: 0.8866, Recall: 0.8969, Specificity: 0.8763, Precision: 0.8788, MCC: 0.7734
Epoch: 24, Train Loss: 0.2980, Valid Loss: 0.3097, Train AUC: 0.9463, Valid AUC: 0.9390, AUPR: 0.9509, F1 score: 0.8865, Accuracy: 0.8918, Recall: 0.8454, Specificity: 0.9381, Precision: 0.9318, MCC: 0.7869
Epoch: 25, Train Loss: 0.2972, Valid Loss: 0.3022, Train AUC: 0.9463, Valid AUC: 0.9469, AUPR: 0.9577, F1 score: 0.8865, Accuracy: 0.8892, Recall: 0.8660, Specificity: 0.9124, Precision: 0.9081, MCC: 0.7792
Epoch: 26, Train Loss: 0.2899, Valid Loss: 0.3082, Train AUC: 0.9477, Valid AUC: 0.9395, AUPR: 0.9533, F1 score: 0.8780, Accuracy: 0.8840, Recall: 0.8351, Specificity: 0.9330, Precision: 0.9257, MCC: 0.7718
Epoch: 27, Train Loss: 0.2908, Valid Loss: 0.3068, Train AUC: 0.9484, Valid AUC: 0.9407, AUPR: 0.9526, F1 score: 0.8806, Accuracy: 0.8840, Recall: 0.8557, Specificity: 0.9124, Precision: 0.9071, MCC: 0.7693
Epoch: 28, Train Loss: 0.2907, Valid Loss: 0.3137, Train AUC: 0.9476, Valid AUC: 0.9407, AUPR: 0.9535, F1 score: 0.8800, Accuracy: 0.8840, Recall: 0.8505, Specificity: 0.9175, Precision: 0.9116, MCC: 0.7698
Epoch: 29, Train Loss: 0.2942, Valid Loss: 0.3051, Train AUC: 0.9459, Valid AUC: 0.9398, AUPR: 0.9526, F1 score: 0.8736, Accuracy: 0.8814, Recall: 0.8196, Specificity: 0.9433, Precision: 0.9353, MCC: 0.7688
Epoch: 30, Train Loss: 0.2906, Valid Loss: 0.3159, Train AUC: 0.9480, Valid AUC: 0.9356, AUPR: 0.9497, F1 score: 0.8743, Accuracy: 0.8763, Recall: 0.8608, Specificity: 0.8918, Precision: 0.8883, MCC: 0.7529
Epoch: 31, Train Loss: 0.2903, Valid Loss: 0.3197, Train AUC: 0.9476, Valid AUC: 0.9368, AUPR: 0.9489, F1 score: 0.8759, Accuracy: 0.8737, Recall: 0.8918, Specificity: 0.8557, Precision: 0.8607, MCC: 0.7479
Epoch: 32, Train Loss: 0.2895, Valid Loss: 0.3232, Train AUC: 0.9498, Valid AUC: 0.9344, AUPR: 0.9499, F1 score: 0.8763, Accuracy: 0.8763, Recall: 0.8763, Specificity: 0.8763, Precision: 0.8763, MCC: 0.7526
Epoch: 33, Train Loss: 0.2844, Valid Loss: 0.3665, Train AUC: 0.9508, Valid AUC: 0.9277, AUPR: 0.9437, F1 score: 0.8653, Accuracy: 0.8660, Recall: 0.8608, Specificity: 0.8711, Precision: 0.8698, MCC: 0.7320
Epoch: 34, Train Loss: 0.2796, Valid Loss: 0.3055, Train AUC: 0.9537, Valid AUC: 0.9438, AUPR: 0.9531, F1 score: 0.8794, Accuracy: 0.8840, Recall: 0.8454, Specificity: 0.9227, Precision: 0.9162, MCC: 0.7703
Epoch: 35, Train Loss: 0.2830, Valid Loss: 0.3138, Train AUC: 0.9513, Valid AUC: 0.9378, AUPR: 0.9506, F1 score: 0.8750, Accuracy: 0.8763, Recall: 0.8660, Specificity: 0.8866, Precision: 0.8842, MCC: 0.7527
Epoch: 36, Train Loss: 0.2773, Valid Loss: 0.3684, Train AUC: 0.9537, Valid AUC: 0.9326, AUPR: 0.9460, F1 score: 0.8676, Accuracy: 0.8789, Recall: 0.7938, Specificity: 0.9639, Precision: 0.9565, MCC: 0.7689
Epoch: 37, Train Loss: 0.2740, Valid Loss: 0.3322, Train AUC: 0.9552, Valid AUC: 0.9373, AUPR: 0.9500, F1 score: 0.8756, Accuracy: 0.8763, Recall: 0.8711, Specificity: 0.8814, Precision: 0.8802, MCC: 0.7526
Epoch: 38, Train Loss: 0.2786, Valid Loss: 0.3284, Train AUC: 0.9536, Valid AUC: 0.9345, AUPR: 0.9504, F1 score: 0.8796, Accuracy: 0.8814, Recall: 0.8660, Specificity: 0.8969, Precision: 0.8936, MCC: 0.7633
Epoch: 39, Train Loss: 0.2672, Valid Loss: 0.3152, Train AUC: 0.9564, Valid AUC: 0.9368, AUPR: 0.9512, F1 score: 0.8734, Accuracy: 0.8737, Recall: 0.8711, Specificity: 0.8763, Precision: 0.8756, MCC: 0.7474
