python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset f_data --num_hops 1 --epochs 100 --model SAGE --batch_size 32
Epoch: 01, Train Loss: 0.4442, Valid Loss: 0.3569, Train AUC: 0.8892, Valid AUC: 0.9099, AUPR: 0.9218, F1 score: 0.8670, Accuracy: 0.8608, Recall: 0.9072, Specificity: 0.8144, Precision: 0.8302, MCC: 0.7248
Epoch: 02, Train Loss: 0.4166, Valid Loss: 0.3694, Train AUC: 0.8981, Valid AUC: 0.9158, AUPR: 0.9267, F1 score: 0.8731, Accuracy: 0.8711, Recall: 0.8866, Specificity: 0.8557, Precision: 0.8600, MCC: 0.7426
Epoch: 03, Train Loss: 0.3994, Valid Loss: 0.3560, Train AUC: 0.9022, Valid AUC: 0.9153, AUPR: 0.9287, F1 score: 0.8731, Accuracy: 0.8711, Recall: 0.8866, Specificity: 0.8557, Precision: 0.8600, MCC: 0.7426
Epoch: 04, Train Loss: 0.4002, Valid Loss: 0.3556, Train AUC: 0.9036, Valid AUC: 0.9141, AUPR: 0.9301, F1 score: 0.8709, Accuracy: 0.8686, Recall: 0.8866, Specificity: 0.8505, Precision: 0.8557, MCC: 0.7376
Epoch: 05, Train Loss: 0.3934, Valid Loss: 0.3673, Train AUC: 0.9058, Valid AUC: 0.9179, AUPR: 0.9320, F1 score: 0.8687, Accuracy: 0.8660, Recall: 0.8866, Specificity: 0.8454, Precision: 0.8515, MCC: 0.7326
Epoch: 06, Train Loss: 0.3868, Valid Loss: 0.3822, Train AUC: 0.9070, Valid AUC: 0.9189, AUPR: 0.9320, F1 score: 0.8693, Accuracy: 0.8660, Recall: 0.8918, Specificity: 0.8402, Precision: 0.8480, MCC: 0.7329
Epoch: 07, Train Loss: 0.3794, Valid Loss: 0.3704, Train AUC: 0.9099, Valid AUC: 0.9176, AUPR: 0.9284, F1 score: 0.8693, Accuracy: 0.8660, Recall: 0.8918, Specificity: 0.8402, Precision: 0.8480, MCC: 0.7329
Epoch: 08, Train Loss: 0.3821, Valid Loss: 0.3643, Train AUC: 0.9068, Valid AUC: 0.9218, AUPR: 0.9333, F1 score: 0.8700, Accuracy: 0.8660, Recall: 0.8969, Specificity: 0.8351, Precision: 0.8447, MCC: 0.7334
Epoch: 09, Train Loss: 0.3787, Valid Loss: 0.3837, Train AUC: 0.9106, Valid AUC: 0.9131, AUPR: 0.9290, F1 score: 0.8698, Accuracy: 0.8711, Recall: 0.8608, Specificity: 0.8814, Precision: 0.8789, MCC: 0.7424
Epoch: 10, Train Loss: 0.3785, Valid Loss: 0.4027, Train AUC: 0.9110, Valid AUC: 0.9155, AUPR: 0.9304, F1 score: 0.8672, Accuracy: 0.8634, Recall: 0.8918, Specificity: 0.8351, Precision: 0.8439, MCC: 0.7280
Epoch: 11, Train Loss: 0.3811, Valid Loss: 0.3894, Train AUC: 0.9095, Valid AUC: 0.9143, AUPR: 0.9303, F1 score: 0.8698, Accuracy: 0.8711, Recall: 0.8608, Specificity: 0.8814, Precision: 0.8789, MCC: 0.7424
Epoch: 12, Train Loss: 0.3786, Valid Loss: 0.3897, Train AUC: 0.9108, Valid AUC: 0.9270, AUPR: 0.9338, F1 score: 0.8698, Accuracy: 0.8711, Recall: 0.8608, Specificity: 0.8814, Precision: 0.8789, MCC: 0.7424
Epoch: 13, Train Loss: 0.3750, Valid Loss: 0.3765, Train AUC: 0.9129, Valid AUC: 0.9211, AUPR: 0.9318, F1 score: 0.8698, Accuracy: 0.8711, Recall: 0.8608, Specificity: 0.8814, Precision: 0.8789, MCC: 0.7424
