python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset f_data --num_hops 1 --epochs 100 --model GCN --batch_size 32
Epoch: 01, Train Loss: 0.4653, Valid Loss: 0.3602, Train AUC: 0.8850, Valid AUC: 0.9180, AUPR: 0.9395, F1 score: 0.8724, Accuracy: 0.8711, Recall: 0.8814, Specificity: 0.8608, Precision: 0.8636, MCC: 0.7424
Epoch: 02, Train Loss: 0.3887, Valid Loss: 0.3334, Train AUC: 0.9091, Valid AUC: 0.9194, AUPR: 0.9390, F1 score: 0.8709, Accuracy: 0.8686, Recall: 0.8866, Specificity: 0.8505, Precision: 0.8557, MCC: 0.7376
Epoch: 03, Train Loss: 0.3718, Valid Loss: 0.3275, Train AUC: 0.9159, Valid AUC: 0.9297, AUPR: 0.9442, F1 score: 0.8737, Accuracy: 0.8711, Recall: 0.8918, Specificity: 0.8505, Precision: 0.8564, MCC: 0.7429
Epoch: 04, Train Loss: 0.3621, Valid Loss: 0.3178, Train AUC: 0.9181, Valid AUC: 0.9309, AUPR: 0.9447, F1 score: 0.8753, Accuracy: 0.8737, Recall: 0.8866, Specificity: 0.8608, Precision: 0.8643, MCC: 0.7477
Epoch: 05, Train Loss: 0.3588, Valid Loss: 0.3194, Train AUC: 0.9199, Valid AUC: 0.9327, AUPR: 0.9455, F1 score: 0.8753, Accuracy: 0.8737, Recall: 0.8866, Specificity: 0.8608, Precision: 0.8643, MCC: 0.7477
Epoch: 06, Train Loss: 0.3516, Valid Loss: 0.3216, Train AUC: 0.9220, Valid AUC: 0.9323, AUPR: 0.9459, F1 score: 0.8776, Accuracy: 0.8763, Recall: 0.8866, Specificity: 0.8660, Precision: 0.8687, MCC: 0.7527
Epoch: 07, Train Loss: 0.3527, Valid Loss: 0.3192, Train AUC: 0.9201, Valid AUC: 0.9309, AUPR: 0.9449, F1 score: 0.8753, Accuracy: 0.8737, Recall: 0.8866, Specificity: 0.8608, Precision: 0.8643, MCC: 0.7477
Epoch: 08, Train Loss: 0.3553, Valid Loss: 0.3198, Train AUC: 0.9210, Valid AUC: 0.9320, AUPR: 0.9451, F1 score: 0.8744, Accuracy: 0.8711, Recall: 0.8969, Specificity: 0.8454, Precision: 0.8529, MCC: 0.7433
Epoch: 09, Train Loss: 0.3489, Valid Loss: 0.3230, Train AUC: 0.9222, Valid AUC: 0.9319, AUPR: 0.9452, F1 score: 0.8750, Accuracy: 0.8763, Recall: 0.8660, Specificity: 0.8866, Precision: 0.8842, MCC: 0.7527
Epoch: 10, Train Loss: 0.3491, Valid Loss: 0.3200, Train AUC: 0.9237, Valid AUC: 0.9331, AUPR: 0.9463, F1 score: 0.8776, Accuracy: 0.8763, Recall: 0.8866, Specificity: 0.8660, Precision: 0.8687, MCC: 0.7527
Epoch: 11, Train Loss: 0.3475, Valid Loss: 0.3174, Train AUC: 0.9238, Valid AUC: 0.9331, AUPR: 0.9461, F1 score: 0.8769, Accuracy: 0.8763, Recall: 0.8814, Specificity: 0.8711, Precision: 0.8724, MCC: 0.7526
Epoch: 12, Train Loss: 0.3490, Valid Loss: 0.3183, Train AUC: 0.9233, Valid AUC: 0.9330, AUPR: 0.9459, F1 score: 0.8772, Accuracy: 0.8737, Recall: 0.9021, Specificity: 0.8454, Precision: 0.8537, MCC: 0.7486
Epoch: 13, Train Loss: 0.3429, Valid Loss: 0.3182, Train AUC: 0.9254, Valid AUC: 0.9329, AUPR: 0.9461, F1 score: 0.8769, Accuracy: 0.8763, Recall: 0.8814, Specificity: 0.8711, Precision: 0.8724, MCC: 0.7526
Epoch: 14, Train Loss: 0.3481, Valid Loss: 0.3191, Train AUC: 0.9239, Valid AUC: 0.9338, AUPR: 0.9467, F1 score: 0.8776, Accuracy: 0.8763, Recall: 0.8866, Specificity: 0.8660, Precision: 0.8687, MCC: 0.7527
