python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset f_data --num_hops 1 --epochs 100 --model GIN --batch_size 32
Epoch: 01, Train Loss: 0.4352, Valid Loss: 0.3531, Train AUC: 0.8926, Valid AUC: 0.9250, AUPR: 0.9320, F1 score: 0.8804, Accuracy: 0.8789, Recall: 0.8918, Specificity: 0.8660, Precision: 0.8693, MCC: 0.7580
Epoch: 02, Train Loss: 0.3720, Valid Loss: 0.3389, Train AUC: 0.9160, Valid AUC: 0.9263, AUPR: 0.9365, F1 score: 0.8753, Accuracy: 0.8686, Recall: 0.9227, Specificity: 0.8144, Precision: 0.8326, MCC: 0.7415
Epoch: 03, Train Loss: 0.3596, Valid Loss: 0.3433, Train AUC: 0.9214, Valid AUC: 0.9280, AUPR: 0.9379, F1 score: 0.8725, Accuracy: 0.8660, Recall: 0.9175, Specificity: 0.8144, Precision: 0.8318, MCC: 0.7359
Epoch: 04, Train Loss: 0.3591, Valid Loss: 0.3408, Train AUC: 0.9222, Valid AUC: 0.9282, AUPR: 0.9382, F1 score: 0.8747, Accuracy: 0.8686, Recall: 0.9175, Specificity: 0.8196, Precision: 0.8357, MCC: 0.7407
Epoch: 05, Train Loss: 0.3565, Valid Loss: 0.3462, Train AUC: 0.9218, Valid AUC: 0.9243, AUPR: 0.9269, F1 score: 0.8798, Accuracy: 0.8789, Recall: 0.8866, Specificity: 0.8711, Precision: 0.8731, MCC: 0.7578
Epoch: 06, Train Loss: 0.3582, Valid Loss: 0.3370, Train AUC: 0.9220, Valid AUC: 0.9286, AUPR: 0.9382, F1 score: 0.8747, Accuracy: 0.8686, Recall: 0.9175, Specificity: 0.8196, Precision: 0.8357, MCC: 0.7407
Epoch: 07, Train Loss: 0.3515, Valid Loss: 0.3378, Train AUC: 0.9233, Valid AUC: 0.9288, AUPR: 0.9391, F1 score: 0.8792, Accuracy: 0.8789, Recall: 0.8814, Specificity: 0.8763, Precision: 0.8769, MCC: 0.7577
Epoch: 08, Train Loss: 0.3572, Valid Loss: 0.3639, Train AUC: 0.9211, Valid AUC: 0.9232, AUPR: 0.9153, F1 score: 0.8727, Accuracy: 0.8737, Recall: 0.8660, Specificity: 0.8814, Precision: 0.8796, MCC: 0.7475
Epoch: 09, Train Loss: 0.3641, Valid Loss: 0.3366, Train AUC: 0.9177, Valid AUC: 0.9254, AUPR: 0.9350, F1 score: 0.8675, Accuracy: 0.8582, Recall: 0.9278, Specificity: 0.7887, Precision: 0.8145, MCC: 0.7235
Epoch: 10, Train Loss: 0.3547, Valid Loss: 0.3356, Train AUC: 0.9214, Valid AUC: 0.9267, AUPR: 0.9354, F1 score: 0.8686, Accuracy: 0.8737, Recall: 0.8351, Specificity: 0.9124, Precision: 0.9050, MCC: 0.7497
Epoch: 11, Train Loss: 0.3530, Valid Loss: 0.3374, Train AUC: 0.9220, Valid AUC: 0.9278, AUPR: 0.9390, F1 score: 0.8687, Accuracy: 0.8660, Recall: 0.8866, Specificity: 0.8454, Precision: 0.8515, MCC: 0.7326
Epoch: 12, Train Loss: 0.3460, Valid Loss: 0.3330, Train AUC: 0.9254, Valid AUC: 0.9272, AUPR: 0.9366, F1 score: 0.8675, Accuracy: 0.8582, Recall: 0.9278, Specificity: 0.7887, Precision: 0.8145, MCC: 0.7235
Epoch: 13, Train Loss: 0.3476, Valid Loss: 0.3325, Train AUC: 0.9240, Valid AUC: 0.9285, AUPR: 0.9392, F1 score: 0.8737, Accuracy: 0.8711, Recall: 0.8918, Specificity: 0.8505, Precision: 0.8564, MCC: 0.7429
Epoch: 14, Train Loss: 0.3469, Valid Loss: 0.3371, Train AUC: 0.9251, Valid AUC: 0.9263, AUPR: 0.9364, F1 score: 0.8722, Accuracy: 0.8686, Recall: 0.8969, Specificity: 0.8402, Precision: 0.8488, MCC: 0.7383
