python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset f_data --num_hops 1 --epochs 100 --model GCN --batch_size 32 --use_feature --hidden_channels 256
Epoch: 01, Train Loss: 0.4062, Valid Loss: 0.3472, Train AUC: 0.9055, Valid AUC: 0.9346, AUPR: 0.9484, F1 score: 0.8737, Accuracy: 0.8711, Recall: 0.8918, Specificity: 0.8505, Precision: 0.8564, MCC: 0.7429
Epoch: 02, Train Loss: 0.3550, Valid Loss: 0.3322, Train AUC: 0.9230, Valid AUC: 0.9356, AUPR: 0.9488, F1 score: 0.8747, Accuracy: 0.8737, Recall: 0.8814, Specificity: 0.8660, Precision: 0.8680, MCC: 0.7475
Epoch: 03, Train Loss: 0.3452, Valid Loss: 0.3275, Train AUC: 0.9283, Valid AUC: 0.9337, AUPR: 0.9472, F1 score: 0.8792, Accuracy: 0.8789, Recall: 0.8814, Specificity: 0.8763, Precision: 0.8769, MCC: 0.7577
Epoch: 04, Train Loss: 0.3415, Valid Loss: 0.3205, Train AUC: 0.9283, Valid AUC: 0.9369, AUPR: 0.9499, F1 score: 0.8759, Accuracy: 0.8737, Recall: 0.8918, Specificity: 0.8557, Precision: 0.8607, MCC: 0.7479
Epoch: 05, Train Loss: 0.3414, Valid Loss: 0.3204, Train AUC: 0.9289, Valid AUC: 0.9359, AUPR: 0.9494, F1 score: 0.8763, Accuracy: 0.8814, Recall: 0.8402, Specificity: 0.9227, Precision: 0.9157, MCC: 0.7655
Epoch: 06, Train Loss: 0.3372, Valid Loss: 0.3197, Train AUC: 0.9304, Valid AUC: 0.9387, AUPR: 0.9513, F1 score: 0.8821, Accuracy: 0.8814, Recall: 0.8866, Specificity: 0.8763, Precision: 0.8776, MCC: 0.7629
Epoch: 07, Train Loss: 0.3297, Valid Loss: 0.3162, Train AUC: 0.9331, Valid AUC: 0.9384, AUPR: 0.9498, F1 score: 0.8804, Accuracy: 0.8789, Recall: 0.8918, Specificity: 0.8660, Precision: 0.8693, MCC: 0.7580
Epoch: 08, Train Loss: 0.3270, Valid Loss: 0.3105, Train AUC: 0.9334, Valid AUC: 0.9376, AUPR: 0.9504, F1 score: 0.8737, Accuracy: 0.8711, Recall: 0.8918, Specificity: 0.8505, Precision: 0.8564, MCC: 0.7429
Epoch: 09, Train Loss: 0.3275, Valid Loss: 0.3079, Train AUC: 0.9339, Valid AUC: 0.9422, AUPR: 0.9544, F1 score: 0.8798, Accuracy: 0.8866, Recall: 0.8299, Specificity: 0.9433, Precision: 0.9360, MCC: 0.7782
Epoch: 10, Train Loss: 0.3252, Valid Loss: 0.3110, Train AUC: 0.9343, Valid AUC: 0.9368, AUPR: 0.9486, F1 score: 0.8734, Accuracy: 0.8737, Recall: 0.8711, Specificity: 0.8763, Precision: 0.8756, MCC: 0.7474
Epoch: 11, Train Loss: 0.3199, Valid Loss: 0.3227, Train AUC: 0.9350, Valid AUC: 0.9401, AUPR: 0.9518, F1 score: 0.8883, Accuracy: 0.8918, Recall: 0.8608, Specificity: 0.9227, Precision: 0.9176, MCC: 0.7850
