python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset f_data --num_hops 1 --epochs 100 --model GCN --batch_size 32 --use_feature --hidden_channels 512 --dropout 0.6
Epoch: 01, Train Loss: 0.3941, Valid Loss: 0.3284, Train AUC: 0.9107, Valid AUC: 0.9312, AUPR: 0.9455, F1 score: 0.8773, Accuracy: 0.8789, Recall: 0.8660, Specificity: 0.8918, Precision: 0.8889, MCC: 0.7580
Epoch: 02, Train Loss: 0.3728, Valid Loss: 0.3238, Train AUC: 0.9181, Valid AUC: 0.9314, AUPR: 0.9443, F1 score: 0.8685, Accuracy: 0.8634, Recall: 0.9021, Specificity: 0.8247, Precision: 0.8373, MCC: 0.7290
Epoch: 03, Train Loss: 0.3639, Valid Loss: 0.3170, Train AUC: 0.9195, Valid AUC: 0.9348, AUPR: 0.9472, F1 score: 0.8759, Accuracy: 0.8737, Recall: 0.8918, Specificity: 0.8557, Precision: 0.8607, MCC: 0.7479
Epoch: 04, Train Loss: 0.3773, Valid Loss: 0.3244, Train AUC: 0.9184, Valid AUC: 0.9292, AUPR: 0.9438, F1 score: 0.8776, Accuracy: 0.8763, Recall: 0.8866, Specificity: 0.8660, Precision: 0.8687, MCC: 0.7527
Epoch: 05, Train Loss: 0.3491, Valid Loss: 0.3120, Train AUC: 0.9228, Valid AUC: 0.9343, AUPR: 0.9474, F1 score: 0.8747, Accuracy: 0.8737, Recall: 0.8814, Specificity: 0.8660, Precision: 0.8680, MCC: 0.7475
Epoch: 06, Train Loss: 0.3498, Valid Loss: 0.3143, Train AUC: 0.9246, Valid AUC: 0.9348, AUPR: 0.9477, F1 score: 0.8808, Accuracy: 0.8814, Recall: 0.8763, Specificity: 0.8866, Precision: 0.8854, MCC: 0.7629
Epoch: 07, Train Loss: 0.3372, Valid Loss: 0.3274, Train AUC: 0.9274, Valid AUC: 0.9341, AUPR: 0.9470, F1 score: 0.8788, Accuracy: 0.8763, Recall: 0.8969, Specificity: 0.8557, Precision: 0.8614, MCC: 0.7532
Epoch: 08, Train Loss: 0.3562, Valid Loss: 0.3300, Train AUC: 0.9224, Valid AUC: 0.9327, AUPR: 0.9472, F1 score: 0.8779, Accuracy: 0.8789, Recall: 0.8711, Specificity: 0.8866, Precision: 0.8848, MCC: 0.7578
Epoch: 09, Train Loss: 0.3426, Valid Loss: 0.3326, Train AUC: 0.9260, Valid AUC: 0.9328, AUPR: 0.9478, F1 score: 0.8744, Accuracy: 0.8711, Recall: 0.8969, Specificity: 0.8454, Precision: 0.8529, MCC: 0.7433
Epoch: 10, Train Loss: 0.3346, Valid Loss: 0.3119, Train AUC: 0.9283, Valid AUC: 0.9369, AUPR: 0.9503, F1 score: 0.8837, Accuracy: 0.8840, Recall: 0.8814, Specificity: 0.8866, Precision: 0.8860, MCC: 0.7681
Epoch: 11, Train Loss: 0.3384, Valid Loss: 0.3147, Train AUC: 0.9279, Valid AUC: 0.9349, AUPR: 0.9491, F1 score: 0.8814, Accuracy: 0.8814, Recall: 0.8814, Specificity: 0.8814, Precision: 0.8814, MCC: 0.7629
Epoch: 12, Train Loss: 0.3346, Valid Loss: 0.3095, Train AUC: 0.9274, Valid AUC: 0.9365, AUPR: 0.9503, F1 score: 0.8821, Accuracy: 0.8814, Recall: 0.8866, Specificity: 0.8763, Precision: 0.8776, MCC: 0.7629
Epoch: 13, Train Loss: 0.3370, Valid Loss: 0.3117, Train AUC: 0.9281, Valid AUC: 0.9356, AUPR: 0.9496, F1 score: 0.8782, Accuracy: 0.8763, Recall: 0.8918, Specificity: 0.8608, Precision: 0.8650, MCC: 0.7529
Epoch: 14, Train Loss: 0.3329, Valid Loss: 0.3195, Train AUC: 0.9299, Valid AUC: 0.9357, AUPR: 0.9501, F1 score: 0.8788, Accuracy: 0.8763, Recall: 0.8969, Specificity: 0.8557, Precision: 0.8614, MCC: 0.7532
Epoch: 15, Train Loss: 0.3289, Valid Loss: 0.3221, Train AUC: 0.9294, Valid AUC: 0.9357, AUPR: 0.9498, F1 score: 0.8737, Accuracy: 0.8711, Recall: 0.8918, Specificity: 0.8505, Precision: 0.8564, MCC: 0.7429
Epoch: 16, Train Loss: 0.3316, Valid Loss: 0.3043, Train AUC: 0.9312, Valid AUC: 0.9402, AUPR: 0.9539, F1 score: 0.8828, Accuracy: 0.8892, Recall: 0.8351, Specificity: 0.9433, Precision: 0.9364, MCC: 0.7830
Epoch: 17, Train Loss: 0.3305, Valid Loss: 0.3100, Train AUC: 0.9295, Valid AUC: 0.9373, AUPR: 0.9517, F1 score: 0.8798, Accuracy: 0.8789, Recall: 0.8866, Specificity: 0.8711, Precision: 0.8731, MCC: 0.7578
Epoch: 18, Train Loss: 0.3244, Valid Loss: 0.3108, Train AUC: 0.9321, Valid AUC: 0.9342, AUPR: 0.9480, F1 score: 0.8756, Accuracy: 0.8711, Recall: 0.9072, Specificity: 0.8351, Precision: 0.8462, MCC: 0.7442
Epoch: 19, Train Loss: 0.3317, Valid Loss: 0.3155, Train AUC: 0.9290, Valid AUC: 0.9358, AUPR: 0.9513, F1 score: 0.8796, Accuracy: 0.8814, Recall: 0.8660, Specificity: 0.8969, Precision: 0.8936, MCC: 0.7633
Epoch: 20, Train Loss: 0.3295, Valid Loss: 0.3081, Train AUC: 0.9308, Valid AUC: 0.9381, AUPR: 0.9524, F1 score: 0.8821, Accuracy: 0.8814, Recall: 0.8866, Specificity: 0.8763, Precision: 0.8776, MCC: 0.7629
Epoch: 21, Train Loss: 0.3264, Valid Loss: 0.3279, Train AUC: 0.9306, Valid AUC: 0.9394, AUPR: 0.9542, F1 score: 0.8936, Accuracy: 0.8969, Recall: 0.8660, Specificity: 0.9278, Precision: 0.9231, MCC: 0.7953
Epoch: 22, Train Loss: 0.3277, Valid Loss: 0.3172, Train AUC: 0.9306, Valid AUC: 0.9382, AUPR: 0.9523, F1 score: 0.8865, Accuracy: 0.8892, Recall: 0.8660, Specificity: 0.9124, Precision: 0.9081, MCC: 0.7792
Epoch: 23, Train Loss: 0.3269, Valid Loss: 0.3251, Train AUC: 0.9317, Valid AUC: 0.9374, AUPR: 0.9512, F1 score: 0.8854, Accuracy: 0.8866, Recall: 0.8763, Specificity: 0.8969, Precision: 0.8947, MCC: 0.7734
Epoch: 24, Train Loss: 0.3269, Valid Loss: 0.3048, Train AUC: 0.9313, Valid AUC: 0.9402, AUPR: 0.9537, F1 score: 0.8877, Accuracy: 0.8892, Recall: 0.8763, Specificity: 0.9021, Precision: 0.8995, MCC: 0.7786
Epoch: 25, Train Loss: 0.3275, Valid Loss: 0.3040, Train AUC: 0.9312, Valid AUC: 0.9409, AUPR: 0.9550, F1 score: 0.8971, Accuracy: 0.8995, Recall: 0.8763, Specificity: 0.9227, Precision: 0.9189, MCC: 0.7998
Epoch: 26, Train Loss: 0.3336, Valid Loss: 0.3145, Train AUC: 0.9288, Valid AUC: 0.9357, AUPR: 0.9497, F1 score: 0.8766, Accuracy: 0.8737, Recall: 0.8969, Specificity: 0.8505, Precision: 0.8571, MCC: 0.7482
Epoch: 27, Train Loss: 0.3281, Valid Loss: 0.3030, Train AUC: 0.9311, Valid AUC: 0.9397, AUPR: 0.9542, F1 score: 0.8828, Accuracy: 0.8892, Recall: 0.8351, Specificity: 0.9433, Precision: 0.9364, MCC: 0.7830
Epoch: 28, Train Loss: 0.3371, Valid Loss: 0.3060, Train AUC: 0.9280, Valid AUC: 0.9382, AUPR: 0.9525, F1 score: 0.8828, Accuracy: 0.8789, Recall: 0.9124, Specificity: 0.8454, Precision: 0.8551, MCC: 0.7594
Epoch: 29, Train Loss: 0.3254, Valid Loss: 0.3021, Train AUC: 0.9312, Valid AUC: 0.9368, AUPR: 0.9507, F1 score: 0.8850, Accuracy: 0.8814, Recall: 0.9124, Specificity: 0.8505, Precision: 0.8592, MCC: 0.7644
Epoch: 30, Train Loss: 0.3306, Valid Loss: 0.3101, Train AUC: 0.9302, Valid AUC: 0.9406, AUPR: 0.9541, F1 score: 0.8946, Accuracy: 0.8943, Recall: 0.8969, Specificity: 0.8918, Precision: 0.8923, MCC: 0.7887
Epoch: 31, Train Loss: 0.3233, Valid Loss: 0.3060, Train AUC: 0.9315, Valid AUC: 0.9397, AUPR: 0.9542, F1 score: 0.8849, Accuracy: 0.8840, Recall: 0.8918, Specificity: 0.8763, Precision: 0.8782, MCC: 0.7681
Epoch: 32, Train Loss: 0.3282, Valid Loss: 0.3157, Train AUC: 0.9315, Valid AUC: 0.9409, AUPR: 0.9552, F1 score: 0.8953, Accuracy: 0.8969, Recall: 0.8814, Specificity: 0.9124, Precision: 0.9096, MCC: 0.7942
Epoch: 33, Train Loss: 0.3180, Valid Loss: 0.3064, Train AUC: 0.9333, Valid AUC: 0.9402, AUPR: 0.9543, F1 score: 0.8900, Accuracy: 0.8892, Recall: 0.8969, Specificity: 0.8814, Precision: 0.8832, MCC: 0.7784
Epoch: 34, Train Loss: 0.3269, Valid Loss: 0.3005, Train AUC: 0.9313, Valid AUC: 0.9386, AUPR: 0.9527, F1 score: 0.8792, Accuracy: 0.8789, Recall: 0.8814, Specificity: 0.8763, Precision: 0.8769, MCC: 0.7577
Epoch: 35, Train Loss: 0.3137, Valid Loss: 0.3040, Train AUC: 0.9347, Valid AUC: 0.9411, AUPR: 0.9557, F1 score: 0.8871, Accuracy: 0.8892, Recall: 0.8711, Specificity: 0.9072, Precision: 0.9037, MCC: 0.7789
Epoch: 36, Train Loss: 0.3163, Valid Loss: 0.2967, Train AUC: 0.9343, Valid AUC: 0.9417, AUPR: 0.9563, F1 score: 0.8982, Accuracy: 0.8995, Recall: 0.8866, Specificity: 0.9124, Precision: 0.9101, MCC: 0.7992
Epoch: 37, Train Loss: 0.3217, Valid Loss: 0.2965, Train AUC: 0.9322, Valid AUC: 0.9411, AUPR: 0.9556, F1 score: 0.8853, Accuracy: 0.8892, Recall: 0.8557, Specificity: 0.9227, Precision: 0.9171, MCC: 0.7801
Epoch: 38, Train Loss: 0.3229, Valid Loss: 0.3051, Train AUC: 0.9315, Valid AUC: 0.9373, AUPR: 0.9512, F1 score: 0.8804, Accuracy: 0.8789, Recall: 0.8918, Specificity: 0.8660, Precision: 0.8693, MCC: 0.7580
Epoch: 39, Train Loss: 0.3272, Valid Loss: 0.3032, Train AUC: 0.9306, Valid AUC: 0.9387, AUPR: 0.9535, F1 score: 0.8753, Accuracy: 0.8789, Recall: 0.8505, Specificity: 0.9072, Precision: 0.9016, MCC: 0.7590
Epoch: 40, Train Loss: 0.3253, Valid Loss: 0.3104, Train AUC: 0.9309, Valid AUC: 0.9394, AUPR: 0.9538, F1 score: 0.8817, Accuracy: 0.8866, Recall: 0.8454, Specificity: 0.9278, Precision: 0.9213, MCC: 0.7758
Epoch: 41, Train Loss: 0.3178, Valid Loss: 0.3061, Train AUC: 0.9343, Valid AUC: 0.9404, AUPR: 0.9547, F1 score: 0.8859, Accuracy: 0.8892, Recall: 0.8608, Specificity: 0.9175, Precision: 0.9126, MCC: 0.7796
Epoch: 42, Train Loss: 0.3111, Valid Loss: 0.2949, Train AUC: 0.9352, Valid AUC: 0.9386, AUPR: 0.9531, F1 score: 0.8785, Accuracy: 0.8866, Recall: 0.8196, Specificity: 0.9536, Precision: 0.9464, MCC: 0.7802
Epoch: 43, Train Loss: 0.3119, Valid Loss: 0.2981, Train AUC: 0.9348, Valid AUC: 0.9406, AUPR: 0.9549, F1 score: 0.8855, Accuracy: 0.8840, Recall: 0.8969, Specificity: 0.8711, Precision: 0.8744, MCC: 0.7683
Epoch: 44, Train Loss: 0.3196, Valid Loss: 0.2931, Train AUC: 0.9328, Valid AUC: 0.9411, AUPR: 0.9554, F1 score: 0.8918, Accuracy: 0.8918, Recall: 0.8918, Specificity: 0.8918, Precision: 0.8918, MCC: 0.7835
Epoch: 45, Train Loss: 0.3141, Valid Loss: 0.3017, Train AUC: 0.9352, Valid AUC: 0.9364, AUPR: 0.9502, F1 score: 0.8744, Accuracy: 0.8711, Recall: 0.8969, Specificity: 0.8454, Precision: 0.8529, MCC: 0.7433
Epoch: 46, Train Loss: 0.3103, Valid Loss: 0.2905, Train AUC: 0.9350, Valid AUC: 0.9403, AUPR: 0.9545, F1 score: 0.8821, Accuracy: 0.8814, Recall: 0.8866, Specificity: 0.8763, Precision: 0.8776, MCC: 0.7629
Epoch: 47, Train Loss: 0.3116, Valid Loss: 0.2953, Train AUC: 0.9361, Valid AUC: 0.9404, AUPR: 0.9552, F1 score: 0.8841, Accuracy: 0.8892, Recall: 0.8454, Specificity: 0.9330, Precision: 0.9266, MCC: 0.7814
Epoch: 48, Train Loss: 0.3165, Valid Loss: 0.2968, Train AUC: 0.9346, Valid AUC: 0.9389, AUPR: 0.9527, F1 score: 0.8808, Accuracy: 0.8814, Recall: 0.8763, Specificity: 0.8866, Precision: 0.8854, MCC: 0.7629
Epoch: 49, Train Loss: 0.3129, Valid Loss: 0.3092, Train AUC: 0.9356, Valid AUC: 0.9413, AUPR: 0.9555, F1 score: 0.8848, Accuracy: 0.8866, Recall: 0.8711, Specificity: 0.9021, Precision: 0.8989, MCC: 0.7736
Epoch: 50, Train Loss: 0.3213, Valid Loss: 0.3004, Train AUC: 0.9332, Valid AUC: 0.9386, AUPR: 0.9530, F1 score: 0.8782, Accuracy: 0.8763, Recall: 0.8918, Specificity: 0.8608, Precision: 0.8650, MCC: 0.7529
Epoch: 51, Train Loss: 0.3130, Valid Loss: 0.2909, Train AUC: 0.9344, Valid AUC: 0.9409, AUPR: 0.9554, F1 score: 0.8866, Accuracy: 0.8840, Recall: 0.9072, Specificity: 0.8608, Precision: 0.8670, MCC: 0.7689
Epoch: 52, Train Loss: 0.3157, Valid Loss: 0.3129, Train AUC: 0.9338, Valid AUC: 0.9411, AUPR: 0.9553, F1 score: 0.8889, Accuracy: 0.8866, Recall: 0.9072, Specificity: 0.8660, Precision: 0.8713, MCC: 0.7739
Epoch: 53, Train Loss: 0.3116, Valid Loss: 0.3029, Train AUC: 0.9341, Valid AUC: 0.9407, AUPR: 0.9542, F1 score: 0.8877, Accuracy: 0.8892, Recall: 0.8763, Specificity: 0.9021, Precision: 0.8995, MCC: 0.7786
Epoch: 54, Train Loss: 0.3144, Valid Loss: 0.2981, Train AUC: 0.9354, Valid AUC: 0.9406, AUPR: 0.9546, F1 score: 0.8848, Accuracy: 0.8866, Recall: 0.8711, Specificity: 0.9021, Precision: 0.8989, MCC: 0.7736
Epoch: 55, Train Loss: 0.3104, Valid Loss: 0.3074, Train AUC: 0.9363, Valid AUC: 0.9384, AUPR: 0.9526, F1 score: 0.8871, Accuracy: 0.8892, Recall: 0.8711, Specificity: 0.9072, Precision: 0.9037, MCC: 0.7789
Epoch: 56, Train Loss: 0.3101, Valid Loss: 0.2973, Train AUC: 0.9350, Valid AUC: 0.9383, AUPR: 0.9519, F1 score: 0.8822, Accuracy: 0.8789, Recall: 0.9072, Specificity: 0.8505, Precision: 0.8585, MCC: 0.7590
Epoch: 57, Train Loss: 0.3094, Valid Loss: 0.3119, Train AUC: 0.9345, Valid AUC: 0.9399, AUPR: 0.9539, F1 score: 0.8895, Accuracy: 0.8892, Recall: 0.8918, Specificity: 0.8866, Precision: 0.8872, MCC: 0.7784
Epoch: 58, Train Loss: 0.3120, Valid Loss: 0.3094, Train AUC: 0.9337, Valid AUC: 0.9406, AUPR: 0.9543, F1 score: 0.8895, Accuracy: 0.8892, Recall: 0.8918, Specificity: 0.8866, Precision: 0.8872, MCC: 0.7784
Epoch: 59, Train Loss: 0.3089, Valid Loss: 0.2940, Train AUC: 0.9366, Valid AUC: 0.9404, AUPR: 0.9546, F1 score: 0.8843, Accuracy: 0.8840, Recall: 0.8866, Specificity: 0.8814, Precision: 0.8821, MCC: 0.7681
Epoch: 60, Train Loss: 0.3070, Valid Loss: 0.2912, Train AUC: 0.9370, Valid AUC: 0.9406, AUPR: 0.9551, F1 score: 0.8855, Accuracy: 0.8840, Recall: 0.8969, Specificity: 0.8711, Precision: 0.8744, MCC: 0.7683
Epoch: 61, Train Loss: 0.3176, Valid Loss: 0.3121, Train AUC: 0.9342, Valid AUC: 0.9413, AUPR: 0.9549, F1 score: 0.8854, Accuracy: 0.8866, Recall: 0.8763, Specificity: 0.8969, Precision: 0.8947, MCC: 0.7734
Epoch: 62, Train Loss: 0.3141, Valid Loss: 0.3011, Train AUC: 0.9359, Valid AUC: 0.9401, AUPR: 0.9537, F1 score: 0.8859, Accuracy: 0.8892, Recall: 0.8608, Specificity: 0.9175, Precision: 0.9126, MCC: 0.7796
Epoch: 63, Train Loss: 0.3031, Valid Loss: 0.3140, Train AUC: 0.9380, Valid AUC: 0.9363, AUPR: 0.9502, F1 score: 0.8747, Accuracy: 0.8686, Recall: 0.9175, Specificity: 0.8196, Precision: 0.8357, MCC: 0.7407
Epoch: 64, Train Loss: 0.3042, Valid Loss: 0.2905, Train AUC: 0.9379, Valid AUC: 0.9409, AUPR: 0.9549, F1 score: 0.8860, Accuracy: 0.8866, Recall: 0.8814, Specificity: 0.8918, Precision: 0.8906, MCC: 0.7732
Epoch: 65, Train Loss: 0.3183, Valid Loss: 0.2990, Train AUC: 0.9315, Valid AUC: 0.9412, AUPR: 0.9553, F1 score: 0.8854, Accuracy: 0.8866, Recall: 0.8763, Specificity: 0.8969, Precision: 0.8947, MCC: 0.7734
Epoch: 66, Train Loss: 0.3103, Valid Loss: 0.2985, Train AUC: 0.9349, Valid AUC: 0.9389, AUPR: 0.9523, F1 score: 0.8906, Accuracy: 0.8892, Recall: 0.9021, Specificity: 0.8763, Precision: 0.8794, MCC: 0.7786
Epoch: 67, Train Loss: 0.3076, Valid Loss: 0.2987, Train AUC: 0.9360, Valid AUC: 0.9386, AUPR: 0.9525, F1 score: 0.8790, Accuracy: 0.8737, Recall: 0.9175, Specificity: 0.8299, Precision: 0.8436, MCC: 0.7503
Epoch: 68, Train Loss: 0.3093, Valid Loss: 0.2944, Train AUC: 0.9352, Valid AUC: 0.9403, AUPR: 0.9537, F1 score: 0.8844, Accuracy: 0.8814, Recall: 0.9072, Specificity: 0.8557, Precision: 0.8627, MCC: 0.7639
Epoch: 69, Train Loss: 0.3027, Valid Loss: 0.3066, Train AUC: 0.9377, Valid AUC: 0.9412, AUPR: 0.9553, F1 score: 0.8883, Accuracy: 0.8892, Recall: 0.8814, Specificity: 0.8969, Precision: 0.8953, MCC: 0.7784
