python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset f_data --num_hops 1 --epochs 100 --model GCN --batch_size 32 --hidden_channels 256 --dropout 0.5
Epoch: 01, Train Loss: 0.3799, Valid Loss: 0.3777, Train AUC: 0.9129, Valid AUC: 0.9291, AUPR: 0.9443, F1 score: 0.8796, Accuracy: 0.8814, Recall: 0.8660, Specificity: 0.8969, Precision: 0.8936, MCC: 0.7633
Epoch: 02, Train Loss: 0.3649, Valid Loss: 0.3358, Train AUC: 0.9207, Valid AUC: 0.9289, AUPR: 0.9416, F1 score: 0.8794, Accuracy: 0.8763, Recall: 0.9021, Specificity: 0.8505, Precision: 0.8578, MCC: 0.7536
Epoch: 03, Train Loss: 0.3551, Valid Loss: 0.3309, Train AUC: 0.9234, Valid AUC: 0.9311, AUPR: 0.9451, F1 score: 0.8766, Accuracy: 0.8789, Recall: 0.8608, Specificity: 0.8969, Precision: 0.8930, MCC: 0.7582
Epoch: 04, Train Loss: 0.3499, Valid Loss: 0.3318, Train AUC: 0.9244, Valid AUC: 0.9332, AUPR: 0.9455, F1 score: 0.8766, Accuracy: 0.8737, Recall: 0.8969, Specificity: 0.8505, Precision: 0.8571, MCC: 0.7482
Epoch: 05, Train Loss: 0.3468, Valid Loss: 0.3160, Train AUC: 0.9244, Valid AUC: 0.9323, AUPR: 0.9455, F1 score: 0.8744, Accuracy: 0.8711, Recall: 0.8969, Specificity: 0.8454, Precision: 0.8529, MCC: 0.7433
Epoch: 06, Train Loss: 0.3505, Valid Loss: 0.3242, Train AUC: 0.9227, Valid AUC: 0.9284, AUPR: 0.9437, F1 score: 0.8731, Accuracy: 0.8711, Recall: 0.8866, Specificity: 0.8557, Precision: 0.8600, MCC: 0.7426
Epoch: 07, Train Loss: 0.3487, Valid Loss: 0.3195, Train AUC: 0.9226, Valid AUC: 0.9328, AUPR: 0.9470, F1 score: 0.8750, Accuracy: 0.8763, Recall: 0.8660, Specificity: 0.8866, Precision: 0.8842, MCC: 0.7527
Epoch: 08, Train Loss: 0.3384, Valid Loss: 0.3199, Train AUC: 0.9259, Valid AUC: 0.9315, AUPR: 0.9441, F1 score: 0.8750, Accuracy: 0.8711, Recall: 0.9021, Specificity: 0.8402, Precision: 0.8495, MCC: 0.7437
Epoch: 09, Train Loss: 0.3433, Valid Loss: 0.3229, Train AUC: 0.9267, Valid AUC: 0.9302, AUPR: 0.9432, F1 score: 0.8687, Accuracy: 0.8660, Recall: 0.8866, Specificity: 0.8454, Precision: 0.8515, MCC: 0.7326
Epoch: 10, Train Loss: 0.3386, Valid Loss: 0.3151, Train AUC: 0.9255, Valid AUC: 0.9328, AUPR: 0.9462, F1 score: 0.8744, Accuracy: 0.8711, Recall: 0.8969, Specificity: 0.8454, Precision: 0.8529, MCC: 0.7433
Epoch: 11, Train Loss: 0.3405, Valid Loss: 0.3199, Train AUC: 0.9266, Valid AUC: 0.9338, AUPR: 0.9466, F1 score: 0.8786, Accuracy: 0.8789, Recall: 0.8763, Specificity: 0.8814, Precision: 0.8808, MCC: 0.7577
