python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset f_data --batch_size 64
Epoch: 01, Train Loss: 0.3879, Valid Loss: 0.3423, Train AUC: 0.9081, Valid AUC: 0.9299, AUPR: 0.9429, F1 score: 0.8740, Accuracy: 0.8737, Recall: 0.8763, Specificity: 0.8711, Precision: 0.8718, MCC: 0.7474
Epoch: 02, Train Loss: 0.3530, Valid Loss: 0.3306, Train AUC: 0.9227, Valid AUC: 0.9323, AUPR: 0.9450, F1 score: 0.8782, Accuracy: 0.8763, Recall: 0.8918, Specificity: 0.8608, Precision: 0.8650, MCC: 0.7529
Epoch: 03, Train Loss: 0.3503, Valid Loss: 0.3227, Train AUC: 0.9230, Valid AUC: 0.9316, AUPR: 0.9451, F1 score: 0.8756, Accuracy: 0.8763, Recall: 0.8711, Specificity: 0.8814, Precision: 0.8802, MCC: 0.7526
Epoch: 04, Train Loss: 0.3487, Valid Loss: 0.3321, Train AUC: 0.9249, Valid AUC: 0.9327, AUPR: 0.9456, F1 score: 0.8782, Accuracy: 0.8763, Recall: 0.8918, Specificity: 0.8608, Precision: 0.8650, MCC: 0.7529
Epoch: 05, Train Loss: 0.3443, Valid Loss: 0.3219, Train AUC: 0.9259, Valid AUC: 0.9331, AUPR: 0.9461, F1 score: 0.8772, Accuracy: 0.8737, Recall: 0.9021, Specificity: 0.8454, Precision: 0.8537, MCC: 0.7486
Epoch: 06, Train Loss: 0.3476, Valid Loss: 0.3177, Train AUC: 0.9254, Valid AUC: 0.9305, AUPR: 0.9444, F1 score: 0.8763, Accuracy: 0.8763, Recall: 0.8763, Specificity: 0.8763, Precision: 0.8763, MCC: 0.7526
Epoch: 07, Train Loss: 0.3404, Valid Loss: 0.3351, Train AUC: 0.9283, Valid AUC: 0.9317, AUPR: 0.9457, F1 score: 0.8727, Accuracy: 0.8737, Recall: 0.8660, Specificity: 0.8814, Precision: 0.8796, MCC: 0.7475
Epoch: 08, Train Loss: 0.3355, Valid Loss: 0.3244, Train AUC: 0.9284, Valid AUC: 0.9306, AUPR: 0.9435, F1 score: 0.8744, Accuracy: 0.8711, Recall: 0.8969, Specificity: 0.8454, Precision: 0.8529, MCC: 0.7433
Epoch: 09, Train Loss: 0.3389, Valid Loss: 0.3203, Train AUC: 0.9288, Valid AUC: 0.9309, AUPR: 0.9441, F1 score: 0.8715, Accuracy: 0.8686, Recall: 0.8918, Specificity: 0.8454, Precision: 0.8522, MCC: 0.7379
Epoch: 10, Train Loss: 0.3402, Valid Loss: 0.3196, Train AUC: 0.9273, Valid AUC: 0.9317, AUPR: 0.9458, F1 score: 0.8744, Accuracy: 0.8711, Recall: 0.8969, Specificity: 0.8454, Precision: 0.8529, MCC: 0.7433
Epoch: 11, Train Loss: 0.3367, Valid Loss: 0.3199, Train AUC: 0.9286, Valid AUC: 0.9348, AUPR: 0.9476, F1 score: 0.8788, Accuracy: 0.8763, Recall: 0.8969, Specificity: 0.8557, Precision: 0.8614, MCC: 0.7532
Epoch: 12, Train Loss: 0.3407, Valid Loss: 0.3137, Train AUC: 0.9259, Valid AUC: 0.9331, AUPR: 0.9463, F1 score: 0.8715, Accuracy: 0.8686, Recall: 0.8918, Specificity: 0.8454, Precision: 0.8522, MCC: 0.7379
Epoch: 13, Train Loss: 0.3320, Valid Loss: 0.3179, Train AUC: 0.9301, Valid AUC: 0.9327, AUPR: 0.9459, F1 score: 0.8747, Accuracy: 0.8737, Recall: 0.8814, Specificity: 0.8660, Precision: 0.8680, MCC: 0.7475
Epoch: 14, Train Loss: 0.3349, Valid Loss: 0.3155, Train AUC: 0.9297, Valid AUC: 0.9340, AUPR: 0.9473, F1 score: 0.8724, Accuracy: 0.8711, Recall: 0.8814, Specificity: 0.8608, Precision: 0.8636, MCC: 0.7424
Epoch: 15, Train Loss: 0.3349, Valid Loss: 0.3181, Train AUC: 0.9281, Valid AUC: 0.9347, AUPR: 0.9482, F1 score: 0.8734, Accuracy: 0.8737, Recall: 0.8711, Specificity: 0.8763, Precision: 0.8756, MCC: 0.7474
Epoch: 16, Train Loss: 0.3332, Valid Loss: 0.3129, Train AUC: 0.9302, Valid AUC: 0.9344, AUPR: 0.9474, F1 score: 0.8747, Accuracy: 0.8737, Recall: 0.8814, Specificity: 0.8660, Precision: 0.8680, MCC: 0.7475
Epoch: 17, Train Loss: 0.3341, Valid Loss: 0.3221, Train AUC: 0.9288, Valid AUC: 0.9309, AUPR: 0.9438, F1 score: 0.8715, Accuracy: 0.8686, Recall: 0.8918, Specificity: 0.8454, Precision: 0.8522, MCC: 0.7379
Epoch: 18, Train Loss: 0.3303, Valid Loss: 0.3306, Train AUC: 0.9314, Valid AUC: 0.9328, AUPR: 0.9459, F1 score: 0.8714, Accuracy: 0.8737, Recall: 0.8557, Specificity: 0.8918, Precision: 0.8877, MCC: 0.7479
Epoch: 19, Train Loss: 0.3357, Valid Loss: 0.3153, Train AUC: 0.9269, Valid AUC: 0.9336, AUPR: 0.9467, F1 score: 0.8788, Accuracy: 0.8763, Recall: 0.8969, Specificity: 0.8557, Precision: 0.8614, MCC: 0.7532
Epoch: 20, Train Loss: 0.3328, Valid Loss: 0.3168, Train AUC: 0.9287, Valid AUC: 0.9334, AUPR: 0.9466, F1 score: 0.8753, Accuracy: 0.8737, Recall: 0.8866, Specificity: 0.8608, Precision: 0.8643, MCC: 0.7477
Epoch: 21, Train Loss: 0.3298, Valid Loss: 0.3176, Train AUC: 0.9296, Valid AUC: 0.9319, AUPR: 0.9447, F1 score: 0.8750, Accuracy: 0.8711, Recall: 0.9021, Specificity: 0.8402, Precision: 0.8495, MCC: 0.7437
Epoch: 22, Train Loss: 0.3297, Valid Loss: 0.3177, Train AUC: 0.9305, Valid AUC: 0.9333, AUPR: 0.9464, F1 score: 0.8788, Accuracy: 0.8763, Recall: 0.8969, Specificity: 0.8557, Precision: 0.8614, MCC: 0.7532
Epoch: 23, Train Loss: 0.3314, Valid Loss: 0.3237, Train AUC: 0.9298, Valid AUC: 0.9343, AUPR: 0.9472, F1 score: 0.8727, Accuracy: 0.8737, Recall: 0.8660, Specificity: 0.8814, Precision: 0.8796, MCC: 0.7475
Epoch: 24, Train Loss: 0.3361, Valid Loss: 0.3160, Train AUC: 0.9278, Valid AUC: 0.9333, AUPR: 0.9465, F1 score: 0.8772, Accuracy: 0.8737, Recall: 0.9021, Specificity: 0.8454, Precision: 0.8537, MCC: 0.7486
Epoch: 25, Train Loss: 0.3328, Valid Loss: 0.3188, Train AUC: 0.9281, Valid AUC: 0.9322, AUPR: 0.9454, F1 score: 0.8816, Accuracy: 0.8789, Recall: 0.9021, Specificity: 0.8557, Precision: 0.8621, MCC: 0.7585
Epoch: 26, Train Loss: 0.3311, Valid Loss: 0.3164, Train AUC: 0.9300, Valid AUC: 0.9330, AUPR: 0.9465, F1 score: 0.8788, Accuracy: 0.8763, Recall: 0.8969, Specificity: 0.8557, Precision: 0.8614, MCC: 0.7532
Epoch: 27, Train Loss: 0.3335, Valid Loss: 0.3153, Train AUC: 0.9283, Valid AUC: 0.9340, AUPR: 0.9470, F1 score: 0.8753, Accuracy: 0.8737, Recall: 0.8866, Specificity: 0.8608, Precision: 0.8643, MCC: 0.7477
Epoch: 28, Train Loss: 0.3335, Valid Loss: 0.3192, Train AUC: 0.9287, Valid AUC: 0.9334, AUPR: 0.9466, F1 score: 0.8772, Accuracy: 0.8737, Recall: 0.9021, Specificity: 0.8454, Precision: 0.8537, MCC: 0.7486
Epoch: 29, Train Loss: 0.3320, Valid Loss: 0.3167, Train AUC: 0.9289, Valid AUC: 0.9336, AUPR: 0.9465, F1 score: 0.8747, Accuracy: 0.8737, Recall: 0.8814, Specificity: 0.8660, Precision: 0.8680, MCC: 0.7475
Epoch: 30, Train Loss: 0.3295, Valid Loss: 0.3178, Train AUC: 0.9299, Valid AUC: 0.9333, AUPR: 0.9468, F1 score: 0.8747, Accuracy: 0.8737, Recall: 0.8814, Specificity: 0.8660, Precision: 0.8680, MCC: 0.7475
Epoch: 31, Train Loss: 0.3366, Valid Loss: 0.3181, Train AUC: 0.9278, Valid AUC: 0.9332, AUPR: 0.9466, F1 score: 0.8753, Accuracy: 0.8737, Recall: 0.8866, Specificity: 0.8608, Precision: 0.8643, MCC: 0.7477
Epoch: 32, Train Loss: 0.3325, Valid Loss: 0.3300, Train AUC: 0.9289, Valid AUC: 0.9328, AUPR: 0.9460, F1 score: 0.8788, Accuracy: 0.8763, Recall: 0.8969, Specificity: 0.8557, Precision: 0.8614, MCC: 0.7532
Epoch: 33, Train Loss: 0.3342, Valid Loss: 0.3364, Train AUC: 0.9294, Valid AUC: 0.9323, AUPR: 0.9450, F1 score: 0.8756, Accuracy: 0.8763, Recall: 0.8711, Specificity: 0.8814, Precision: 0.8802, MCC: 0.7526
Epoch: 34, Train Loss: 0.3343, Valid Loss: 0.3193, Train AUC: 0.9282, Valid AUC: 0.9322, AUPR: 0.9453, F1 score: 0.8756, Accuracy: 0.8711, Recall: 0.9072, Specificity: 0.8351, Precision: 0.8462, MCC: 0.7442
Epoch: 35, Train Loss: 0.3290, Valid Loss: 0.3142, Train AUC: 0.9296, Valid AUC: 0.9323, AUPR: 0.9457, F1 score: 0.8750, Accuracy: 0.8711, Recall: 0.9021, Specificity: 0.8402, Precision: 0.8495, MCC: 0.7437
Epoch: 36, Train Loss: 0.3339, Valid Loss: 0.3238, Train AUC: 0.9274, Valid AUC: 0.9324, AUPR: 0.9455, F1 score: 0.8756, Accuracy: 0.8711, Recall: 0.9072, Specificity: 0.8351, Precision: 0.8462, MCC: 0.7442
Epoch: 37, Train Loss: 0.3350, Valid Loss: 0.3169, Train AUC: 0.9303, Valid AUC: 0.9327, AUPR: 0.9459, F1 score: 0.8782, Accuracy: 0.8763, Recall: 0.8918, Specificity: 0.8608, Precision: 0.8650, MCC: 0.7529
