python C:/Users/Administrator/Desktop/NSGNN/link_pred.py --dataset f_data --epochs 100 --use_feature
Epoch: 01, Train Loss: 0.4043, Valid Loss: 0.3456, Train AUC: 0.9059, Valid AUC: 0.9340, AUPR: 0.9482, F1 score: 0.8753, Accuracy: 0.8737, Recall: 0.8866, Specificity: 0.8608, Precision: 0.8643, MCC: 0.7477
Epoch: 02, Train Loss: 0.3570, Valid Loss: 0.3438, Train AUC: 0.9222, Valid AUC: 0.9335, AUPR: 0.9469, F1 score: 0.8744, Accuracy: 0.8711, Recall: 0.8969, Specificity: 0.8454, Precision: 0.8529, MCC: 0.7433
Epoch: 03, Train Loss: 0.3505, Valid Loss: 0.3290, Train AUC: 0.9265, Valid AUC: 0.9327, AUPR: 0.9458, F1 score: 0.8721, Accuracy: 0.8737, Recall: 0.8608, Specificity: 0.8866, Precision: 0.8836, MCC: 0.7477
Epoch: 04, Train Loss: 0.3417, Valid Loss: 0.3138, Train AUC: 0.9279, Valid AUC: 0.9366, AUPR: 0.9494, F1 score: 0.8782, Accuracy: 0.8763, Recall: 0.8918, Specificity: 0.8608, Precision: 0.8650, MCC: 0.7529
Epoch: 05, Train Loss: 0.3397, Valid Loss: 0.3265, Train AUC: 0.9297, Valid AUC: 0.9360, AUPR: 0.9494, F1 score: 0.8794, Accuracy: 0.8840, Recall: 0.8454, Specificity: 0.9227, Precision: 0.9162, MCC: 0.7703
Epoch: 06, Train Loss: 0.3360, Valid Loss: 0.3117, Train AUC: 0.9312, Valid AUC: 0.9335, AUPR: 0.9484, F1 score: 0.8806, Accuracy: 0.8840, Recall: 0.8557, Specificity: 0.9124, Precision: 0.9071, MCC: 0.7693
Epoch: 07, Train Loss: 0.3330, Valid Loss: 0.3280, Train AUC: 0.9309, Valid AUC: 0.9376, AUPR: 0.9500, F1 score: 0.8776, Accuracy: 0.8763, Recall: 0.8866, Specificity: 0.8660, Precision: 0.8687, MCC: 0.7527
Epoch: 08, Train Loss: 0.3229, Valid Loss: 0.3128, Train AUC: 0.9355, Valid AUC: 0.9352, AUPR: 0.9483, F1 score: 0.8728, Accuracy: 0.8686, Recall: 0.9021, Specificity: 0.8351, Precision: 0.8454, MCC: 0.7388
Epoch: 09, Train Loss: 0.3280, Valid Loss: 0.3497, Train AUC: 0.9345, Valid AUC: 0.9370, AUPR: 0.9512, F1 score: 0.8835, Accuracy: 0.8892, Recall: 0.8402, Specificity: 0.9381, Precision: 0.9314, MCC: 0.7821
Epoch: 10, Train Loss: 0.3271, Valid Loss: 0.3110, Train AUC: 0.9347, Valid AUC: 0.9379, AUPR: 0.9490, F1 score: 0.8804, Accuracy: 0.8789, Recall: 0.8918, Specificity: 0.8660, Precision: 0.8693, MCC: 0.7580
Epoch: 11, Train Loss: 0.3219, Valid Loss: 0.3241, Train AUC: 0.9350, Valid AUC: 0.9407, AUPR: 0.9526, F1 score: 0.8906, Accuracy: 0.8918, Recall: 0.8814, Specificity: 0.9021, Precision: 0.9000, MCC: 0.7837
Epoch: 12, Train Loss: 0.3160, Valid Loss: 0.3077, Train AUC: 0.9370, Valid AUC: 0.9415, AUPR: 0.9514, F1 score: 0.8841, Accuracy: 0.8892, Recall: 0.8454, Specificity: 0.9330, Precision: 0.9266, MCC: 0.7814
Epoch: 13, Train Loss: 0.3125, Valid Loss: 0.3026, Train AUC: 0.9388, Valid AUC: 0.9446, AUPR: 0.9558, F1 score: 0.8832, Accuracy: 0.8814, Recall: 0.8969, Specificity: 0.8660, Precision: 0.8700, MCC: 0.7633
Epoch: 14, Train Loss: 0.3175, Valid Loss: 0.3022, Train AUC: 0.9361, Valid AUC: 0.9447, AUPR: 0.9553, F1 score: 0.8877, Accuracy: 0.8892, Recall: 0.8763, Specificity: 0.9021, Precision: 0.8995, MCC: 0.7786
Epoch: 15, Train Loss: 0.3143, Valid Loss: 0.3042, Train AUC: 0.9376, Valid AUC: 0.9445, AUPR: 0.9568, F1 score: 0.8954, Accuracy: 0.8995, Recall: 0.8608, Specificity: 0.9381, Precision: 0.9330, MCC: 0.8014
Epoch: 16, Train Loss: 0.3070, Valid Loss: 0.3045, Train AUC: 0.9412, Valid AUC: 0.9459, AUPR: 0.9568, F1 score: 0.8995, Accuracy: 0.9021, Recall: 0.8763, Specificity: 0.9278, Precision: 0.9239, MCC: 0.8052
Epoch: 17, Train Loss: 0.3091, Valid Loss: 0.3608, Train AUC: 0.9403, Valid AUC: 0.9368, AUPR: 0.9484, F1 score: 0.8713, Accuracy: 0.8660, Recall: 0.9072, Specificity: 0.8247, Precision: 0.8381, MCC: 0.7345
Epoch: 18, Train Loss: 0.3064, Valid Loss: 0.3090, Train AUC: 0.9424, Valid AUC: 0.9405, AUPR: 0.9508, F1 score: 0.8768, Accuracy: 0.8711, Recall: 0.9175, Specificity: 0.8247, Precision: 0.8396, MCC: 0.7455
Epoch: 19, Train Loss: 0.2998, Valid Loss: 0.3023, Train AUC: 0.9449, Valid AUC: 0.9463, AUPR: 0.9561, F1 score: 0.8859, Accuracy: 0.8918, Recall: 0.8402, Specificity: 0.9433, Precision: 0.9368, MCC: 0.7877
Epoch: 20, Train Loss: 0.3050, Valid Loss: 0.2966, Train AUC: 0.9411, Valid AUC: 0.9471, AUPR: 0.9583, F1 score: 0.8901, Accuracy: 0.8943, Recall: 0.8557, Specificity: 0.9330, Precision: 0.9274, MCC: 0.7910
Epoch: 21, Train Loss: 0.2954, Valid Loss: 0.3074, Train AUC: 0.9451, Valid AUC: 0.9452, AUPR: 0.9570, F1 score: 0.8907, Accuracy: 0.8943, Recall: 0.8608, Specificity: 0.9278, Precision: 0.9227, MCC: 0.7904
Epoch: 22, Train Loss: 0.3006, Valid Loss: 0.3054, Train AUC: 0.9454, Valid AUC: 0.9414, AUPR: 0.9533, F1 score: 0.8835, Accuracy: 0.8892, Recall: 0.8402, Specificity: 0.9381, Precision: 0.9314, MCC: 0.7821
Epoch: 23, Train Loss: 0.2970, Valid Loss: 0.2964, Train AUC: 0.9456, Valid AUC: 0.9455, AUPR: 0.9568, F1 score: 0.8901, Accuracy: 0.8943, Recall: 0.8557, Specificity: 0.9330, Precision: 0.9274, MCC: 0.7910
Epoch: 24, Train Loss: 0.2975, Valid Loss: 0.3013, Train AUC: 0.9459, Valid AUC: 0.9458, AUPR: 0.9560, F1 score: 0.8787, Accuracy: 0.8840, Recall: 0.8402, Specificity: 0.9278, Precision: 0.9209, MCC: 0.7710
Epoch: 25, Train Loss: 0.2876, Valid Loss: 0.3139, Train AUC: 0.9493, Valid AUC: 0.9457, AUPR: 0.9568, F1 score: 0.8853, Accuracy: 0.8892, Recall: 0.8557, Specificity: 0.9227, Precision: 0.9171, MCC: 0.7801
Epoch: 26, Train Loss: 0.2945, Valid Loss: 0.2928, Train AUC: 0.9465, Valid AUC: 0.9472, AUPR: 0.9583, F1 score: 0.8937, Accuracy: 0.8995, Recall: 0.8454, Specificity: 0.9536, Precision: 0.9480, MCC: 0.8037
Epoch: 27, Train Loss: 0.2835, Valid Loss: 0.2899, Train AUC: 0.9502, Valid AUC: 0.9509, AUPR: 0.9599, F1 score: 0.8943, Accuracy: 0.8995, Recall: 0.8505, Specificity: 0.9485, Precision: 0.9429, MCC: 0.8028
Epoch: 28, Train Loss: 0.2895, Valid Loss: 0.2952, Train AUC: 0.9477, Valid AUC: 0.9443, AUPR: 0.9559, F1 score: 0.8883, Accuracy: 0.8943, Recall: 0.8402, Specificity: 0.9485, Precision: 0.9422, MCC: 0.7933
Epoch: 29, Train Loss: 0.2911, Valid Loss: 0.3315, Train AUC: 0.9486, Valid AUC: 0.9404, AUPR: 0.9527, F1 score: 0.8810, Accuracy: 0.8789, Recall: 0.8969, Specificity: 0.8608, Precision: 0.8657, MCC: 0.7582
Epoch: 30, Train Loss: 0.2876, Valid Loss: 0.2917, Train AUC: 0.9478, Valid AUC: 0.9457, AUPR: 0.9585, F1 score: 0.8919, Accuracy: 0.8969, Recall: 0.8505, Specificity: 0.9433, Precision: 0.9375, MCC: 0.7973
Epoch: 31, Train Loss: 0.2843, Valid Loss: 0.3172, Train AUC: 0.9506, Valid AUC: 0.9380, AUPR: 0.9519, F1 score: 0.8854, Accuracy: 0.8866, Recall: 0.8763, Specificity: 0.8969, Precision: 0.8947, MCC: 0.7734
