python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset l_data --num_hops 1 --epochs 100 --model GCN --batch_size 32 --use_feature
Epoch: 01, Train Loss: 0.4557, Valid Loss: 0.3909, Train AUC: 0.8671, Valid AUC: 0.9021, AUPR: 0.9190, F1 score: 0.8631, Accuracy: 0.8595, Recall: 0.8856, Specificity: 0.8333, Precision: 0.8416, MCC: 0.7199
Epoch: 02, Train Loss: 0.3963, Valid Loss: 0.3667, Train AUC: 0.8982, Valid AUC: 0.9125, AUPR: 0.9248, F1 score: 0.8669, Accuracy: 0.8660, Recall: 0.8725, Specificity: 0.8595, Precision: 0.8613, MCC: 0.7321
Epoch: 03, Train Loss: 0.3718, Valid Loss: 0.3782, Train AUC: 0.9108, Valid AUC: 0.9189, AUPR: 0.9263, F1 score: 0.8615, Accuracy: 0.8676, Recall: 0.8235, Specificity: 0.9118, Precision: 0.9032, MCC: 0.7382
Epoch: 04, Train Loss: 0.3581, Valid Loss: 0.3607, Train AUC: 0.9187, Valid AUC: 0.9269, AUPR: 0.9328, F1 score: 0.8636, Accuracy: 0.8709, Recall: 0.8170, Specificity: 0.9248, Precision: 0.9158, MCC: 0.7462
Epoch: 05, Train Loss: 0.3477, Valid Loss: 0.3616, Train AUC: 0.9229, Valid AUC: 0.9242, AUPR: 0.9314, F1 score: 0.8684, Accuracy: 0.8693, Recall: 0.8627, Specificity: 0.8758, Precision: 0.8742, MCC: 0.7386
Epoch: 06, Train Loss: 0.3411, Valid Loss: 0.3539, Train AUC: 0.9268, Valid AUC: 0.9290, AUPR: 0.9318, F1 score: 0.8644, Accuracy: 0.8611, Recall: 0.8856, Specificity: 0.8366, Precision: 0.8442, MCC: 0.7231
Epoch: 07, Train Loss: 0.3311, Valid Loss: 0.3546, Train AUC: 0.9312, Valid AUC: 0.9259, AUPR: 0.9312, F1 score: 0.8710, Accuracy: 0.8742, Recall: 0.8497, Specificity: 0.8987, Precision: 0.8935, MCC: 0.7493
Epoch: 08, Train Loss: 0.3244, Valid Loss: 0.3649, Train AUC: 0.9345, Valid AUC: 0.9206, AUPR: 0.9267, F1 score: 0.8703, Accuracy: 0.8758, Recall: 0.8333, Specificity: 0.9183, Precision: 0.9107, MCC: 0.7544
Epoch: 09, Train Loss: 0.3232, Valid Loss: 0.3635, Train AUC: 0.9336, Valid AUC: 0.9226, AUPR: 0.9312, F1 score: 0.8700, Accuracy: 0.8775, Recall: 0.8203, Specificity: 0.9346, Precision: 0.9262, MCC: 0.7599
Epoch: 10, Train Loss: 0.3134, Valid Loss: 0.3639, Train AUC: 0.9392, Valid AUC: 0.9199, AUPR: 0.9258, F1 score: 0.8601, Accuracy: 0.8676, Recall: 0.8137, Specificity: 0.9216, Precision: 0.9121, MCC: 0.7396
Epoch: 11, Train Loss: 0.3129, Valid Loss: 0.3838, Train AUC: 0.9396, Valid AUC: 0.9177, AUPR: 0.9296, F1 score: 0.8690, Accuracy: 0.8709, Recall: 0.8562, Specificity: 0.8856, Precision: 0.8822, MCC: 0.7422
Epoch: 12, Train Loss: 0.3028, Valid Loss: 0.3907, Train AUC: 0.9436, Valid AUC: 0.9163, AUPR: 0.9270, F1 score: 0.8699, Accuracy: 0.8758, Recall: 0.8301, Specificity: 0.9216, Precision: 0.9137, MCC: 0.7548
Epoch: 13, Train Loss: 0.3057, Valid Loss: 0.3910, Train AUC: 0.9424, Valid AUC: 0.9158, AUPR: 0.9268, F1 score: 0.8633, Accuracy: 0.8660, Recall: 0.8464, Specificity: 0.8856, Precision: 0.8810, MCC: 0.7326
Epoch: 14, Train Loss: 0.3060, Valid Loss: 0.3764, Train AUC: 0.9431, Valid AUC: 0.9174, AUPR: 0.9264, F1 score: 0.8638, Accuracy: 0.8660, Recall: 0.8497, Specificity: 0.8824, Precision: 0.8784, MCC: 0.7324
Epoch: 15, Train Loss: 0.2885, Valid Loss: 0.4041, Train AUC: 0.9492, Valid AUC: 0.9168, AUPR: 0.9254, F1 score: 0.8634, Accuracy: 0.8676, Recall: 0.8366, Specificity: 0.8987, Precision: 0.8920, MCC: 0.7367
Epoch: 16, Train Loss: 0.2861, Valid Loss: 0.4046, Train AUC: 0.9496, Valid AUC: 0.9162, AUPR: 0.9261, F1 score: 0.8680, Accuracy: 0.8693, Recall: 0.8595, Specificity: 0.8791, Precision: 0.8767, MCC: 0.7387
Epoch: 17, Train Loss: 0.2815, Valid Loss: 0.4077, Train AUC: 0.9517, Valid AUC: 0.9150, AUPR: 0.9226, F1 score: 0.8667, Accuracy: 0.8693, Recall: 0.8497, Specificity: 0.8889, Precision: 0.8844, MCC: 0.7391
Epoch: 18, Train Loss: 0.2815, Valid Loss: 0.4082, Train AUC: 0.9519, Valid AUC: 0.9105, AUPR: 0.9185, F1 score: 0.8590, Accuracy: 0.8611, Recall: 0.8464, Specificity: 0.8758, Precision: 0.8721, MCC: 0.7225
Epoch: 19, Train Loss: 0.2726, Valid Loss: 0.4062, Train AUC: 0.9542, Valid AUC: 0.9138, AUPR: 0.9205, F1 score: 0.8581, Accuracy: 0.8578, Recall: 0.8595, Specificity: 0.8562, Precision: 0.8567, MCC: 0.7157
Epoch: 20, Train Loss: 0.2689, Valid Loss: 0.4074, Train AUC: 0.9553, Valid AUC: 0.9110, AUPR: 0.9188, F1 score: 0.8719, Accuracy: 0.8742, Recall: 0.8562, Specificity: 0.8922, Precision: 0.8881, MCC: 0.7489
Epoch: 21, Train Loss: 0.2774, Valid Loss: 0.4163, Train AUC: 0.9534, Valid AUC: 0.9067, AUPR: 0.9179, F1 score: 0.8586, Accuracy: 0.8611, Recall: 0.8431, Specificity: 0.8791, Precision: 0.8746, MCC: 0.7227
Epoch: 22, Train Loss: 0.2629, Valid Loss: 0.4382, Train AUC: 0.9579, Valid AUC: 0.9110, AUPR: 0.9160, F1 score: 0.8502, Accuracy: 0.8595, Recall: 0.7974, Specificity: 0.9216, Precision: 0.9104, MCC: 0.7246
Epoch: 23, Train Loss: 0.2629, Valid Loss: 0.4370, Train AUC: 0.9583, Valid AUC: 0.9081, AUPR: 0.9115, F1 score: 0.8591, Accuracy: 0.8627, Recall: 0.8366, Specificity: 0.8889, Precision: 0.8828, MCC: 0.7265
Epoch: 24, Train Loss: 0.2608, Valid Loss: 0.4731, Train AUC: 0.9588, Valid AUC: 0.9029, AUPR: 0.9127, F1 score: 0.8434, Accuracy: 0.8513, Recall: 0.8007, Specificity: 0.9020, Precision: 0.8909, MCC: 0.7062
