python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset l_data --num_hops 1 --epochs 100 --model GCN --batch_size 32 --use_feature --hidden_channels 64
Epoch: 01, Train Loss: 0.4353, Valid Loss: 0.3932, Train AUC: 0.8810, Valid AUC: 0.9105, AUPR: 0.9210, F1 score: 0.8657, Accuracy: 0.8676, Recall: 0.8529, Specificity: 0.8824, Precision: 0.8788, MCC: 0.7356
Epoch: 02, Train Loss: 0.3741, Valid Loss: 0.3660, Train AUC: 0.9069, Valid AUC: 0.9201, AUPR: 0.9270, F1 score: 0.8696, Accuracy: 0.8676, Recall: 0.8824, Specificity: 0.8529, Precision: 0.8571, MCC: 0.7356
Epoch: 03, Train Loss: 0.3589, Valid Loss: 0.3599, Train AUC: 0.9157, Valid AUC: 0.9215, AUPR: 0.9264, F1 score: 0.8713, Accuracy: 0.8725, Recall: 0.8627, Specificity: 0.8824, Precision: 0.8800, MCC: 0.7452
Epoch: 04, Train Loss: 0.3410, Valid Loss: 0.3633, Train AUC: 0.9259, Valid AUC: 0.9247, AUPR: 0.9311, F1 score: 0.8716, Accuracy: 0.8758, Recall: 0.8431, Specificity: 0.9085, Precision: 0.9021, MCC: 0.7532
Epoch: 05, Train Loss: 0.3435, Valid Loss: 0.3512, Train AUC: 0.9243, Valid AUC: 0.9269, AUPR: 0.9284, F1 score: 0.8702, Accuracy: 0.8742, Recall: 0.8431, Specificity: 0.9052, Precision: 0.8990, MCC: 0.7498
Epoch: 06, Train Loss: 0.3346, Valid Loss: 0.3492, Train AUC: 0.9295, Valid AUC: 0.9324, AUPR: 0.9346, F1 score: 0.8781, Accuracy: 0.8807, Recall: 0.8595, Specificity: 0.9020, Precision: 0.8976, MCC: 0.7621
Epoch: 07, Train Loss: 0.3258, Valid Loss: 0.3503, Train AUC: 0.9332, Valid AUC: 0.9312, AUPR: 0.9277, F1 score: 0.8729, Accuracy: 0.8758, Recall: 0.8529, Specificity: 0.8987, Precision: 0.8938, MCC: 0.7524
Epoch: 08, Train Loss: 0.3187, Valid Loss: 0.3569, Train AUC: 0.9369, Valid AUC: 0.9278, AUPR: 0.9333, F1 score: 0.8727, Accuracy: 0.8775, Recall: 0.8399, Specificity: 0.9150, Precision: 0.9081, MCC: 0.7570
Epoch: 09, Train Loss: 0.3117, Valid Loss: 0.3521, Train AUC: 0.9397, Valid AUC: 0.9279, AUPR: 0.9291, F1 score: 0.8754, Accuracy: 0.8791, Recall: 0.8497, Specificity: 0.9085, Precision: 0.9028, MCC: 0.7595
Epoch: 10, Train Loss: 0.3065, Valid Loss: 0.3597, Train AUC: 0.9413, Valid AUC: 0.9237, AUPR: 0.9281, F1 score: 0.8681, Accuracy: 0.8758, Recall: 0.8170, Specificity: 0.9346, Precision: 0.9259, MCC: 0.7569
Epoch: 11, Train Loss: 0.3019, Valid Loss: 0.3908, Train AUC: 0.9439, Valid AUC: 0.9220, AUPR: 0.9301, F1 score: 0.8739, Accuracy: 0.8775, Recall: 0.8497, Specificity: 0.9052, Precision: 0.8997, MCC: 0.7561
Epoch: 12, Train Loss: 0.3022, Valid Loss: 0.3748, Train AUC: 0.9430, Valid AUC: 0.9249, AUPR: 0.9304, F1 score: 0.8707, Accuracy: 0.8758, Recall: 0.8366, Specificity: 0.9150, Precision: 0.9078, MCC: 0.7540
Epoch: 13, Train Loss: 0.2908, Valid Loss: 0.4243, Train AUC: 0.9475, Valid AUC: 0.9206, AUPR: 0.9259, F1 score: 0.8713, Accuracy: 0.8725, Recall: 0.8627, Specificity: 0.8824, Precision: 0.8800, MCC: 0.7452
Epoch: 14, Train Loss: 0.2856, Valid Loss: 0.3710, Train AUC: 0.9498, Valid AUC: 0.9225, AUPR: 0.9234, F1 score: 0.8710, Accuracy: 0.8742, Recall: 0.8497, Specificity: 0.8987, Precision: 0.8935, MCC: 0.7493
Epoch: 15, Train Loss: 0.2801, Valid Loss: 0.3953, Train AUC: 0.9514, Valid AUC: 0.9191, AUPR: 0.9210, F1 score: 0.8703, Accuracy: 0.8758, Recall: 0.8333, Specificity: 0.9183, Precision: 0.9107, MCC: 0.7544
Epoch: 16, Train Loss: 0.2783, Valid Loss: 0.4102, Train AUC: 0.9522, Valid AUC: 0.9217, AUPR: 0.9279, F1 score: 0.8722, Accuracy: 0.8775, Recall: 0.8366, Specificity: 0.9183, Precision: 0.9110, MCC: 0.7574
Epoch: 17, Train Loss: 0.2747, Valid Loss: 0.4324, Train AUC: 0.9535, Valid AUC: 0.9213, AUPR: 0.9276, F1 score: 0.8689, Accuracy: 0.8693, Recall: 0.8660, Specificity: 0.8725, Precision: 0.8717, MCC: 0.7386
Epoch: 18, Train Loss: 0.2698, Valid Loss: 0.3851, Train AUC: 0.9559, Valid AUC: 0.9228, AUPR: 0.9246, F1 score: 0.8733, Accuracy: 0.8758, Recall: 0.8562, Specificity: 0.8954, Precision: 0.8912, MCC: 0.7522
Epoch: 19, Train Loss: 0.2657, Valid Loss: 0.4308, Train AUC: 0.9567, Valid AUC: 0.9137, AUPR: 0.9207, F1 score: 0.8542, Accuracy: 0.8611, Recall: 0.8137, Specificity: 0.9085, Precision: 0.8989, MCC: 0.7255
Epoch: 20, Train Loss: 0.2619, Valid Loss: 0.4236, Train AUC: 0.9581, Valid AUC: 0.9152, AUPR: 0.9206, F1 score: 0.8600, Accuracy: 0.8627, Recall: 0.8431, Specificity: 0.8824, Precision: 0.8776, MCC: 0.7260
Epoch: 21, Train Loss: 0.2570, Valid Loss: 0.3737, Train AUC: 0.9599, Valid AUC: 0.9227, AUPR: 0.9245, F1 score: 0.8775, Accuracy: 0.8791, Recall: 0.8660, Specificity: 0.8922, Precision: 0.8893, MCC: 0.7584
Epoch: 22, Train Loss: 0.2567, Valid Loss: 0.4532, Train AUC: 0.9589, Valid AUC: 0.9117, AUPR: 0.9165, F1 score: 0.8576, Accuracy: 0.8595, Recall: 0.8464, Specificity: 0.8725, Precision: 0.8691, MCC: 0.7192
Epoch: 23, Train Loss: 0.2499, Valid Loss: 0.3944, Train AUC: 0.9620, Valid AUC: 0.9222, AUPR: 0.9227, F1 score: 0.8701, Accuracy: 0.8693, Recall: 0.8758, Specificity: 0.8627, Precision: 0.8645, MCC: 0.7386
Epoch: 24, Train Loss: 0.2478, Valid Loss: 0.4263, Train AUC: 0.9623, Valid AUC: 0.9163, AUPR: 0.9216, F1 score: 0.8590, Accuracy: 0.8562, Recall: 0.8758, Specificity: 0.8366, Precision: 0.8428, MCC: 0.7130
Epoch: 25, Train Loss: 0.2469, Valid Loss: 0.4501, Train AUC: 0.9630, Valid AUC: 0.9146, AUPR: 0.9167, F1 score: 0.8694, Accuracy: 0.8709, Recall: 0.8595, Specificity: 0.8824, Precision: 0.8796, MCC: 0.7420
Epoch: 26, Train Loss: 0.2460, Valid Loss: 0.4341, Train AUC: 0.9632, Valid AUC: 0.9124, AUPR: 0.9171, F1 score: 0.8571, Accuracy: 0.8595, Recall: 0.8431, Specificity: 0.8758, Precision: 0.8716, MCC: 0.7193
Epoch: 27, Train Loss: 0.2415, Valid Loss: 0.4490, Train AUC: 0.9646, Valid AUC: 0.9055, AUPR: 0.9123, F1 score: 0.8576, Accuracy: 0.8627, Recall: 0.8268, Specificity: 0.8987, Precision: 0.8908, MCC: 0.7274
Epoch: 28, Train Loss: 0.2304, Valid Loss: 0.5248, Train AUC: 0.9677, Valid AUC: 0.9074, AUPR: 0.9154, F1 score: 0.8533, Accuracy: 0.8578, Recall: 0.8268, Specificity: 0.8889, Precision: 0.8815, MCC: 0.7171
Epoch: 29, Train Loss: 0.2346, Valid Loss: 0.4534, Train AUC: 0.9666, Valid AUC: 0.9128, AUPR: 0.9118, F1 score: 0.8538, Accuracy: 0.8578, Recall: 0.8301, Specificity: 0.8856, Precision: 0.8789, MCC: 0.7168
Epoch: 30, Train Loss: 0.2336, Valid Loss: 0.4055, Train AUC: 0.9670, Valid AUC: 0.9238, AUPR: 0.9209, F1 score: 0.8632, Accuracy: 0.8627, Recall: 0.8660, Specificity: 0.8595, Precision: 0.8604, MCC: 0.7255
Epoch: 31, Train Loss: 0.2298, Valid Loss: 0.4653, Train AUC: 0.9683, Valid AUC: 0.9112, AUPR: 0.9093, F1 score: 0.8513, Accuracy: 0.8578, Recall: 0.8137, Specificity: 0.9020, Precision: 0.8925, MCC: 0.7185
Epoch: 32, Train Loss: 0.2217, Valid Loss: 0.4594, Train AUC: 0.9702, Valid AUC: 0.9129, AUPR: 0.9115, F1 score: 0.8621, Accuracy: 0.8693, Recall: 0.8170, Specificity: 0.9216, Precision: 0.9124, MCC: 0.7426
Epoch: 33, Train Loss: 0.2168, Valid Loss: 0.4316, Train AUC: 0.9716, Valid AUC: 0.9204, AUPR: 0.9155, F1 score: 0.8581, Accuracy: 0.8676, Recall: 0.8007, Specificity: 0.9346, Precision: 0.9245, MCC: 0.7420
Epoch: 34, Train Loss: 0.2232, Valid Loss: 0.4871, Train AUC: 0.9696, Valid AUC: 0.9125, AUPR: 0.9211, F1 score: 0.8586, Accuracy: 0.8611, Recall: 0.8431, Specificity: 0.8791, Precision: 0.8746, MCC: 0.7227
Epoch: 35, Train Loss: 0.2110, Valid Loss: 0.5134, Train AUC: 0.9734, Valid AUC: 0.9097, AUPR: 0.9097, F1 score: 0.8494, Accuracy: 0.8546, Recall: 0.8203, Specificity: 0.8889, Precision: 0.8807, MCC: 0.7108
Epoch: 36, Train Loss: 0.2079, Valid Loss: 0.5298, Train AUC: 0.9740, Valid AUC: 0.9029, AUPR: 0.8941, F1 score: 0.8463, Accuracy: 0.8480, Recall: 0.8366, Specificity: 0.8595, Precision: 0.8562, MCC: 0.6963
Epoch: 37, Train Loss: 0.2159, Valid Loss: 0.5100, Train AUC: 0.9718, Valid AUC: 0.9130, AUPR: 0.9107, F1 score: 0.8505, Accuracy: 0.8529, Recall: 0.8366, Specificity: 0.8693, Precision: 0.8649, MCC: 0.7063
Epoch: 38, Train Loss: 0.2070, Valid Loss: 0.5031, Train AUC: 0.9744, Valid AUC: 0.9086, AUPR: 0.9084, F1 score: 0.8547, Accuracy: 0.8627, Recall: 0.8072, Specificity: 0.9183, Precision: 0.9081, MCC: 0.7300
Epoch: 39, Train Loss: 0.2039, Valid Loss: 0.4928, Train AUC: 0.9747, Valid AUC: 0.9100, AUPR: 0.9095, F1 score: 0.8493, Accuracy: 0.8480, Recall: 0.8562, Specificity: 0.8399, Precision: 0.8424, MCC: 0.6962
Epoch: 40, Train Loss: 0.2091, Valid Loss: 0.5037, Train AUC: 0.9735, Valid AUC: 0.9072, AUPR: 0.9063, F1 score: 0.8443, Accuracy: 0.8529, Recall: 0.7974, Specificity: 0.9085, Precision: 0.8971, MCC: 0.7103
Epoch: 41, Train Loss: 0.2108, Valid Loss: 0.4102, Train AUC: 0.9735, Valid AUC: 0.9279, AUPR: 0.9211, F1 score: 0.8684, Accuracy: 0.8693, Recall: 0.8627, Specificity: 0.8758, Precision: 0.8742, MCC: 0.7386
Epoch: 42, Train Loss: 0.2014, Valid Loss: 0.5449, Train AUC: 0.9753, Valid AUC: 0.9135, AUPR: 0.9127, F1 score: 0.8519, Accuracy: 0.8546, Recall: 0.8366, Specificity: 0.8725, Precision: 0.8678, MCC: 0.7096
Epoch: 43, Train Loss: 0.1947, Valid Loss: 0.5037, Train AUC: 0.9772, Valid AUC: 0.9156, AUPR: 0.9085, F1 score: 0.8515, Accuracy: 0.8513, Recall: 0.8529, Specificity: 0.8497, Precision: 0.8502, MCC: 0.7026
Epoch: 44, Train Loss: 0.2025, Valid Loss: 0.4921, Train AUC: 0.9756, Valid AUC: 0.9070, AUPR: 0.9093, F1 score: 0.8419, Accuracy: 0.8497, Recall: 0.8007, Specificity: 0.8987, Precision: 0.8877, MCC: 0.7027
Epoch: 45, Train Loss: 0.1950, Valid Loss: 0.5218, Train AUC: 0.9773, Valid AUC: 0.9061, AUPR: 0.9031, F1 score: 0.8485, Accuracy: 0.8529, Recall: 0.8235, Specificity: 0.8824, Precision: 0.8750, MCC: 0.7071
Epoch: 46, Train Loss: 0.1929, Valid Loss: 0.5422, Train AUC: 0.9778, Valid AUC: 0.9025, AUPR: 0.8893, F1 score: 0.8313, Accuracy: 0.8415, Recall: 0.7810, Specificity: 0.9020, Precision: 0.8885, MCC: 0.6881
Epoch: 47, Train Loss: 0.1905, Valid Loss: 0.6063, Train AUC: 0.9781, Valid AUC: 0.8968, AUPR: 0.8897, F1 score: 0.8339, Accuracy: 0.8464, Recall: 0.7712, Specificity: 0.9216, Precision: 0.9077, MCC: 0.7008
Epoch: 48, Train Loss: 0.1928, Valid Loss: 0.5006, Train AUC: 0.9774, Valid AUC: 0.9094, AUPR: 0.9058, F1 score: 0.8430, Accuracy: 0.8546, Recall: 0.7810, Specificity: 0.9281, Precision: 0.9157, MCC: 0.7169
Epoch: 49, Train Loss: 0.1882, Valid Loss: 0.5870, Train AUC: 0.9787, Valid AUC: 0.9019, AUPR: 0.8952, F1 score: 0.8408, Accuracy: 0.8546, Recall: 0.7680, Specificity: 0.9412, Precision: 0.9289, MCC: 0.7200
Epoch: 50, Train Loss: 0.1860, Valid Loss: 0.5925, Train AUC: 0.9793, Valid AUC: 0.9013, AUPR: 0.9006, F1 score: 0.8407, Accuracy: 0.8415, Recall: 0.8366, Specificity: 0.8464, Precision: 0.8449, MCC: 0.6830
Epoch: 51, Train Loss: 0.1875, Valid Loss: 0.5483, Train AUC: 0.9791, Valid AUC: 0.9061, AUPR: 0.9059, F1 score: 0.8399, Accuracy: 0.8529, Recall: 0.7712, Specificity: 0.9346, Precision: 0.9219, MCC: 0.7155
Epoch: 52, Train Loss: 0.1868, Valid Loss: 0.6597, Train AUC: 0.9788, Valid AUC: 0.9050, AUPR: 0.9136, F1 score: 0.8425, Accuracy: 0.8497, Recall: 0.8039, Specificity: 0.8954, Precision: 0.8849, MCC: 0.7023
Epoch: 53, Train Loss: 0.1793, Valid Loss: 0.6163, Train AUC: 0.9805, Valid AUC: 0.9008, AUPR: 0.9031, F1 score: 0.8473, Accuracy: 0.8546, Recall: 0.8072, Specificity: 0.9020, Precision: 0.8917, MCC: 0.7124
Epoch: 54, Train Loss: 0.1819, Valid Loss: 0.6461, Train AUC: 0.9802, Valid AUC: 0.8947, AUPR: 0.8911, F1 score: 0.8369, Accuracy: 0.8382, Recall: 0.8301, Specificity: 0.8464, Precision: 0.8439, MCC: 0.6766
Epoch: 55, Train Loss: 0.1800, Valid Loss: 0.6037, Train AUC: 0.9805, Valid AUC: 0.8967, AUPR: 0.8912, F1 score: 0.8352, Accuracy: 0.8317, Recall: 0.8529, Specificity: 0.8105, Precision: 0.8182, MCC: 0.6640
Epoch: 56, Train Loss: 0.1812, Valid Loss: 0.6299, Train AUC: 0.9804, Valid AUC: 0.8987, AUPR: 0.9008, F1 score: 0.8311, Accuracy: 0.8333, Recall: 0.8203, Specificity: 0.8464, Precision: 0.8423, MCC: 0.6669
Epoch: 57, Train Loss: 0.1744, Valid Loss: 0.6226, Train AUC: 0.9817, Valid AUC: 0.9019, AUPR: 0.8984, F1 score: 0.8421, Accuracy: 0.8382, Recall: 0.8627, Specificity: 0.8137, Precision: 0.8224, MCC: 0.6773
Epoch: 58, Train Loss: 0.1745, Valid Loss: 0.6480, Train AUC: 0.9815, Valid AUC: 0.8948, AUPR: 0.8945, F1 score: 0.8386, Accuracy: 0.8415, Recall: 0.8235, Specificity: 0.8595, Precision: 0.8542, MCC: 0.6834
Epoch: 59, Train Loss: 0.1706, Valid Loss: 0.6362, Train AUC: 0.9824, Valid AUC: 0.9035, AUPR: 0.9061, F1 score: 0.8409, Accuracy: 0.8448, Recall: 0.8203, Specificity: 0.8693, Precision: 0.8625, MCC: 0.6904
Epoch: 60, Train Loss: 0.1668, Valid Loss: 0.6521, Train AUC: 0.9831, Valid AUC: 0.8995, AUPR: 0.8950, F1 score: 0.8413, Accuracy: 0.8366, Recall: 0.8660, Specificity: 0.8072, Precision: 0.8179, MCC: 0.6744
Epoch: 61, Train Loss: 0.1736, Valid Loss: 0.6338, Train AUC: 0.9819, Valid AUC: 0.9024, AUPR: 0.9054, F1 score: 0.8425, Accuracy: 0.8546, Recall: 0.7778, Specificity: 0.9314, Precision: 0.9189, MCC: 0.7177
Epoch: 62, Train Loss: 0.1722, Valid Loss: 0.7313, Train AUC: 0.9821, Valid AUC: 0.9046, AUPR: 0.9076, F1 score: 0.8406, Accuracy: 0.8382, Recall: 0.8529, Specificity: 0.8235, Precision: 0.8286, MCC: 0.6768
Epoch: 63, Train Loss: 0.1734, Valid Loss: 0.5883, Train AUC: 0.9818, Valid AUC: 0.8985, AUPR: 0.8849, F1 score: 0.8374, Accuracy: 0.8350, Recall: 0.8497, Specificity: 0.8203, Precision: 0.8254, MCC: 0.6702
Epoch: 64, Train Loss: 0.1672, Valid Loss: 0.6839, Train AUC: 0.9832, Valid AUC: 0.9026, AUPR: 0.9062, F1 score: 0.8366, Accuracy: 0.8480, Recall: 0.7778, Specificity: 0.9183, Precision: 0.9049, MCC: 0.7031
Epoch: 65, Train Loss: 0.1714, Valid Loss: 0.7919, Train AUC: 0.9823, Valid AUC: 0.8933, AUPR: 0.9004, F1 score: 0.8310, Accuracy: 0.8431, Recall: 0.7712, Specificity: 0.9150, Precision: 0.9008, MCC: 0.6935
Epoch: 66, Train Loss: 0.1743, Valid Loss: 0.6796, Train AUC: 0.9817, Valid AUC: 0.8979, AUPR: 0.9053, F1 score: 0.8430, Accuracy: 0.8497, Recall: 0.8072, Specificity: 0.8922, Precision: 0.8821, MCC: 0.7019
Epoch: 67, Train Loss: 0.1799, Valid Loss: 0.6719, Train AUC: 0.9811, Valid AUC: 0.8981, AUPR: 0.8978, F1 score: 0.8372, Accuracy: 0.8399, Recall: 0.8235, Specificity: 0.8562, Precision: 0.8514, MCC: 0.6801
Epoch: 68, Train Loss: 0.1582, Valid Loss: 0.6602, Train AUC: 0.9850, Valid AUC: 0.8890, AUPR: 0.8901, F1 score: 0.8241, Accuracy: 0.8284, Recall: 0.8039, Specificity: 0.8529, Precision: 0.8454, MCC: 0.6577
Epoch: 69, Train Loss: 0.1623, Valid Loss: 0.7628, Train AUC: 0.9842, Valid AUC: 0.8935, AUPR: 0.9007, F1 score: 0.8228, Accuracy: 0.8170, Recall: 0.8497, Specificity: 0.7843, Precision: 0.7975, MCC: 0.6353
Epoch: 70, Train Loss: 0.1654, Valid Loss: 0.6988, Train AUC: 0.9835, Valid AUC: 0.8962, AUPR: 0.8944, F1 score: 0.8372, Accuracy: 0.8399, Recall: 0.8235, Specificity: 0.8562, Precision: 0.8514, MCC: 0.6801
Epoch: 71, Train Loss: 0.1626, Valid Loss: 0.7344, Train AUC: 0.9843, Valid AUC: 0.8942, AUPR: 0.8881, F1 score: 0.8284, Accuracy: 0.8382, Recall: 0.7810, Specificity: 0.8954, Precision: 0.8819, MCC: 0.6809
Epoch: 72, Train Loss: 0.1572, Valid Loss: 0.8906, Train AUC: 0.9850, Valid AUC: 0.8848, AUPR: 0.8943, F1 score: 0.8253, Accuracy: 0.8333, Recall: 0.7876, Specificity: 0.8791, Precision: 0.8669, MCC: 0.6695
Epoch: 73, Train Loss: 0.1571, Valid Loss: 0.7271, Train AUC: 0.9852, Valid AUC: 0.8974, AUPR: 0.8959, F1 score: 0.8259, Accuracy: 0.8284, Recall: 0.8137, Specificity: 0.8431, Precision: 0.8384, MCC: 0.6571
Epoch: 74, Train Loss: 0.1615, Valid Loss: 0.7695, Train AUC: 0.9843, Valid AUC: 0.8935, AUPR: 0.8950, F1 score: 0.8339, Accuracy: 0.8366, Recall: 0.8203, Specificity: 0.8529, Precision: 0.8480, MCC: 0.6736
Epoch: 75, Train Loss: 0.1617, Valid Loss: 0.7831, Train AUC: 0.9843, Valid AUC: 0.8953, AUPR: 0.8997, F1 score: 0.8274, Accuracy: 0.8268, Recall: 0.8301, Specificity: 0.8235, Precision: 0.8247, MCC: 0.6536
Epoch: 76, Train Loss: 0.1572, Valid Loss: 0.7508, Train AUC: 0.9852, Valid AUC: 0.8876, AUPR: 0.8866, F1 score: 0.8284, Accuracy: 0.8301, Recall: 0.8203, Specificity: 0.8399, Precision: 0.8367, MCC: 0.6603
Epoch: 77, Train Loss: 0.1561, Valid Loss: 0.7622, Train AUC: 0.9852, Valid AUC: 0.8966, AUPR: 0.9008, F1 score: 0.8287, Accuracy: 0.8399, Recall: 0.7745, Specificity: 0.9052, Precision: 0.8910, MCC: 0.6856
Epoch: 78, Train Loss: 0.1566, Valid Loss: 0.8797, Train AUC: 0.9852, Valid AUC: 0.9003, AUPR: 0.9017, F1 score: 0.8421, Accuracy: 0.8431, Recall: 0.8366, Specificity: 0.8497, Precision: 0.8477, MCC: 0.6863
Epoch: 79, Train Loss: 0.1541, Valid Loss: 0.8321, Train AUC: 0.9857, Valid AUC: 0.8896, AUPR: 0.8988, F1 score: 0.8297, Accuracy: 0.8350, Recall: 0.8039, Specificity: 0.8660, Precision: 0.8571, MCC: 0.6712
Epoch: 80, Train Loss: 0.1608, Valid Loss: 0.7800, Train AUC: 0.9847, Valid AUC: 0.8889, AUPR: 0.8929, F1 score: 0.8228, Accuracy: 0.8170, Recall: 0.8497, Specificity: 0.7843, Precision: 0.7975, MCC: 0.6353
Epoch: 81, Train Loss: 0.1555, Valid Loss: 0.6950, Train AUC: 0.9855, Valid AUC: 0.8951, AUPR: 0.8959, F1 score: 0.8347, Accuracy: 0.8382, Recall: 0.8170, Specificity: 0.8595, Precision: 0.8532, MCC: 0.6771
