python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset l_data --num_hops 1 --epochs 100 --model GCN --batch_size 32 --use_feature --hidden_channels 256 --dropout 0.4
Epoch: 01, Train Loss: 0.3929, Valid Loss: 0.3681, Train AUC: 0.9037, Valid AUC: 0.9179, AUPR: 0.9273, F1 score: 0.8696, Accuracy: 0.8676, Recall: 0.8824, Specificity: 0.8529, Precision: 0.8571, MCC: 0.7356
Epoch: 02, Train Loss: 0.3605, Valid Loss: 0.3549, Train AUC: 0.9172, Valid AUC: 0.9234, AUPR: 0.9308, F1 score: 0.8655, Accuracy: 0.8644, Recall: 0.8725, Specificity: 0.8562, Precision: 0.8585, MCC: 0.7289
Epoch: 03, Train Loss: 0.3505, Valid Loss: 0.3990, Train AUC: 0.9227, Valid AUC: 0.9183, AUPR: 0.9259, F1 score: 0.8670, Accuracy: 0.8676, Recall: 0.8627, Specificity: 0.8725, Precision: 0.8713, MCC: 0.7353
Epoch: 04, Train Loss: 0.3402, Valid Loss: 0.3583, Train AUC: 0.9263, Valid AUC: 0.9241, AUPR: 0.9288, F1 score: 0.8730, Accuracy: 0.8725, Recall: 0.8758, Specificity: 0.8693, Precision: 0.8701, MCC: 0.7451
Epoch: 05, Train Loss: 0.3307, Valid Loss: 0.3551, Train AUC: 0.9309, Valid AUC: 0.9278, AUPR: 0.9338, F1 score: 0.8667, Accuracy: 0.8693, Recall: 0.8497, Specificity: 0.8889, Precision: 0.8844, MCC: 0.7391
Epoch: 06, Train Loss: 0.3277, Valid Loss: 0.3618, Train AUC: 0.9323, Valid AUC: 0.9165, AUPR: 0.9238, F1 score: 0.8713, Accuracy: 0.8725, Recall: 0.8627, Specificity: 0.8824, Precision: 0.8800, MCC: 0.7452
Epoch: 07, Train Loss: 0.3212, Valid Loss: 0.3742, Train AUC: 0.9359, Valid AUC: 0.9251, AUPR: 0.9266, F1 score: 0.8686, Accuracy: 0.8709, Recall: 0.8529, Specificity: 0.8889, Precision: 0.8847, MCC: 0.7423
Epoch: 08, Train Loss: 0.3172, Valid Loss: 0.3456, Train AUC: 0.9371, Valid AUC: 0.9304, AUPR: 0.9329, F1 score: 0.8758, Accuracy: 0.8791, Recall: 0.8529, Specificity: 0.9052, Precision: 0.9000, MCC: 0.7592
Epoch: 09, Train Loss: 0.3103, Valid Loss: 0.3486, Train AUC: 0.9400, Valid AUC: 0.9308, AUPR: 0.9319, F1 score: 0.8750, Accuracy: 0.8758, Recall: 0.8693, Specificity: 0.8824, Precision: 0.8808, MCC: 0.7517
Epoch: 10, Train Loss: 0.3036, Valid Loss: 0.3660, Train AUC: 0.9431, Valid AUC: 0.9303, AUPR: 0.9273, F1 score: 0.8727, Accuracy: 0.8742, Recall: 0.8627, Specificity: 0.8856, Precision: 0.8829, MCC: 0.7486
Epoch: 11, Train Loss: 0.2938, Valid Loss: 0.4118, Train AUC: 0.9471, Valid AUC: 0.9059, AUPR: 0.9130, F1 score: 0.8473, Accuracy: 0.8546, Recall: 0.8072, Specificity: 0.9020, Precision: 0.8917, MCC: 0.7124
Epoch: 12, Train Loss: 0.2910, Valid Loss: 0.3320, Train AUC: 0.9478, Valid AUC: 0.9357, AUPR: 0.9367, F1 score: 0.8742, Accuracy: 0.8725, Recall: 0.8856, Specificity: 0.8595, Precision: 0.8631, MCC: 0.7454
Epoch: 13, Train Loss: 0.2828, Valid Loss: 0.3543, Train AUC: 0.9509, Valid AUC: 0.9245, AUPR: 0.9244, F1 score: 0.8661, Accuracy: 0.8676, Recall: 0.8562, Specificity: 0.8791, Precision: 0.8763, MCC: 0.7355
Epoch: 14, Train Loss: 0.2709, Valid Loss: 0.3444, Train AUC: 0.9552, Valid AUC: 0.9300, AUPR: 0.9264, F1 score: 0.8702, Accuracy: 0.8742, Recall: 0.8431, Specificity: 0.9052, Precision: 0.8990, MCC: 0.7498
Epoch: 15, Train Loss: 0.2642, Valid Loss: 0.3698, Train AUC: 0.9575, Valid AUC: 0.9294, AUPR: 0.9303, F1 score: 0.8709, Accuracy: 0.8725, Recall: 0.8595, Specificity: 0.8856, Precision: 0.8826, MCC: 0.7454
Epoch: 16, Train Loss: 0.2577, Valid Loss: 0.4322, Train AUC: 0.9600, Valid AUC: 0.9249, AUPR: 0.9274, F1 score: 0.8689, Accuracy: 0.8693, Recall: 0.8660, Specificity: 0.8725, Precision: 0.8717, MCC: 0.7386
Epoch: 17, Train Loss: 0.2552, Valid Loss: 0.3958, Train AUC: 0.9612, Valid AUC: 0.9251, AUPR: 0.9245, F1 score: 0.8595, Accuracy: 0.8578, Recall: 0.8693, Specificity: 0.8464, Precision: 0.8498, MCC: 0.7159
Epoch: 18, Train Loss: 0.2459, Valid Loss: 0.3774, Train AUC: 0.9635, Valid AUC: 0.9287, AUPR: 0.9294, F1 score: 0.8716, Accuracy: 0.8758, Recall: 0.8431, Specificity: 0.9085, Precision: 0.9021, MCC: 0.7532
Epoch: 19, Train Loss: 0.2400, Valid Loss: 0.4037, Train AUC: 0.9652, Valid AUC: 0.9261, AUPR: 0.9272, F1 score: 0.8699, Accuracy: 0.8709, Recall: 0.8627, Specificity: 0.8791, Precision: 0.8771, MCC: 0.7419
Epoch: 20, Train Loss: 0.2374, Valid Loss: 0.4303, Train AUC: 0.9659, Valid AUC: 0.9220, AUPR: 0.9256, F1 score: 0.8715, Accuracy: 0.8742, Recall: 0.8529, Specificity: 0.8954, Precision: 0.8908, MCC: 0.7490
Epoch: 21, Train Loss: 0.2322, Valid Loss: 0.3652, Train AUC: 0.9674, Valid AUC: 0.9311, AUPR: 0.9268, F1 score: 0.8636, Accuracy: 0.8709, Recall: 0.8170, Specificity: 0.9248, Precision: 0.9158, MCC: 0.7462
Epoch: 22, Train Loss: 0.2254, Valid Loss: 0.3902, Train AUC: 0.9694, Valid AUC: 0.9198, AUPR: 0.9202, F1 score: 0.8682, Accuracy: 0.8725, Recall: 0.8399, Specificity: 0.9052, Precision: 0.8986, MCC: 0.7467
Epoch: 23, Train Loss: 0.2202, Valid Loss: 0.3979, Train AUC: 0.9707, Valid AUC: 0.9304, AUPR: 0.9330, F1 score: 0.8657, Accuracy: 0.8611, Recall: 0.8954, Specificity: 0.8268, Precision: 0.8379, MCC: 0.7239
Epoch: 24, Train Loss: 0.2145, Valid Loss: 0.4131, Train AUC: 0.9725, Valid AUC: 0.9211, AUPR: 0.9128, F1 score: 0.8637, Accuracy: 0.8644, Recall: 0.8595, Specificity: 0.8693, Precision: 0.8680, MCC: 0.7288
Epoch: 25, Train Loss: 0.2118, Valid Loss: 0.4442, Train AUC: 0.9730, Valid AUC: 0.9194, AUPR: 0.9242, F1 score: 0.8662, Accuracy: 0.8693, Recall: 0.8464, Specificity: 0.8922, Precision: 0.8870, MCC: 0.7393
Epoch: 26, Train Loss: 0.2024, Valid Loss: 0.4785, Train AUC: 0.9753, Valid AUC: 0.9261, AUPR: 0.9214, F1 score: 0.8651, Accuracy: 0.8660, Recall: 0.8595, Specificity: 0.8725, Precision: 0.8709, MCC: 0.7321
Epoch: 27, Train Loss: 0.1970, Valid Loss: 0.4453, Train AUC: 0.9765, Valid AUC: 0.9202, AUPR: 0.9153, F1 score: 0.8659, Accuracy: 0.8709, Recall: 0.8333, Specificity: 0.9085, Precision: 0.9011, MCC: 0.7439
Epoch: 28, Train Loss: 0.1922, Valid Loss: 0.4413, Train AUC: 0.9778, Valid AUC: 0.9242, AUPR: 0.9220, F1 score: 0.8670, Accuracy: 0.8676, Recall: 0.8627, Specificity: 0.8725, Precision: 0.8713, MCC: 0.7353
Epoch: 29, Train Loss: 0.1856, Valid Loss: 0.4567, Train AUC: 0.9793, Valid AUC: 0.9246, AUPR: 0.9222, F1 score: 0.8694, Accuracy: 0.8660, Recall: 0.8922, Specificity: 0.8399, Precision: 0.8478, MCC: 0.7330
Epoch: 30, Train Loss: 0.1858, Valid Loss: 0.4230, Train AUC: 0.9794, Valid AUC: 0.9290, AUPR: 0.9238, F1 score: 0.8748, Accuracy: 0.8775, Recall: 0.8562, Specificity: 0.8987, Precision: 0.8942, MCC: 0.7556
Epoch: 31, Train Loss: 0.1853, Valid Loss: 0.5105, Train AUC: 0.9794, Valid AUC: 0.9214, AUPR: 0.9195, F1 score: 0.8734, Accuracy: 0.8725, Recall: 0.8791, Specificity: 0.8660, Precision: 0.8677, MCC: 0.7452
Epoch: 32, Train Loss: 0.1756, Valid Loss: 0.4337, Train AUC: 0.9813, Valid AUC: 0.9297, AUPR: 0.9197, F1 score: 0.8791, Accuracy: 0.8791, Recall: 0.8791, Specificity: 0.8791, Precision: 0.8791, MCC: 0.7582
Epoch: 33, Train Loss: 0.1737, Valid Loss: 0.5032, Train AUC: 0.9819, Valid AUC: 0.9221, AUPR: 0.9163, F1 score: 0.8664, Accuracy: 0.8725, Recall: 0.8268, Specificity: 0.9183, Precision: 0.9101, MCC: 0.7482
Epoch: 34, Train Loss: 0.1710, Valid Loss: 0.4771, Train AUC: 0.9824, Valid AUC: 0.9230, AUPR: 0.9196, F1 score: 0.8748, Accuracy: 0.8742, Recall: 0.8791, Specificity: 0.8693, Precision: 0.8706, MCC: 0.7484
Epoch: 35, Train Loss: 0.1735, Valid Loss: 0.5005, Train AUC: 0.9821, Valid AUC: 0.9236, AUPR: 0.9216, F1 score: 0.8707, Accuracy: 0.8758, Recall: 0.8366, Specificity: 0.9150, Precision: 0.9078, MCC: 0.7540
Epoch: 36, Train Loss: 0.1612, Valid Loss: 0.6800, Train AUC: 0.9845, Valid AUC: 0.9142, AUPR: 0.9152, F1 score: 0.8614, Accuracy: 0.8627, Recall: 0.8529, Specificity: 0.8725, Precision: 0.8700, MCC: 0.7256
Epoch: 37, Train Loss: 0.1633, Valid Loss: 0.5392, Train AUC: 0.9840, Valid AUC: 0.9235, AUPR: 0.9228, F1 score: 0.8742, Accuracy: 0.8758, Recall: 0.8627, Specificity: 0.8889, Precision: 0.8859, MCC: 0.7519
Epoch: 38, Train Loss: 0.1521, Valid Loss: 0.6702, Train AUC: 0.9859, Valid AUC: 0.9074, AUPR: 0.9100, F1 score: 0.8591, Accuracy: 0.8644, Recall: 0.8268, Specificity: 0.9020, Precision: 0.8940, MCC: 0.7308
Epoch: 39, Train Loss: 0.1564, Valid Loss: 0.5685, Train AUC: 0.9854, Valid AUC: 0.9223, AUPR: 0.9151, F1 score: 0.8707, Accuracy: 0.8660, Recall: 0.9020, Specificity: 0.8301, Precision: 0.8415, MCC: 0.7339
Epoch: 40, Train Loss: 0.1477, Valid Loss: 0.5032, Train AUC: 0.9868, Valid AUC: 0.9254, AUPR: 0.9141, F1 score: 0.8775, Accuracy: 0.8791, Recall: 0.8660, Specificity: 0.8922, Precision: 0.8893, MCC: 0.7584
Epoch: 41, Train Loss: 0.1508, Valid Loss: 0.4697, Train AUC: 0.9867, Valid AUC: 0.9306, AUPR: 0.9256, F1 score: 0.8667, Accuracy: 0.8693, Recall: 0.8497, Specificity: 0.8889, Precision: 0.8844, MCC: 0.7391
Epoch: 42, Train Loss: 0.1528, Valid Loss: 0.6086, Train AUC: 0.9860, Valid AUC: 0.9241, AUPR: 0.9190, F1 score: 0.8766, Accuracy: 0.8758, Recall: 0.8824, Specificity: 0.8693, Precision: 0.8710, MCC: 0.7517
Epoch: 43, Train Loss: 0.1421, Valid Loss: 0.5247, Train AUC: 0.9879, Valid AUC: 0.9296, AUPR: 0.9227, F1 score: 0.8792, Accuracy: 0.8824, Recall: 0.8562, Specificity: 0.9085, Precision: 0.9034, MCC: 0.7658
Epoch: 44, Train Loss: 0.1390, Valid Loss: 0.6944, Train AUC: 0.9883, Valid AUC: 0.9072, AUPR: 0.9004, F1 score: 0.8670, Accuracy: 0.8676, Recall: 0.8627, Specificity: 0.8725, Precision: 0.8713, MCC: 0.7353
Epoch: 45, Train Loss: 0.1309, Valid Loss: 0.5710, Train AUC: 0.9896, Valid AUC: 0.9183, AUPR: 0.9055, F1 score: 0.8661, Accuracy: 0.8611, Recall: 0.8987, Specificity: 0.8235, Precision: 0.8359, MCC: 0.7243
Epoch: 46, Train Loss: 0.1360, Valid Loss: 0.6823, Train AUC: 0.9887, Valid AUC: 0.9205, AUPR: 0.9183, F1 score: 0.8686, Accuracy: 0.8709, Recall: 0.8529, Specificity: 0.8889, Precision: 0.8847, MCC: 0.7423
Epoch: 47, Train Loss: 0.1299, Valid Loss: 0.8011, Train AUC: 0.9897, Valid AUC: 0.9142, AUPR: 0.9116, F1 score: 0.8629, Accuracy: 0.8660, Recall: 0.8431, Specificity: 0.8889, Precision: 0.8836, MCC: 0.7328
Epoch: 48, Train Loss: 0.1207, Valid Loss: 0.6543, Train AUC: 0.9910, Valid AUC: 0.9162, AUPR: 0.9103, F1 score: 0.8675, Accuracy: 0.8627, Recall: 0.8987, Specificity: 0.8268, Precision: 0.8384, MCC: 0.7274
Epoch: 49, Train Loss: 0.1280, Valid Loss: 0.6364, Train AUC: 0.9901, Valid AUC: 0.9077, AUPR: 0.8926, F1 score: 0.8629, Accuracy: 0.8660, Recall: 0.8431, Specificity: 0.8889, Precision: 0.8836, MCC: 0.7328
Epoch: 50, Train Loss: 0.1237, Valid Loss: 0.6305, Train AUC: 0.9907, Valid AUC: 0.9161, AUPR: 0.9029, F1 score: 0.8690, Accuracy: 0.8758, Recall: 0.8235, Specificity: 0.9281, Precision: 0.9197, MCC: 0.7558
Epoch: 51, Train Loss: 0.1182, Valid Loss: 0.7469, Train AUC: 0.9915, Valid AUC: 0.9104, AUPR: 0.8990, F1 score: 0.8581, Accuracy: 0.8595, Recall: 0.8497, Specificity: 0.8693, Precision: 0.8667, MCC: 0.7191
Epoch: 52, Train Loss: 0.1132, Valid Loss: 0.8361, Train AUC: 0.9922, Valid AUC: 0.9112, AUPR: 0.9092, F1 score: 0.8684, Accuracy: 0.8693, Recall: 0.8627, Specificity: 0.8758, Precision: 0.8742, MCC: 0.7386
Epoch: 53, Train Loss: 0.1148, Valid Loss: 0.7714, Train AUC: 0.9919, Valid AUC: 0.9171, AUPR: 0.9146, F1 score: 0.8705, Accuracy: 0.8644, Recall: 0.9118, Specificity: 0.8170, Precision: 0.8328, MCC: 0.7321
Epoch: 54, Train Loss: 0.1078, Valid Loss: 0.9545, Train AUC: 0.9928, Valid AUC: 0.9150, AUPR: 0.9094, F1 score: 0.8715, Accuracy: 0.8709, Recall: 0.8758, Specificity: 0.8660, Precision: 0.8673, MCC: 0.7419
Epoch: 55, Train Loss: 0.1070, Valid Loss: 0.8534, Train AUC: 0.9930, Valid AUC: 0.9086, AUPR: 0.9016, F1 score: 0.8530, Accuracy: 0.8497, Recall: 0.8725, Specificity: 0.8268, Precision: 0.8344, MCC: 0.7001
Epoch: 56, Train Loss: 0.1107, Valid Loss: 0.7682, Train AUC: 0.9924, Valid AUC: 0.9128, AUPR: 0.9069, F1 score: 0.8693, Accuracy: 0.8742, Recall: 0.8366, Specificity: 0.9118, Precision: 0.9046, MCC: 0.7505
Epoch: 57, Train Loss: 0.1108, Valid Loss: 0.7295, Train AUC: 0.9924, Valid AUC: 0.9103, AUPR: 0.9029, F1 score: 0.8603, Accuracy: 0.8546, Recall: 0.8954, Specificity: 0.8137, Precision: 0.8278, MCC: 0.7115
Epoch: 58, Train Loss: 0.1042, Valid Loss: 0.7134, Train AUC: 0.9933, Valid AUC: 0.9158, AUPR: 0.9037, F1 score: 0.8680, Accuracy: 0.8644, Recall: 0.8922, Specificity: 0.8366, Precision: 0.8452, MCC: 0.7299
