python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset l_data --num_hops 1 --epochs 100 --model GCN --batch_size 32 --hidden_channels 256 --dropout 0.5
Epoch: 01, Train Loss: 0.3977, Valid Loss: 0.4709, Train AUC: 0.8976, Valid AUC: 0.9045, AUPR: 0.9181, F1 score: 0.8646, Accuracy: 0.8644, Recall: 0.8660, Specificity: 0.8627, Precision: 0.8632, MCC: 0.7288
Epoch: 02, Train Loss: 0.3820, Valid Loss: 0.3781, Train AUC: 0.9055, Valid AUC: 0.9097, AUPR: 0.9185, F1 score: 0.8642, Accuracy: 0.8644, Recall: 0.8627, Specificity: 0.8660, Precision: 0.8656, MCC: 0.7288
Epoch: 03, Train Loss: 0.3732, Valid Loss: 0.3810, Train AUC: 0.9057, Valid AUC: 0.9071, AUPR: 0.9190, F1 score: 0.8646, Accuracy: 0.8644, Recall: 0.8660, Specificity: 0.8627, Precision: 0.8632, MCC: 0.7288
Epoch: 04, Train Loss: 0.3674, Valid Loss: 0.3800, Train AUC: 0.9076, Valid AUC: 0.9069, AUPR: 0.9174, F1 score: 0.8626, Accuracy: 0.8595, Recall: 0.8824, Specificity: 0.8366, Precision: 0.8438, MCC: 0.7197
Epoch: 05, Train Loss: 0.3694, Valid Loss: 0.3685, Train AUC: 0.9062, Valid AUC: 0.9099, AUPR: 0.9205, F1 score: 0.8646, Accuracy: 0.8644, Recall: 0.8660, Specificity: 0.8627, Precision: 0.8632, MCC: 0.7288
Epoch: 06, Train Loss: 0.3666, Valid Loss: 0.3755, Train AUC: 0.9078, Valid AUC: 0.9073, AUPR: 0.9159, F1 score: 0.8646, Accuracy: 0.8644, Recall: 0.8660, Specificity: 0.8627, Precision: 0.8632, MCC: 0.7288
Epoch: 07, Train Loss: 0.3648, Valid Loss: 0.3693, Train AUC: 0.9094, Valid AUC: 0.9086, AUPR: 0.9200, F1 score: 0.8724, Accuracy: 0.8709, Recall: 0.8824, Specificity: 0.8595, Precision: 0.8626, MCC: 0.7420
Epoch: 08, Train Loss: 0.3619, Valid Loss: 0.3746, Train AUC: 0.9105, Valid AUC: 0.9093, AUPR: 0.9204, F1 score: 0.8646, Accuracy: 0.8644, Recall: 0.8660, Specificity: 0.8627, Precision: 0.8632, MCC: 0.7288
Epoch: 09, Train Loss: 0.3633, Valid Loss: 0.3767, Train AUC: 0.9083, Valid AUC: 0.9103, AUPR: 0.9207, F1 score: 0.8646, Accuracy: 0.8644, Recall: 0.8660, Specificity: 0.8627, Precision: 0.8632, MCC: 0.7288
Epoch: 10, Train Loss: 0.3632, Valid Loss: 0.3738, Train AUC: 0.9086, Valid AUC: 0.9085, AUPR: 0.9191, F1 score: 0.8646, Accuracy: 0.8644, Recall: 0.8660, Specificity: 0.8627, Precision: 0.8632, MCC: 0.7288
Epoch: 11, Train Loss: 0.3607, Valid Loss: 0.3655, Train AUC: 0.9108, Valid AUC: 0.9106, AUPR: 0.9210, F1 score: 0.8689, Accuracy: 0.8693, Recall: 0.8660, Specificity: 0.8725, Precision: 0.8717, MCC: 0.7386
