python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset l_data --epochs 100 --use_feature
Epoch: 01, Train Loss: 0.4092, Valid Loss: 0.3631, Train AUC: 0.8971, Valid AUC: 0.9187, AUPR: 0.9271, F1 score: 0.8675, Accuracy: 0.8693, Recall: 0.8562, Specificity: 0.8824, Precision: 0.8792, MCC: 0.7388
Epoch: 02, Train Loss: 0.3714, Valid Loss: 0.3631, Train AUC: 0.9142, Valid AUC: 0.9218, AUPR: 0.9298, F1 score: 0.8633, Accuracy: 0.8644, Recall: 0.8562, Specificity: 0.8725, Precision: 0.8704, MCC: 0.7289
Epoch: 03, Train Loss: 0.3578, Valid Loss: 0.3873, Train AUC: 0.9194, Valid AUC: 0.9224, AUPR: 0.9309, F1 score: 0.8706, Accuracy: 0.8693, Recall: 0.8791, Specificity: 0.8595, Precision: 0.8622, MCC: 0.7387
Epoch: 04, Train Loss: 0.3468, Valid Loss: 0.3651, Train AUC: 0.9232, Valid AUC: 0.9245, AUPR: 0.9316, F1 score: 0.8775, Accuracy: 0.8791, Recall: 0.8660, Specificity: 0.8922, Precision: 0.8893, MCC: 0.7584
Epoch: 05, Train Loss: 0.3364, Valid Loss: 0.3604, Train AUC: 0.9285, Valid AUC: 0.9234, AUPR: 0.9308, F1 score: 0.8703, Accuracy: 0.8709, Recall: 0.8660, Specificity: 0.8758, Precision: 0.8746, MCC: 0.7419
Epoch: 06, Train Loss: 0.3325, Valid Loss: 0.3546, Train AUC: 0.9309, Valid AUC: 0.9208, AUPR: 0.9284, F1 score: 0.8704, Accuracy: 0.8725, Recall: 0.8562, Specificity: 0.8889, Precision: 0.8851, MCC: 0.7455
Epoch: 07, Train Loss: 0.3349, Valid Loss: 0.3682, Train AUC: 0.9296, Valid AUC: 0.9252, AUPR: 0.9287, F1 score: 0.8725, Accuracy: 0.8758, Recall: 0.8497, Specificity: 0.9020, Precision: 0.8966, MCC: 0.7527
Epoch: 08, Train Loss: 0.3275, Valid Loss: 0.3537, Train AUC: 0.9322, Valid AUC: 0.9267, AUPR: 0.9338, F1 score: 0.8752, Accuracy: 0.8775, Recall: 0.8595, Specificity: 0.8954, Precision: 0.8915, MCC: 0.7554
Epoch: 09, Train Loss: 0.3269, Valid Loss: 0.3436, Train AUC: 0.9338, Valid AUC: 0.9310, AUPR: 0.9336, F1 score: 0.8684, Accuracy: 0.8742, Recall: 0.8301, Specificity: 0.9183, Precision: 0.9104, MCC: 0.7513
Epoch: 10, Train Loss: 0.3241, Valid Loss: 0.3422, Train AUC: 0.9350, Valid AUC: 0.9301, AUPR: 0.9323, F1 score: 0.8744, Accuracy: 0.8775, Recall: 0.8529, Specificity: 0.9020, Precision: 0.8969, MCC: 0.7558
Epoch: 11, Train Loss: 0.3148, Valid Loss: 0.3883, Train AUC: 0.9392, Valid AUC: 0.9100, AUPR: 0.9183, F1 score: 0.8618, Accuracy: 0.8627, Recall: 0.8562, Specificity: 0.8693, Precision: 0.8675, MCC: 0.7256
