python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset my_data --num_hops 1 --epochs 100 --model GCN --batch_size 32
Epoch: 01, Train Loss: 0.3297, Valid Loss: 0.2943, Train AUC: 0.9377, Valid AUC: 0.9496, AUPR: 0.9490, F1 score: 0.8827, Accuracy: 0.8803, Recall: 0.9005, Specificity: 0.8602, Precision: 0.8656, MCC: 0.7612
Epoch: 02, Train Loss: 0.3024, Valid Loss: 0.2903, Train AUC: 0.9458, Valid AUC: 0.9499, AUPR: 0.9497, F1 score: 0.8832, Accuracy: 0.8811, Recall: 0.8988, Specificity: 0.8634, Precision: 0.8681, MCC: 0.7627
Epoch: 03, Train Loss: 0.2975, Valid Loss: 0.2903, Train AUC: 0.9473, Valid AUC: 0.9490, AUPR: 0.9488, F1 score: 0.8829, Accuracy: 0.8827, Recall: 0.8845, Specificity: 0.8810, Precision: 0.8814, MCC: 0.7655
Epoch: 04, Train Loss: 0.2981, Valid Loss: 0.2965, Train AUC: 0.9472, Valid AUC: 0.9491, AUPR: 0.9490, F1 score: 0.8804, Accuracy: 0.8783, Recall: 0.8964, Specificity: 0.8602, Precision: 0.8650, MCC: 0.7571
Epoch: 05, Train Loss: 0.2977, Valid Loss: 0.2905, Train AUC: 0.9473, Valid AUC: 0.9494, AUPR: 0.9496, F1 score: 0.8825, Accuracy: 0.8822, Recall: 0.8850, Specificity: 0.8794, Precision: 0.8800, MCC: 0.7644
Epoch: 06, Train Loss: 0.2964, Valid Loss: 0.2922, Train AUC: 0.9477, Valid AUC: 0.9494, AUPR: 0.9495, F1 score: 0.8823, Accuracy: 0.8803, Recall: 0.8975, Specificity: 0.8631, Precision: 0.8677, MCC: 0.7611
Epoch: 07, Train Loss: 0.2966, Valid Loss: 0.2893, Train AUC: 0.9476, Valid AUC: 0.9497, AUPR: 0.9500, F1 score: 0.8829, Accuracy: 0.8822, Recall: 0.8886, Specificity: 0.8758, Precision: 0.8774, MCC: 0.7645
Epoch: 08, Train Loss: 0.2962, Valid Loss: 0.2889, Train AUC: 0.9477, Valid AUC: 0.9494, AUPR: 0.9500, F1 score: 0.8819, Accuracy: 0.8811, Recall: 0.8880, Specificity: 0.8742, Precision: 0.8759, MCC: 0.7623
Epoch: 09, Train Loss: 0.2964, Valid Loss: 0.2890, Train AUC: 0.9475, Valid AUC: 0.9495, AUPR: 0.9500, F1 score: 0.8801, Accuracy: 0.8779, Recall: 0.8967, Specificity: 0.8591, Precision: 0.8642, MCC: 0.7563
Epoch: 10, Train Loss: 0.2957, Valid Loss: 0.2915, Train AUC: 0.9478, Valid AUC: 0.9496, AUPR: 0.9497, F1 score: 0.8819, Accuracy: 0.8815, Recall: 0.8848, Specificity: 0.8783, Precision: 0.8791, MCC: 0.7631
Epoch: 11, Train Loss: 0.2955, Valid Loss: 0.2912, Train AUC: 0.9478, Valid AUC: 0.9494, AUPR: 0.9500, F1 score: 0.8826, Accuracy: 0.8806, Recall: 0.8975, Specificity: 0.8637, Precision: 0.8681, MCC: 0.7616
Epoch: 12, Train Loss: 0.2950, Valid Loss: 0.2948, Train AUC: 0.9479, Valid AUC: 0.9495, AUPR: 0.9501, F1 score: 0.8833, Accuracy: 0.8825, Recall: 0.8894, Specificity: 0.8756, Precision: 0.8773, MCC: 0.7650
Epoch: 13, Train Loss: 0.2959, Valid Loss: 0.2917, Train AUC: 0.9477, Valid AUC: 0.9493, AUPR: 0.9497, F1 score: 0.8823, Accuracy: 0.8818, Recall: 0.8861, Specificity: 0.8775, Precision: 0.8785, MCC: 0.7636
Epoch: 14, Train Loss: 0.2962, Valid Loss: 0.2903, Train AUC: 0.9476, Valid AUC: 0.9495, AUPR: 0.9498, F1 score: 0.8820, Accuracy: 0.8800, Recall: 0.8967, Specificity: 0.8634, Precision: 0.8678, MCC: 0.7605
Epoch: 15, Train Loss: 0.2956, Valid Loss: 0.2940, Train AUC: 0.9477, Valid AUC: 0.9492, AUPR: 0.9497, F1 score: 0.8816, Accuracy: 0.8807, Recall: 0.8883, Specificity: 0.8731, Precision: 0.8750, MCC: 0.7615
Epoch: 16, Train Loss: 0.2964, Valid Loss: 0.2912, Train AUC: 0.9475, Valid AUC: 0.9496, AUPR: 0.9499, F1 score: 0.8826, Accuracy: 0.8818, Recall: 0.8883, Specificity: 0.8753, Precision: 0.8769, MCC: 0.7637
Epoch: 17, Train Loss: 0.2958, Valid Loss: 0.2899, Train AUC: 0.9477, Valid AUC: 0.9490, AUPR: 0.9496, F1 score: 0.8807, Accuracy: 0.8790, Recall: 0.8937, Specificity: 0.8642, Precision: 0.8681, MCC: 0.7582
Epoch: 18, Train Loss: 0.2964, Valid Loss: 0.2952, Train AUC: 0.9475, Valid AUC: 0.9490, AUPR: 0.9491, F1 score: 0.8833, Accuracy: 0.8823, Recall: 0.8910, Specificity: 0.8737, Precision: 0.8758, MCC: 0.7648
Epoch: 19, Train Loss: 0.2961, Valid Loss: 0.2909, Train AUC: 0.9476, Valid AUC: 0.9494, AUPR: 0.9498, F1 score: 0.8822, Accuracy: 0.8818, Recall: 0.8850, Specificity: 0.8786, Precision: 0.8793, MCC: 0.7636
Epoch: 20, Train Loss: 0.2956, Valid Loss: 0.2918, Train AUC: 0.9478, Valid AUC: 0.9494, AUPR: 0.9497, F1 score: 0.8820, Accuracy: 0.8817, Recall: 0.8842, Specificity: 0.8791, Precision: 0.8797, MCC: 0.7633
Epoch: 21, Train Loss: 0.2958, Valid Loss: 0.2922, Train AUC: 0.9476, Valid AUC: 0.9488, AUPR: 0.9494, F1 score: 0.8811, Accuracy: 0.8798, Recall: 0.8907, Specificity: 0.8688, Precision: 0.8716, MCC: 0.7597
Epoch: 22, Train Loss: 0.2959, Valid Loss: 0.2916, Train AUC: 0.9476, Valid AUC: 0.9495, AUPR: 0.9501, F1 score: 0.8822, Accuracy: 0.8819, Recall: 0.8845, Specificity: 0.8794, Precision: 0.8800, MCC: 0.7639
Epoch: 23, Train Loss: 0.2960, Valid Loss: 0.2929, Train AUC: 0.9476, Valid AUC: 0.9494, AUPR: 0.9500, F1 score: 0.8806, Accuracy: 0.8784, Recall: 0.8967, Specificity: 0.8602, Precision: 0.8651, MCC: 0.7573
Epoch: 24, Train Loss: 0.2953, Valid Loss: 0.2907, Train AUC: 0.9479, Valid AUC: 0.9493, AUPR: 0.9494, F1 score: 0.8809, Accuracy: 0.8779, Recall: 0.9034, Specificity: 0.8523, Precision: 0.8595, MCC: 0.7567
Epoch: 25, Train Loss: 0.2955, Valid Loss: 0.2998, Train AUC: 0.9479, Valid AUC: 0.9491, AUPR: 0.9493, F1 score: 0.8814, Accuracy: 0.8804, Recall: 0.8888, Specificity: 0.8721, Precision: 0.8742, MCC: 0.7610
Epoch: 26, Train Loss: 0.2957, Valid Loss: 0.2902, Train AUC: 0.9478, Valid AUC: 0.9494, AUPR: 0.9494, F1 score: 0.8829, Accuracy: 0.8822, Recall: 0.8886, Specificity: 0.8758, Precision: 0.8774, MCC: 0.7645
