python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset my_data --num_hops 1 --epochs 100 --model GIN --batch_size 32
Epoch: 01, Train Loss: 0.3212, Valid Loss: 0.2993, Train AUC: 0.9385, Valid AUC: 0.9467, AUPR: 0.9461, F1 score: 0.8815, Accuracy: 0.8795, Recall: 0.8964, Specificity: 0.8626, Precision: 0.8671, MCC: 0.7594
Epoch: 02, Train Loss: 0.3050, Valid Loss: 0.2950, Train AUC: 0.9442, Valid AUC: 0.9488, AUPR: 0.9488, F1 score: 0.8803, Accuracy: 0.8790, Recall: 0.8905, Specificity: 0.8675, Precision: 0.8704, MCC: 0.7581
Epoch: 03, Train Loss: 0.3024, Valid Loss: 0.2930, Train AUC: 0.9449, Valid AUC: 0.9480, AUPR: 0.9480, F1 score: 0.8808, Accuracy: 0.8775, Recall: 0.9051, Specificity: 0.8499, Precision: 0.8577, MCC: 0.7561
Epoch: 04, Train Loss: 0.2995, Valid Loss: 0.2903, Train AUC: 0.9461, Valid AUC: 0.9488, AUPR: 0.9489, F1 score: 0.8802, Accuracy: 0.8779, Recall: 0.8975, Specificity: 0.8583, Precision: 0.8636, MCC: 0.7563
Epoch: 05, Train Loss: 0.2969, Valid Loss: 0.2970, Train AUC: 0.9470, Valid AUC: 0.9477, AUPR: 0.9476, F1 score: 0.8798, Accuracy: 0.8757, Recall: 0.9097, Specificity: 0.8418, Precision: 0.8518, MCC: 0.7532
Epoch: 06, Train Loss: 0.2962, Valid Loss: 0.2895, Train AUC: 0.9473, Valid AUC: 0.9493, AUPR: 0.9494, F1 score: 0.8818, Accuracy: 0.8807, Recall: 0.8902, Specificity: 0.8712, Precision: 0.8736, MCC: 0.7616
Epoch: 07, Train Loss: 0.2947, Valid Loss: 0.2888, Train AUC: 0.9477, Valid AUC: 0.9494, AUPR: 0.9496, F1 score: 0.8819, Accuracy: 0.8810, Recall: 0.8891, Specificity: 0.8729, Precision: 0.8749, MCC: 0.7621
Epoch: 08, Train Loss: 0.2947, Valid Loss: 0.2948, Train AUC: 0.9478, Valid AUC: 0.9495, AUPR: 0.9495, F1 score: 0.8810, Accuracy: 0.8802, Recall: 0.8869, Specificity: 0.8734, Precision: 0.8751, MCC: 0.7604
Epoch: 09, Train Loss: 0.2935, Valid Loss: 0.3033, Train AUC: 0.9482, Valid AUC: 0.9464, AUPR: 0.9459, F1 score: 0.8818, Accuracy: 0.8808, Recall: 0.8888, Specificity: 0.8729, Precision: 0.8749, MCC: 0.7618
Epoch: 10, Train Loss: 0.2934, Valid Loss: 0.3013, Train AUC: 0.9482, Valid AUC: 0.9490, AUPR: 0.9493, F1 score: 0.8803, Accuracy: 0.8781, Recall: 0.8961, Specificity: 0.8602, Precision: 0.8650, MCC: 0.7568
Epoch: 11, Train Loss: 0.2925, Valid Loss: 0.2947, Train AUC: 0.9485, Valid AUC: 0.9491, AUPR: 0.9496, F1 score: 0.8811, Accuracy: 0.8791, Recall: 0.8961, Specificity: 0.8621, Precision: 0.8666, MCC: 0.7586
Epoch: 12, Train Loss: 0.2927, Valid Loss: 0.3000, Train AUC: 0.9484, Valid AUC: 0.9489, AUPR: 0.9496, F1 score: 0.8827, Accuracy: 0.8810, Recall: 0.8953, Specificity: 0.8666, Precision: 0.8704, MCC: 0.7623
Epoch: 13, Train Loss: 0.2933, Valid Loss: 0.2901, Train AUC: 0.9482, Valid AUC: 0.9493, AUPR: 0.9495, F1 score: 0.8817, Accuracy: 0.8798, Recall: 0.8964, Specificity: 0.8631, Precision: 0.8675, MCC: 0.7600
