python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset my_data --num_hops 1 --epochs 100 --model SAGE --batch_size 32
Epoch: 01, Train Loss: 0.3539, Valid Loss: 0.4000, Train AUC: 0.9263, Valid AUC: 0.9230, AUPR: 0.9259, F1 score: 0.8578, Accuracy: 0.8503, Recall: 0.9034, Specificity: 0.7971, Precision: 0.8166, MCC: 0.7046
Epoch: 02, Train Loss: 0.3262, Valid Loss: 0.5265, Train AUC: 0.9365, Valid AUC: 0.9200, AUPR: 0.9285, F1 score: 0.8579, Accuracy: 0.8524, Recall: 0.8910, Specificity: 0.8139, Precision: 0.8272, MCC: 0.7070
Epoch: 03, Train Loss: 0.3224, Valid Loss: 0.5397, Train AUC: 0.9378, Valid AUC: 0.9037, AUPR: 0.9188, F1 score: 0.8599, Accuracy: 0.8543, Recall: 0.8942, Specificity: 0.8144, Precision: 0.8282, MCC: 0.7109
Epoch: 04, Train Loss: 0.3197, Valid Loss: 0.5050, Train AUC: 0.9387, Valid AUC: 0.8886, AUPR: 0.9102, F1 score: 0.8582, Accuracy: 0.8519, Recall: 0.8964, Specificity: 0.8074, Precision: 0.8231, MCC: 0.7066
Epoch: 05, Train Loss: 0.3184, Valid Loss: 0.5295, Train AUC: 0.9392, Valid AUC: 0.9057, AUPR: 0.9218, F1 score: 0.8593, Accuracy: 0.8534, Recall: 0.8956, Specificity: 0.8112, Precision: 0.8259, MCC: 0.7093
Epoch: 06, Train Loss: 0.3188, Valid Loss: 0.4569, Train AUC: 0.9393, Valid AUC: 0.9126, AUPR: 0.9226, F1 score: 0.8602, Accuracy: 0.8539, Recall: 0.8986, Specificity: 0.8093, Precision: 0.8249, MCC: 0.7107
Epoch: 07, Train Loss: 0.3157, Valid Loss: 0.5574, Train AUC: 0.9401, Valid AUC: 0.9034, AUPR: 0.9172, F1 score: 0.8600, Accuracy: 0.8527, Recall: 0.9048, Specificity: 0.8006, Precision: 0.8195, MCC: 0.7093
Epoch: 08, Train Loss: 0.3151, Valid Loss: 0.4819, Train AUC: 0.9405, Valid AUC: 0.9138, AUPR: 0.9174, F1 score: 0.8567, Accuracy: 0.8484, Recall: 0.9067, Specificity: 0.7901, Precision: 0.8120, MCC: 0.7016
Epoch: 09, Train Loss: 0.3143, Valid Loss: 0.5682, Train AUC: 0.9408, Valid AUC: 0.8934, AUPR: 0.9163, F1 score: 0.8580, Accuracy: 0.8516, Recall: 0.8967, Specificity: 0.8066, Precision: 0.8226, MCC: 0.7061
Epoch: 10, Train Loss: 0.3153, Valid Loss: 0.4860, Train AUC: 0.9404, Valid AUC: 0.9095, AUPR: 0.9212, F1 score: 0.8594, Accuracy: 0.8530, Recall: 0.8983, Specificity: 0.8077, Precision: 0.8237, MCC: 0.7089
Epoch: 11, Train Loss: 0.3147, Valid Loss: 0.5283, Train AUC: 0.9406, Valid AUC: 0.9060, AUPR: 0.9212, F1 score: 0.8593, Accuracy: 0.8524, Recall: 0.9010, Specificity: 0.8039, Precision: 0.8213, MCC: 0.7082
Epoch: 12, Train Loss: 0.3140, Valid Loss: 0.4758, Train AUC: 0.9408, Valid AUC: 0.9140, AUPR: 0.9257, F1 score: 0.8592, Accuracy: 0.8526, Recall: 0.8994, Specificity: 0.8058, Precision: 0.8224, MCC: 0.7083
Epoch: 13, Train Loss: 0.3125, Valid Loss: 0.4584, Train AUC: 0.9414, Valid AUC: 0.9162, AUPR: 0.9203, F1 score: 0.8591, Accuracy: 0.8531, Recall: 0.8956, Specificity: 0.8107, Precision: 0.8255, MCC: 0.7088
Epoch: 14, Train Loss: 0.3125, Valid Loss: 0.4650, Train AUC: 0.9415, Valid AUC: 0.9073, AUPR: 0.9185, F1 score: 0.8590, Accuracy: 0.8526, Recall: 0.8980, Specificity: 0.8071, Precision: 0.8232, MCC: 0.7081
Epoch: 15, Train Loss: 0.3132, Valid Loss: 0.5657, Train AUC: 0.9412, Valid AUC: 0.8943, AUPR: 0.9105, F1 score: 0.8539, Accuracy: 0.8480, Recall: 0.8886, Specificity: 0.8074, Precision: 0.8219, MCC: 0.6983
Epoch: 16, Train Loss: 0.3120, Valid Loss: 0.4359, Train AUC: 0.9416, Valid AUC: 0.9160, AUPR: 0.9233, F1 score: 0.8597, Accuracy: 0.8497, Recall: 0.9205, Specificity: 0.7790, Precision: 0.8064, MCC: 0.7066
Epoch: 17, Train Loss: 0.3124, Valid Loss: 0.5372, Train AUC: 0.9415, Valid AUC: 0.8977, AUPR: 0.9136, F1 score: 0.8580, Accuracy: 0.8520, Recall: 0.8940, Specificity: 0.8101, Precision: 0.8248, MCC: 0.7066
Epoch: 18, Train Loss: 0.3118, Valid Loss: 0.4555, Train AUC: 0.9417, Valid AUC: 0.9150, AUPR: 0.9221, F1 score: 0.8597, Accuracy: 0.8522, Recall: 0.9059, Specificity: 0.7985, Precision: 0.8180, MCC: 0.7085
Epoch: 19, Train Loss: 0.3118, Valid Loss: 0.4702, Train AUC: 0.9417, Valid AUC: 0.9157, AUPR: 0.9225, F1 score: 0.8598, Accuracy: 0.8535, Recall: 0.8980, Specificity: 0.8090, Precision: 0.8246, MCC: 0.7099
Epoch: 20, Train Loss: 0.3111, Valid Loss: 0.5634, Train AUC: 0.9419, Valid AUC: 0.8974, AUPR: 0.9128, F1 score: 0.8594, Accuracy: 0.8523, Recall: 0.9024, Specificity: 0.8023, Precision: 0.8203, MCC: 0.7082
Epoch: 21, Train Loss: 0.3115, Valid Loss: 0.5354, Train AUC: 0.9418, Valid AUC: 0.8965, AUPR: 0.9092, F1 score: 0.8587, Accuracy: 0.8515, Recall: 0.9024, Specificity: 0.8006, Precision: 0.8191, MCC: 0.7067
Epoch: 22, Train Loss: 0.3117, Valid Loss: 0.5012, Train AUC: 0.9418, Valid AUC: 0.9109, AUPR: 0.9204, F1 score: 0.8596, Accuracy: 0.8530, Recall: 0.9002, Specificity: 0.8058, Precision: 0.8225, MCC: 0.7091
Epoch: 23, Train Loss: 0.3115, Valid Loss: 0.5291, Train AUC: 0.9418, Valid AUC: 0.9068, AUPR: 0.9163, F1 score: 0.8615, Accuracy: 0.8542, Recall: 0.9070, Specificity: 0.8015, Precision: 0.8204, MCC: 0.7124
