python C:/Users/Administrator/Desktop/NPNS-test/seal_link_pred.py --dataset my_data --num_hops 1 --epochs 100 --model GCN --batch_size 32 --hidden_channels 256 --dropout 0.5
Epoch: 01, Train Loss: 0.3080, Valid Loss: 0.2961, Train AUC: 0.9449, Valid AUC: 0.9488, AUPR: 0.9478, F1 score: 0.8823, Accuracy: 0.8810, Recall: 0.8923, Specificity: 0.8696, Precision: 0.8725, MCC: 0.7622
Epoch: 02, Train Loss: 0.2910, Valid Loss: 0.3048, Train AUC: 0.9489, Valid AUC: 0.9484, AUPR: 0.9480, F1 score: 0.8807, Accuracy: 0.8792, Recall: 0.8918, Specificity: 0.8666, Precision: 0.8699, MCC: 0.7587
Epoch: 03, Train Loss: 0.2891, Valid Loss: 0.2948, Train AUC: 0.9494, Valid AUC: 0.9495, AUPR: 0.9496, F1 score: 0.8827, Accuracy: 0.8813, Recall: 0.8940, Specificity: 0.8685, Precision: 0.8718, MCC: 0.7628
Epoch: 04, Train Loss: 0.2921, Valid Loss: 0.2907, Train AUC: 0.9482, Valid AUC: 0.9491, AUPR: 0.9498, F1 score: 0.8826, Accuracy: 0.8811, Recall: 0.8940, Specificity: 0.8683, Precision: 0.8716, MCC: 0.7625
Epoch: 05, Train Loss: 0.2929, Valid Loss: 0.2922, Train AUC: 0.9478, Valid AUC: 0.9485, AUPR: 0.9485, F1 score: 0.8807, Accuracy: 0.8796, Recall: 0.8888, Specificity: 0.8704, Precision: 0.8728, MCC: 0.7594
Epoch: 06, Train Loss: 0.2928, Valid Loss: 0.2916, Train AUC: 0.9478, Valid AUC: 0.9491, AUPR: 0.9500, F1 score: 0.8817, Accuracy: 0.8807, Recall: 0.8888, Specificity: 0.8726, Precision: 0.8746, MCC: 0.7615
Epoch: 07, Train Loss: 0.2936, Valid Loss: 0.2957, Train AUC: 0.9475, Valid AUC: 0.9479, AUPR: 0.9479, F1 score: 0.8785, Accuracy: 0.8784, Recall: 0.8788, Specificity: 0.8780, Precision: 0.8781, MCC: 0.7568
Epoch: 08, Train Loss: 0.3028, Valid Loss: 0.2912, Train AUC: 0.9440, Valid AUC: 0.9489, AUPR: 0.9492, F1 score: 0.8796, Accuracy: 0.8784, Recall: 0.8883, Specificity: 0.8685, Precision: 0.8711, MCC: 0.7570
Epoch: 09, Train Loss: 0.2975, Valid Loss: 0.2942, Train AUC: 0.9461, Valid AUC: 0.9478, AUPR: 0.9488, F1 score: 0.8801, Accuracy: 0.8783, Recall: 0.8932, Specificity: 0.8634, Precision: 0.8673, MCC: 0.7569
Epoch: 10, Train Loss: 0.2977, Valid Loss: 0.2894, Train AUC: 0.9459, Valid AUC: 0.9492, AUPR: 0.9494, F1 score: 0.8804, Accuracy: 0.8788, Recall: 0.8921, Specificity: 0.8656, Precision: 0.8690, MCC: 0.7579
Epoch: 11, Train Loss: 0.3007, Valid Loss: 0.2926, Train AUC: 0.9448, Valid AUC: 0.9488, AUPR: 0.9492, F1 score: 0.8792, Accuracy: 0.8779, Recall: 0.8886, Specificity: 0.8672, Precision: 0.8700, MCC: 0.7559
Epoch: 12, Train Loss: 0.2947, Valid Loss: 0.2914, Train AUC: 0.9470, Valid AUC: 0.9494, AUPR: 0.9497, F1 score: 0.8814, Accuracy: 0.8796, Recall: 0.8945, Specificity: 0.8648, Precision: 0.8687, MCC: 0.7596
Epoch: 13, Train Loss: 0.2958, Valid Loss: 0.2918, Train AUC: 0.9468, Valid AUC: 0.9488, AUPR: 0.9495, F1 score: 0.8808, Accuracy: 0.8795, Recall: 0.8905, Specificity: 0.8685, Precision: 0.8714, MCC: 0.7592
Epoch: 14, Train Loss: 0.2932, Valid Loss: 0.2982, Train AUC: 0.9476, Valid AUC: 0.9486, AUPR: 0.9490, F1 score: 0.8810, Accuracy: 0.8792, Recall: 0.8942, Specificity: 0.8642, Precision: 0.8682, MCC: 0.7588
Epoch: 15, Train Loss: 0.2928, Valid Loss: 0.2972, Train AUC: 0.9477, Valid AUC: 0.9486, AUPR: 0.9491, F1 score: 0.8793, Accuracy: 0.8773, Recall: 0.8940, Specificity: 0.8607, Precision: 0.8652, MCC: 0.7551
Epoch: 16, Train Loss: 0.2950, Valid Loss: 0.2903, Train AUC: 0.9470, Valid AUC: 0.9491, AUPR: 0.9494, F1 score: 0.8805, Accuracy: 0.8792, Recall: 0.8896, Specificity: 0.8688, Precision: 0.8715, MCC: 0.7586
Epoch: 17, Train Loss: 0.2949, Valid Loss: 0.2908, Train AUC: 0.9469, Valid AUC: 0.9489, AUPR: 0.9491, F1 score: 0.8808, Accuracy: 0.8787, Recall: 0.8961, Specificity: 0.8612, Precision: 0.8659, MCC: 0.7578
Epoch: 18, Train Loss: 0.2946, Valid Loss: 0.2917, Train AUC: 0.9470, Valid AUC: 0.9489, AUPR: 0.9490, F1 score: 0.8801, Accuracy: 0.8784, Recall: 0.8926, Specificity: 0.8642, Precision: 0.8680, MCC: 0.7571
Epoch: 19, Train Loss: 0.2956, Valid Loss: 0.2954, Train AUC: 0.9467, Valid AUC: 0.9486, AUPR: 0.9491, F1 score: 0.8799, Accuracy: 0.8791, Recall: 0.8859, Specificity: 0.8723, Precision: 0.8740, MCC: 0.7583
Epoch: 20, Train Loss: 0.2922, Valid Loss: 0.2897, Train AUC: 0.9479, Valid AUC: 0.9492, AUPR: 0.9497, F1 score: 0.8800, Accuracy: 0.8777, Recall: 0.8969, Specificity: 0.8585, Precision: 0.8638, MCC: 0.7560
Epoch: 21, Train Loss: 0.2930, Valid Loss: 0.2902, Train AUC: 0.9477, Valid AUC: 0.9491, AUPR: 0.9491, F1 score: 0.8815, Accuracy: 0.8803, Recall: 0.8902, Specificity: 0.8704, Precision: 0.8729, MCC: 0.7608
Epoch: 22, Train Loss: 0.2930, Valid Loss: 0.2968, Train AUC: 0.9476, Valid AUC: 0.9494, AUPR: 0.9497, F1 score: 0.8809, Accuracy: 0.8784, Recall: 0.8996, Specificity: 0.8572, Precision: 0.8630, MCC: 0.7575
Epoch: 23, Train Loss: 0.2930, Valid Loss: 0.2903, Train AUC: 0.9476, Valid AUC: 0.9489, AUPR: 0.9492, F1 score: 0.8808, Accuracy: 0.8792, Recall: 0.8921, Specificity: 0.8664, Precision: 0.8697, MCC: 0.7587
Epoch: 24, Train Loss: 0.2928, Valid Loss: 0.2921, Train AUC: 0.9477, Valid AUC: 0.9492, AUPR: 0.9497, F1 score: 0.8812, Accuracy: 0.8795, Recall: 0.8934, Specificity: 0.8656, Precision: 0.8692, MCC: 0.7593
Epoch: 25, Train Loss: 0.2902, Valid Loss: 0.2915, Train AUC: 0.9487, Valid AUC: 0.9493, AUPR: 0.9499, F1 score: 0.8815, Accuracy: 0.8796, Recall: 0.8956, Specificity: 0.8637, Precision: 0.8679, MCC: 0.7597
Epoch: 26, Train Loss: 0.2899, Valid Loss: 0.2939, Train AUC: 0.9489, Valid AUC: 0.9492, AUPR: 0.9500, F1 score: 0.8814, Accuracy: 0.8796, Recall: 0.8945, Specificity: 0.8648, Precision: 0.8687, MCC: 0.7596
Epoch: 27, Train Loss: 0.2876, Valid Loss: 0.2904, Train AUC: 0.9496, Valid AUC: 0.9498, AUPR: 0.9505, F1 score: 0.8815, Accuracy: 0.8804, Recall: 0.8896, Specificity: 0.8712, Precision: 0.8736, MCC: 0.7610
Epoch: 28, Train Loss: 0.2888, Valid Loss: 0.2905, Train AUC: 0.9492, Valid AUC: 0.9488, AUPR: 0.9490, F1 score: 0.8809, Accuracy: 0.8799, Recall: 0.8883, Specificity: 0.8715, Precision: 0.8736, MCC: 0.7599
Epoch: 29, Train Loss: 0.2871, Valid Loss: 0.2951, Train AUC: 0.9497, Valid AUC: 0.9494, AUPR: 0.9499, F1 score: 0.8825, Accuracy: 0.8814, Recall: 0.8910, Specificity: 0.8718, Precision: 0.8742, MCC: 0.7629
Epoch: 30, Train Loss: 0.2880, Valid Loss: 0.2932, Train AUC: 0.9495, Valid AUC: 0.9485, AUPR: 0.9486, F1 score: 0.8809, Accuracy: 0.8799, Recall: 0.8880, Specificity: 0.8718, Precision: 0.8738, MCC: 0.7599
Epoch: 31, Train Loss: 0.2904, Valid Loss: 0.2901, Train AUC: 0.9486, Valid AUC: 0.9491, AUPR: 0.9495, F1 score: 0.8810, Accuracy: 0.8810, Recall: 0.8810, Specificity: 0.8810, Precision: 0.8810, MCC: 0.7620
Epoch: 32, Train Loss: 0.2883, Valid Loss: 0.2895, Train AUC: 0.9493, Valid AUC: 0.9495, AUPR: 0.9498, F1 score: 0.8828, Accuracy: 0.8819, Recall: 0.8891, Specificity: 0.8748, Precision: 0.8765, MCC: 0.7639
Epoch: 33, Train Loss: 0.2870, Valid Loss: 0.2892, Train AUC: 0.9498, Valid AUC: 0.9493, AUPR: 0.9496, F1 score: 0.8813, Accuracy: 0.8807, Recall: 0.8859, Specificity: 0.8756, Precision: 0.8768, MCC: 0.7615
Epoch: 34, Train Loss: 0.2888, Valid Loss: 0.2885, Train AUC: 0.9491, Valid AUC: 0.9496, AUPR: 0.9499, F1 score: 0.8823, Accuracy: 0.8806, Recall: 0.8951, Specificity: 0.8661, Precision: 0.8699, MCC: 0.7615
Epoch: 35, Train Loss: 0.2906, Valid Loss: 0.2884, Train AUC: 0.9485, Valid AUC: 0.9496, AUPR: 0.9501, F1 score: 0.8820, Accuracy: 0.8803, Recall: 0.8945, Specificity: 0.8661, Precision: 0.8698, MCC: 0.7609
Epoch: 36, Train Loss: 0.2889, Valid Loss: 0.2952, Train AUC: 0.9491, Valid AUC: 0.9480, AUPR: 0.9487, F1 score: 0.8798, Accuracy: 0.8800, Recall: 0.8777, Specificity: 0.8823, Precision: 0.8818, MCC: 0.7601
Epoch: 37, Train Loss: 0.2870, Valid Loss: 0.2915, Train AUC: 0.9498, Valid AUC: 0.9492, AUPR: 0.9495, F1 score: 0.8819, Accuracy: 0.8802, Recall: 0.8948, Specificity: 0.8656, Precision: 0.8694, MCC: 0.7607
Epoch: 38, Train Loss: 0.2868, Valid Loss: 0.2890, Train AUC: 0.9499, Valid AUC: 0.9495, AUPR: 0.9499, F1 score: 0.8822, Accuracy: 0.8806, Recall: 0.8940, Specificity: 0.8672, Precision: 0.8707, MCC: 0.7614
Epoch: 39, Train Loss: 0.2852, Valid Loss: 0.2879, Train AUC: 0.9504, Valid AUC: 0.9498, AUPR: 0.9504, F1 score: 0.8823, Accuracy: 0.8806, Recall: 0.8956, Specificity: 0.8656, Precision: 0.8695, MCC: 0.7615
Epoch: 40, Train Loss: 0.2862, Valid Loss: 0.2875, Train AUC: 0.9501, Valid AUC: 0.9497, AUPR: 0.9501, F1 score: 0.8826, Accuracy: 0.8813, Recall: 0.8926, Specificity: 0.8699, Precision: 0.8728, MCC: 0.7627
Epoch: 41, Train Loss: 0.2857, Valid Loss: 0.2908, Train AUC: 0.9502, Valid AUC: 0.9494, AUPR: 0.9496, F1 score: 0.8815, Accuracy: 0.8811, Recall: 0.8840, Specificity: 0.8783, Precision: 0.8790, MCC: 0.7623
Epoch: 42, Train Loss: 0.2867, Valid Loss: 0.3022, Train AUC: 0.9499, Valid AUC: 0.9495, AUPR: 0.9500, F1 score: 0.8809, Accuracy: 0.8794, Recall: 0.8921, Specificity: 0.8666, Precision: 0.8700, MCC: 0.7590
